input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,final_url
0.t.4cdn.org,403 Forbidden,403,151,0.t.4cdn.org,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl917270.cloudflaressl.com,ssl917270.cloudflaressl.com,ssl917270.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,4ee3df76131f1012e7c12b7b837575e1,5e632cb9c0f641342a8e7c56fac6b777bf95360bf9eb17e8e19135d6159e6f67,ctls,0.t.4cdn.org,cloudflare,443,https://0.t.4cdn.org:443,https,cloudflare,text/html,GET,104.18.168.169,/,1210513009,2606:4700::6812:a9a9,Cloudflare,8,False,True,,,
1.t.4cdn.org,403 Forbidden,403,151,1.t.4cdn.org,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-08T00:00:00Z,2020-10-15T23:59:59Z,CN=ssl917270.cloudflaressl.com,ssl917270.cloudflaressl.com,ssl917270.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,4ee3df76131f1012e7c12b7b837575e1,5e632cb9c0f641342a8e7c56fac6b777bf95360bf9eb17e8e19135d6159e6f67,ctls,1.t.4cdn.org,cloudflare,443,https://1.t.4cdn.org:443,https,cloudflare,text/html,GET,104.18.169.169,/,1210513009,2606:4700::6812:a9a9,Cloudflare,8,False,True,,,
4cdn.org,Just a moment...,403,7007,www.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,www.4chan.org,cloudflare,443,https://4cdn.org:443,https,cloudflare,text/html,GET,104.18.168.169,/,-1840324437,2606:4700::6812:aaa9,HTTP/3,87,False,True,"Cloudflare, Inc.",True,https://www.4chan.org/
4chan.org,Just a moment...,403,7002,4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,4chan.org,cloudflare,443,https://4chan.org:443,https,cloudflare,text/html,GET,104.19.128.108,/,510412002,104.19.129.108,HTTP/3,87,False,True,"Cloudflare, Inc.",True,
blog.4chan.org,4chan Blog,200,86404,blog.4chan.org,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,,2023-03-11T10:25:52Z,2023-06-09T10:25:51Z,CN=blog.4chan.org,blog.4chan.org,blog.4chan.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,72277e0c6af7cd71784d8c1f65bf9670,961c627a70c87e1636d72ff35b716f307eb88b10b880e878f458831e9a540eb6,ctls,blog.4chan.org,,443,https://blog.4chan.org:443,https,openresty,text/html,GET,74.114.154.18,/,1429438888,74.114.154.22,Tumblr,1487,False,,,,
boards.4chan.org,Just a moment...,403,7146,www.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,www.4chan.org,cloudflare,443,https://boards.4chan.org:443,https,cloudflare,text/html,GET,104.19.129.108,/,510412002,104.19.128.108,HTTP/3,87,False,True,"Cloudflare, Inc.",True,https://www.4chan.org/
cgi.4chan.org,4chan,200,14965,cgi.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,cgi.4chan.org,cloudflare,443,https://cgi.4chan.org:443,https,cloudflare,text/html,GET,104.19.128.108,/,510412002,104.19.129.108,HTTP/3,254,False,True,"Cloudflare, Inc.",True,
i.4cdn.org,Just a moment...,403,6784,www.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,www.4chan.org,cloudflare,443,https://i.4cdn.org:443,https,cloudflare,text/html,GET,104.18.169.169,/,510412002,2606:4700::6812:aba9,HTTP/3,87,False,True,"Cloudflare, Inc.",True,https://www.4chan.org/
images.4chan.org,Just a moment...,403,6950,www.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,www.4chan.org,cloudflare,443,https://images.4chan.org:443,https,cloudflare,text/html,GET,104.19.128.108,/,510412002,104.19.129.108,HTTP/3,87,False,True,"Cloudflare, Inc.",True,https://www.4chan.org/
img.4chan.org,4chan,200,15097,img.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,img.4chan.org,cloudflare,443,https://img.4chan.org:443,https,cloudflare,text/html,GET,104.19.129.108,/,510412002,104.19.128.108,HTTP/3,257,False,True,"Cloudflare, Inc.",True,
orz.4chan.org,4chan,200,14885,orz.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.4chan.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e95a4fc0127f68d4798e26913f1f7afc,1b7e3c8e4c9e431f5048b63d0519ec98c1d94f334eeaa7353ace4cb24d17e125,ctls,orz.4chan.org,cloudflare,443,https://orz.4chan.org:443,https,cloudflare,text/html,GET,104.19.128.108,/,510412002,104.19.129.108,HTTP/3,252,False,True,"Cloudflare, Inc.",True,
p.4chan.org,p4,200,1598,p.4chan.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-24T19:33:56Z,2023-06-22T20:16:22Z,CN=p.4chan.org,p.4chan.org,p.4chan.org,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,8914e6b2bc31fe0c9926b5d04698ba95,63be1a242b0bab190af868001b46cd421f5b993616a27d26ce7203a80d26f20d,ctls,p.4chan.org,,443,https://p.4chan.org:443,https,Google Frontend,text/html,GET,142.250.186.51,/,510412002,2a00:1450:4001:827::2013,Google Cloud Trace,38,False,,,,
