new,host,cname,status_code,a,soa,ns,mx,txt,caa
,001-zvsha55ybcsk7cze.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,04-0-2-6-2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,04-2-6.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,06-5-7-82.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,06-8-2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,116-6-9.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,116-7.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,13-51-9.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,14-86-5.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,15-9-9-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,155-9-206-70.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,168-91-4.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,18-2-6.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,18-4-8.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,196-49.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,2-1-4.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,2-vl-31.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,205-185-200-67.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,205-185-200-90.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,26-55.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,2m.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,310-22.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,336-7-2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,350-06.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,363-47.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,3fwww-0-5.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,3sales.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,4-99-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,44-0-2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,471a.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,48-6.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,481-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,49aa.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,4b85.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,4ups9.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,5-1-5.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,50-courier2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,53-59.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,55-601-9.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,564-50.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,61svxbvqx36t.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,652-2-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,652-3-63.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,668-9-2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,69-171-232-71.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,6fwww5-8.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,75-2-3-2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,7bxydz1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,7wkaq.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,85-69.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,86ff4fd.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,8c70.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,8hwxr22.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,934-6.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,95-6-53.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,95-74-35.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,991f.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,aab.aax.com,difubc9tfwyu6.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,ac.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,academy.aax.com,,NOERROR,128.199.110.195,"pdns11.domaincontrol.com, dns.jomax.net",,,,
,access-cg-board-12th-result.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,access-updateclients-wwwm.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,account.aax.com,d11qb0r7wkt25.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,accountlehighuniversity.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,adama.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,adminka-balto.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,admintest-slaveconfig.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,advertisingtools-au.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,ak-jun12-2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,alpha-weblab.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,alphaauth-assets-auth-antiviruspre.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,altan.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,amwaypoc.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,anniv.aax.com,d2mhruwqoog3ki.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,aoldc-m01.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,apf.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,apg-130-114-64-68.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,api-gl.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,api-preview-defaultproduction.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,api-prodapps-b2bsystem.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,appcenter.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,arearcsestoresbeta.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,arsdev.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,ascp-dev1-app.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,ash1-pstorage-a13.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,ash2-heroiccassandra-a17.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,ashburn.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,assetsvpn-api-web-manager-devel-vpn.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,atlprod2-ivrcct-ip-console.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,auth-vm1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,authst15-unich.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,backup-useralphalog-docs.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,baiduspider-124-166-232-8.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,blackwatch-config.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,bliss-143-78-189-50.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,blog.aax.com,,NOERROR,128.199.110.195,"pdns11.domaincontrol.com, dns.jomax.net",,,,
,bookmarks-plugin.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,bractontest.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,callback30-6.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,campaign.aax.com,dxg1iiyr283ex.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,caroloon88.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",,,
,cdn.aax.com,dwx83pf8348i0.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
