new,host,a,soa,status_code,aaaa,cname,mx,txt
[x],17-121-114-73.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],apiiptracking-postgresmx.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],bid47ic.allegroimg.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],dcl6-ncg0-fra3.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],drawhecc38nct07.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],errorstreamingsso-miembros.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],ipv4-c007-tyo001-ix.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],mey38.allegroimg.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],mum-39.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],systemprivatepostmandatabase-officebackups-domain.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],testing-img.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
[x],zoomnym192mmr.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,1.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,155-9-211-38.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,2.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,4.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,6.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,71-5-5.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,8.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,9.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,94-226-217-8.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,a43.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,admin-silver-develop.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,after-sales.allegrosandbox.pl,5.134.211.94,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dc8:30::130,,,
,allegro.cz.allegrosandbox.pl,5.134.215.168,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dc8:30::138,,,
,allegro.pl.allegrosandbox.pl,5.134.211.92,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dc8:30::121,,smtp.allegro.pl,v=spf1 ip4:193.23.48.0/24 ip4:193.203.222.0/23 ip4:194.0.251.0/24 ip4:178.21.152.0/21 ip4:5.134.208.0/21 ip4:91.194.188.0/23 ip4:91.207.14.0/23 -all
,allegro.sk.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,allegroimg.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,allegrostatic.com.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,allegrostatic.pl.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,aloha.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,alphap4.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,api-video-stg.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,api.allegro.pl.allegrosandbox.pl,185.31.27.131,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dcc:30::127,,,
,apiint-mx-corporate.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,apps.developer.allegro.pl.allegrosandbox.pl,5.134.211.91,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,external-test.allegrosandbox.pl,,
,archiwum.allegro.pl.allegrosandbox.pl,5.134.211.92,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dc8:30::121,allegro.pl.allegrosandbox.pl,smtp.allegro.pl,v=spf1 ip4:193.23.48.0/24 ip4:193.203.222.0/23 ip4:194.0.251.0/24 ip4:178.21.152.0/21 ip4:5.134.208.0/21 ip4:91.194.188.0/23 ip4:91.207.14.0/23 -all
,arteagostinho.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,b.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,c.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,com.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,configaccount-access-mirrorlive.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,d.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,dal09-prd-mtqrc-01.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,dcpa.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,de-final.allegrosandbox.pl,54.144.128.85,,NOERROR,,,,
,debug-internalmain-erpalt.steel-pl.allegrosandbox.pl,,,NOERROR,,,,
,developer.allegro.pl.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,e.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,edge.allegro.pl.allegrosandbox.pl,5.134.211.98,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dc8:30::122,,,
,eds-aldc-tw10.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,enterprise.allegro.pl.allegrosandbox.pl,5.134.215.169,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,errorupload-wikiengineeringcistorebackups-www-test.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,external-test.allegrosandbox.pl,5.134.211.91,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,fcrd1-2.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,gen-chat-call.allegro.pl.allegrosandbox.pl,5.134.211.100,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,h-135-207-39-78.olympus.allegrosandbox.pl,,,NOERROR,,,,
,h-135-207-61-77.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,ipv4-c024-orf001-ix.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,linear-p-isp2.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,livestand4.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,locin.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,lon3-publish-a2.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,myheartchakra.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,noelle.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,norway.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,parador-backup.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,payu.allegrosandbox.pl,5.134.211.96,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,printingcenterusa.olympus.allegrosandbox.pl,,,NOERROR,,,,
,private-zvcrvybnvp6nlisu.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,private.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,proxy-allegroimg.allegrosandbox.pl,,,NOERROR,2602:fcbc:0:3::11,,,
,qausers.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,registerv2.allegroimg.allegrosandbox.pl,,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,smfc.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,sopra-po-qa-eu.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,ssl.allegro.pl.allegrosandbox.pl,5.134.211.92,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,static.allegro.pl.allegrosandbox.pl,5.134.211.93,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,static.allegrostatic.pl.allegrosandbox.pl,5.134.211.93,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,sueap.olympus.allegrosandbox.pl,54.144.128.85,,NOERROR,2602:fcbc:0:3::11,,,
,t.allegro.pl.allegrosandbox.pl,185.31.26.128,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dcc:30::122,,,
,testworld.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,tor113-153-grc.poppl.allegrosandbox.pl,54.144.128.85,,NOERROR,,,,
,tor41-57-pdd.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,tuition.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,uncontenting.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,upload.allegro.pl.allegrosandbox.pl,5.134.211.102,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,2a02:dcc:30::129,,,
,uploads-private-userredirectdoc-corporate.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,urbanistica.allegroimg.allegrosandbox.pl,185.31.26.142,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
,useradmin.allegroimg.allegrosandbox.pl,5.134.213.51,"dns1.allegro.pl, hostmaster.allegro.pl",NOERROR,,,,
