input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_expired,tls_subject_org_,csp_domains_,final_url
apsis.com,APSIS | International,200,128278,,443,https://apsis.com:443,https,Apache,text/html,GET,172.104.253.185,/,-780928015,172.104.253.185,ZURB Foundation,3088,False,,apsis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-11T10:58:28Z,2023-08-09T10:58:27Z,CN=www.apsis.com,www.apsis.com,www.apsis.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a0c37bec69a130e8ef7cbc464f169747,a17bb3cd332d9fd7c9b32f84d63de0e746746e1c06c39489f2be7c56a34d2c20,,ctls,apsis.com,,,,
calendar.apsis.com,Sign in - Google Accounts,200,1402,,80,http://calendar.apsis.com:80,http,GSE,text/html,GET,172.217.16.147,/,-1609639549,2a00:1450:4001:808::2013,OpenGSE,32,False,,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,,url=https://www.google.com/accounts/AccountChooser?hd=apsis.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,https://www.google.com/a/apsis.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600
customers.apsis.com,Not Found,404,315,,443,https://customers.apsis.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,159.135.149.7,/,225052475,159.135.149.7,Microsoft HTTPAPI:2.0,7,False,,customers.apsis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2022-11-13T00:00:00Z,2023-12-14T23:59:59Z,CN=*.anpdm.com,*.anpdm.com,anpdm.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ecc671cb3b869979f2c4c564ee091e59,60165bd7671aa3681d0cc5e157d8ec44be42b3aee2fa61d7c9ed577701d7238b,True,ctls,customers.apsis.com,,,,
customweb1.apsis.com,,200,,,80,http://customweb1.apsis.com:80,http,Apache,text/html,GET,34.250.47.192,/,-780928015,34.250.47.192,Apache,1,False,,,,,,,,,,,,,,,,,,,,,,,,
developer.apsis.com,Geographic regions,200,1092928,cloudflare,443,https://developer.apsis.com:443,https,cloudflare,text/html,GET,104.18.211.56,/,-1972962719,2606:4700::6812:d338,Heroku,204,False,True,developer.apsis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=developer.apsis.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",developer.apsis.com,developer.apsis.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1e0580254f2075f4cf01034e6d46ff22,d9cad60852e2a36e19277b380c827c83b98fb562d4929a2dcad800cb8a51a05d,,ctls,developer.apsis.com,,"Cloudflare, Inc.",,https://developer.apsis.com/reference/geographic-regions
docs.apsis.com,Sign in - Google Accounts,200,1449,,80,http://docs.apsis.com:80,http,GSE,text/html,GET,172.217.16.147,/,1151620355,2a00:1450:4001:808::2013,OpenGSE,32,False,,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,,url=https://www.google.com/accounts/AccountChooser?hd=apsis.com&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Fapsis.com%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Fapsis.com%2F&osid=1&service=wise&faa=1,https://www.google.com/a/apsis.com/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/apsis.com/&followup=https://drive.google.com/a/apsis.com/&faa=1
ema.apsis.com,404 Not Found,404,196,,443,https://ema.apsis.com:443,https,Apache,text/html,GET,172.104.253.185,/,-780928015,172.104.253.185,Apache,8,False,,ema.apsis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-04-04T11:17:23Z,2023-07-03T11:17:22Z,CN=*.cloudnet.cloud,*.cloudnet.cloud,*.cloudnet.cloud,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79a8a11b02c2ae4b01b4a9be5f07d552,ec76b521a618dc524031aa50f03cf9e14c96112f819294c5107c3dcc52d1b006,True,ctls,ema.apsis.com,,,,
enterpriseregistration.apsis.com,Service,404,1565,azure,443,https://enterpriseregistration.apsis.com:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,enterpriseregistration.apsis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.apsis.com,,Microsoft Corporation,,
files.apsis.com,,403,243,cloudfront,443,https://files.apsis.com:443,https,AmazonS3,application/xml,GET,108.138.17.124,/,832325297,2600:9000:2491:5200:0:c201:bcc0:93a1,HSTS,2,False,True,files.apsis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2023-12-13T23:59:59Z,CN=files.apsis.com,files.apsis.com,files.apsis.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7957902bc1a178069f3d7c141fa1f73f,f3aff614d02b338fc51f2175b7a979974d726e6d7903fde3f8673c7457e750fc,,ctls,files.apsis.com,,,,
fwdkim1.apsis.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://fwdkim1.apsis.com:80,http,CloudFront,text/html,GET,13.225.78.58,/,-1964580377,13.225.78.38,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,
