input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,tls_subject_org_,final_url
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9a2e3bdb59e5e95d228e75d310a78882,d790862c00287a7090cf7874aa239d58ff9b46c2cc3a3226a087a0ecec752270,True,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.185.132,/,302920777,2a00:1450:4001:806::2004,HTTP/3,1831,False,,,,,https://marketingplatform.google.com/about/analytics/
*.google.com,Google,200,216846,https://csp.withgoogle.com/csp/gws/other-hp,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:18Z,2023-07-31T08:25:17Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6d20e0dbb4ec708878643b98c3dab7c0,fe533bafa6d4fa380bc8b5bafade084b21264bd2601c5f581bf9730db96e6d04,,ctls,www.google.com,443,https://google.com:443,https,gws,text/html,GET,142.250.181.238,/,708578229,2a00:1450:4001:810::200e,HTTP/3,147,False,,,,,https://www.google.com/
*.google.de,Google,200,215120,https://csp.withgoogle.com/csp/gws/other-hp,www.google.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:51Z,2023-07-31T08:24:50Z,CN=www.google.de,www.google.de,www.google.de,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7a1378aa7d9c977b248136eb2147eb5e,2c535714b5238302fd44bb5c7d5d20b2969172fb765310b74cc02c3dd6eace72,,ctls,www.google.de,443,https://google.de:443,https,gws,text/html,GET,142.250.184.195,/,708578229,2a00:1450:4001:82f::2003,HTTP/3,147,False,,,,,https://www.google.de/
*.googleadservices.com,Error 404 (Not Found)!!1,404,1561,,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:23:33Z,2023-07-31T08:23:32Z,CN=*.googleadservices.com,*.googleadservices.com,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,82097d4325b2cb920c66d151aad9c9a8,ee0ef101194d34f38733c774b1bdf4fe989c715fc9197b0ec61aba917889adba,True,ctls,googleadservices.com,443,https://googleadservices.com:443,https,sffe,text/html,GET,142.250.185.162,/,302920777,142.250.185.162,HTTP/3,12,False,,,,,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:20Z,2023-07-31T08:24:19Z,CN=*.googleapis.com,*.googleapis.com,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,1f473344eff6e8a3dc9bc322d7ef3ed9,837672b31675d921de77c607b90e92dcbb8cfd5b7c415f1014cdd1131a92dc03,True,ctls,googleapis.com,443,https://googleapis.com:443,https,,text/html,GET,142.250.181.228,/,302920777,2a00:1450:4001:82f::2004,HTTP/3,12,False,,,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c1ac5cd6a000c4bf3342e0400fcf88f8,3b48e7bfaf4c6d638b501e1089c789811e5f966b4be81594a0d0323e40818f35,True,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.184.232,/,302920777,2a00:1450:4001:829::2008,HTTP/3,12,False,,,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:48Z,2023-07-31T08:24:47Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e2fa159081bb6314a59148c7b5d1211a,0f6b81b9f067c52dd5708e184a9f4d33e8bd982625a16053543f78d0768da6af,True,ctls,www.gstatic.com,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.186.99,/,302920777,2a00:1450:4001:80e::2003,HTTP/3,12,False,,,,,https://www.gstatic.com/
*.hotjar.com,Hotjar: Website Heatmaps & Behavior Analytics Tools,200,282066,,www.hotjar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-11-23T23:59:59Z,CN=*.hotjar.com,*.hotjar.com,hotjar.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,54638f1f3a40f685a2b7e2152ab03579,a25dec72ea3e5a283b6a53a564ea2ef61d08e33d461848a68334173dbe669213,True,ctls,www.hotjar.com,443,https://hotjar.com:443,https,,text/html,GET,13.224.189.7,/,-289595996,13.224.189.29,webpack,585,False,,cloudfront,True,,https://www.hotjar.com/
*.hubspot.com,"HubSpot | Software, Tools, Resources for Your Business",200,194497,gosniply.com,www.hubspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-02T00:00:00Z,2023-09-01T23:59:59Z,"CN=www.hubspot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.hubspot.com,www.hubspot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b2017ce46785b130427e4247d66335c,a5dc2debedb9e9dba178fbf9e33ffc44b94c578cb466c84b9296ff2a80a00924,,ctls,www.hubspot.com,443,https://hubspot.com:443,https,cloudflare,text/html,GET,104.19.154.83,/,-1498807902,2606:4700::6813:9a53,HubSpot CMS Hub,2371,False,,cloudflare,True,"Cloudflare, Inc.",https://www.hubspot.com/
accounts.azena.com,Azena User Management,200,1125,*.hubspot.com,accounts.azena.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-21T23:59:59Z,CN=*.azena.com,*.azena.com,*.azena.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,50c3fde727ae0fe03d4eb09865c7e96b,398d05899e2e5fec207d259ab368f6bdacc5f314db61206af474a69a50f6a71e,True,ctls,accounts.azena.com,443,https://accounts.azena.com:443,https,nginx,text/html,GET,3.67.82.191,/,-1919473143,3.68.125.150,Nginx,1,False,,,,,
