input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,cdn_name,cdn,final_url,csp_domains_
*.bbc.co.uk,BBC - Home,200,566899,www.bbc.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,ctls,www.bbc.co.uk,443,https://bbc.co.uk:443,https,text/html,GET,151.101.0.81,/,111446429,2a04:4e42:600::81,96,False,,BRITISH BROADCASTING CORPORATION,True,BBC-GTM,Varnish,fastly,True,https://www.bbc.co.uk/,www.youtube-nocookie.com
*.bbci.co.uk,BBC - Home,200,566899,www.bbc.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,ctls,www.bbc.co.uk,80,http://bbci.co.uk:80,http,text/html,GET,212.58.249.206,/,1885580238,212.58.244.210,96,False,,BRITISH BROADCASTING CORPORATION,True,BBC-GTM,Varnish,,,https://www.bbc.co.uk/,www.bbc.co.uk
account.bbc.com,BBC – Sign in,200,129143,account.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-02-01T14:16:06Z,2024-03-04T14:16:05Z,"CN=*.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.bbc.co.uk,bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,0b82e8ed6fa893a33bda024115be6a7e,ab4e080c641b9b3e5ce79d3e96c0168bdf852d6ffb83d1d66bacb6d819964586,ctls,account.bbc.com,443,https://account.bbc.com:443,https,text/html,GET,212.58.244.93,/,-1596052821,212.58.249.135,182,False,,BRITISH BROADCASTING CORPORATION,True,Apache,HSTS,,,https://account.bbc.com/signin?realm=%2F&clientId=Account&context=international&lang=ar-SA&isCasso=false&action=sign-in&redirectUri=https%3A%2F%2Fsession.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&service=IdSignInService&nonce=dLXk2VPy-G5jNLP5hLNExIWLfUqfe6xERBBo,ichef.bbci.co.uk
account.id.stage.api.bbc.com,BBC – Sign in,200,129105,account.stage.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-02-14T06:36:02Z,2024-03-17T06:36:01Z,"CN=*.stage.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.stage.bbc.co.uk,stage.bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,4b6118b53412da233cf291fb6b47f2dc,10b421d8fcc7ac9bcb4fac1796d30de38275c9e72017f1401002960633140122,ctls,account.stage.bbc.com,443,https://account.id.stage.api.bbc.com:443,https,text/html,GET,52.209.8.74,/,-1909693246,54.76.201.69,182,False,,BRITISH BROADCASTING CORPORATION,True,Apache,HSTS,,,https://account.stage.bbc.com/signin?realm=%2F&clientId=Account&lang=ar-SA&isCasso=false&action=sign-in&redirectUri=https%3A%2F%2Fsession.stage.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&service=IdSignInService&nonce=CezpDoMc-MAYuqBjpGVtWE-eF9grXjbBn0GY,cdn.optimizely.com
account.stage.bbc.com,BBC – Sign in,200,129127,account.stage.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-02-14T06:36:02Z,2024-03-17T06:36:01Z,"CN=*.stage.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.stage.bbc.co.uk,stage.bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,4b6118b53412da233cf291fb6b47f2dc,10b421d8fcc7ac9bcb4fac1796d30de38275c9e72017f1401002960633140122,ctls,account.stage.bbc.com,80,http://account.stage.bbc.com:80,http,text/html,GET,212.58.244.175,/,-1596052821,212.58.249.67,182,False,,BRITISH BROADCASTING CORPORATION,True,Apache,HSTS,,,https://account.stage.bbc.com/signin?realm=%2F&clientId=Account&context=international&lang=ar-SA&isCasso=false&action=sign-in&redirectUri=https%3A%2F%2Fsession.stage.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&service=IdSignInService&nonce=VSUiVnzG-amINCO_OV9PViJA9y_r4JF9S2S8,optimizely.s3.amazonaws.com
account.stage.bbc.com.pri.bbc.com,,404,30,account.stage.bbc.com.pri.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-02-14T06:36:02Z,2024-03-17T06:36:01Z,"CN=*.stage.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.stage.bbc.co.uk,stage.bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,4b6118b53412da233cf291fb6b47f2dc,10b421d8fcc7ac9bcb4fac1796d30de38275c9e72017f1401002960633140122,ctls,account.stage.bbc.com.pri.bbc.com,443,https://account.stage.bbc.com.pri.bbc.com:443,https,text/html,GET,212.58.244.175,/,1035856272,212.58.249.67,1,False,True,BRITISH BROADCASTING CORPORATION,True,,,,,,
api-preprod.player.bbc.com,Invalid URL,400,208,api-preprod.player.bbc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=*.test.edgekey.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",*.test.edgekey.net,test.edgekey.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,93a880620156d07fde73c993df17f45f,1356b4f25e1c8342091e6ccc4471fa9c7a09068ba577ae49d637dfd01512f63f,ctls,api-preprod.player.bbc.com,443,https://api-preprod.player.bbc.com:443,https,text/html,GET,104.102.32.32,/,-991397699,104.102.32.32,8,False,True,"Akamai Technologies, Inc.",True,AkamaiGHost,,,,,
api.pwnedpasswords.com,,400,17,api.pwnedpasswords.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e54954fd7b37c99862d3a935687c1d85,f6b7c62e798d3ead8ee3e8fd149e1f282a30b12f7fc1ae3fababba7b9098726e,ctls,api.pwnedpasswords.com,443,https://api.pwnedpasswords.com:443,https,text/plain,GET,104.18.206.87,/,2063316494,2606:4700::6811:ac66,1,False,,"Cloudflare, Inc.",True,cloudflare,HSTS,cloudflare,True,,
api.test.bbcx.test.api.bbc.com,,404,23,api.test.bbcx.test.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=api.test.bbcx.test.api.bbc.com,api.test.bbcx.test.api.bbc.com,api.test.bbcx.test.api.bbc.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c89c72f59c4291c420c83a0f89fff0e7,acfc3ee43f1c37c8de0e5f69d0dad3829fef15cb5cc48b0eed8a2958b003845d,ctls,api.test.bbcx.test.api.bbc.com,443,https://api.test.bbcx.test.api.bbc.com:443,https,application/json,GET,52.59.108.159,/,631524574,3.126.37.194,1,False,,,,,,,,,
bag.int.api.bbc.com,,200,47,bag.int.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T10:06:02Z,2024-03-11T10:06:01Z,"CN=bag.int.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",bag.int.api.bbc.co.uk,bag.stage.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3fa3341d7f44fb9aa610df41a53bfa2f,3b0f047505decdf7c41d47b49964e2f6e28ac55a85af6c834d69a1be04fd5abb,ctls,bag.int.api.bbc.com,443,https://bag.int.api.bbc.com:443,https,text/plain,GET,34.243.192.146,/,-1653567120,54.246.91.62,1,False,,BRITISH BROADCASTING CORPORATION,,Apache,Apache,,,,
