new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,mx,ns,txt
[x],bkex.com,"170.33.13.134, 97.74.110.52, 173.201.78.52","2603:5:21e1::34, 2603:5:22e1::34",,"pdns05.domaincontrol.com, dns.jomax.net",NOERROR,,,,,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","pdns05.domaincontrol.com, pdns06.domaincontrol.com",v=spf1 include:_spf.google.com -all
[x],bkk.fun,"39.96.153.40, 39.96.153.60, 47.118.199.200, 47.118.199.220, 120.76.107.40, 120.76.107.60, 139.224.142.100, 139.224.142.110, 39.96.153.38, 39.96.153.61, 47.118.199.198, 47.118.199.222, 120.76.107.38, 120.76.107.61, 139.224.142.98, 139.224.142.108","2408:4009:501::29, 2408:4009:501::30",,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,,,,"dns21.hichina.com, dns22.hichina.com",
[x],www.google.com.channel.signin.verification.attachment.bkk.fun.bkk.fun,154.83.15.20,,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,,,,,
[x],www.google.com.developers.signin.verification.attachment.bkk.fun.bkk.fun,173.234.53.168,2a03:2880:f130:83:face:b00c:0:25de,,,NOERROR,,,,,,,
[x],www.google.com.digital.signin.verification.attachment.bkk.fun.bkk.fun,,2a03:2880:f10a:83:face:b00c:0:25de,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,,,,,
[x],www.google.com.proxyautomation.signin.verification.attachment.bkk.fun.bkk.fun,199.16.156.7,,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,,,,,
,broker.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:76d, 2606:4700::6812:66d",broker.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,c2c.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:66d, 2606:4700::6812:76d",c2c.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,download.bkk.fun,,,oss-hk-pub-read.oss-cn-hongkong.aliyuncs.com,"hidden-master.aliyun.com, hostmaster.aliyun-inc.com",NOERROR,,,,,,,
,h5.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:66d, 2606:4700::6812:76d",h5.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,m.bkex.com,,,m.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,"pdns06.domaincontrol.com, pdns05.domaincontrol.com",
,otc.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:66d, 2606:4700::6812:76d",otc.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,safevpn.comlwww.bkk.fun,54.76.135.1,2001::1,,,NOERROR,,,True,2001::1,,,
,simswap.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:66d, 2606:4700::6812:76d",simswap.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,spapi.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:66d, 2606:4700::6812:76d",spapi.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,swap.bkex.com,"104.18.7.109, 104.18.6.109","2606:4700::6812:76d, 2606:4700::6812:66d",swap.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,swapi.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:66d, 2606:4700::6812:76d",swapi.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,www.google.com.cyberalert.signin.verification.attachment.bkk.fun,205.186.152.122,,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,,,,,
,www.google.com.digital.signin.verification.attachment.bkk.fun,202.160.128.96,2a03:2880:f12c:183:face:b00c:0:25de,,,NOERROR,,,,,,,
,www.google.com.googledocs.signin.verification.comlwww.bkk.fun,157.240.0.18,,,,NOERROR,,,,,,,
,www.google.com.googledocs.signin.verification.control.bkk.fun,,,,,NOERROR,,,,,,,
,www.google.com.googledocs.signin.verification.dev.bkk.fun,128.121.243.77,2a03:2880:f134:183:face:b00c:0:25de,,,NOERROR,,,,,,,
,www.google.com.googledocs.signin.verification.staging.bkk.fun,31.13.84.34,,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,,,,,
,www.google.com.svc.signin.verification.attachment.bkk.fun,162.220.12.226,2a03:2880:f127:283:face:b00c:0:25de,,,NOERROR,,,,,,,
