new,host,ttl,a,cname,soa,status_code,ns,txt,caa,cdn,cdn-name,mx,has_internal_ips,internal_ips
[x],bitmex.com,60,"3.161.82.116, 3.161.82.92, 3.161.82.107, 3.161.82.34",,"{'name': 'bitmex.com', 'ns': 'ns-940.awsdns-53.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitmex.com', 'ns': 'ns-940.awsdns-53.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitmex.com', 'ns': 'ns-940.awsdns-53.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitmex.com', 'ns': 'ns-940.awsdns-53.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1076.awsdns-06.org, ns-1852.awsdns-39.co.uk, ns-940.awsdns-53.net, ns-237.awsdns-29.com","MS=ms23096642, adobe-idp-site-verification=222a3680b8680f9554f93a2595c57965566f009311e08d3c5fc8eae1803aebdb, apple-domain-verification=YJUNbdTYQXXtsuj0, atlassian-domain-verification=4Lru4aRp4OrwfJGjKJ6/8zC69IzsLxLREyuZ2P5kKtBZrTiCWLHASyBHxI5iu8yI, atlassian-domain-verification=LyINlKHTfEF40MCCIgXEkfQwf1mgq4gC5Rr3Lpix7L1FpBsnBEg/uwHeOquaPyfi, atlassian-domain-verification=yaQFhmTmVVVDRktcMgGNW/EingAsB00nXTwWJasaH2PiMxxIQKBwZAr9a6B133Zn, ca3-53d9495aaf5a493fa0e5410127b27404, ca3-8ff7e2fde3674782b21da450f02a93ab, contractworksverify=mfNx4906VvFYP3Xz, docusign=4da56eb0-51d5-4185-9e51-d34310b2f4a1, google-site-verification=ILrODU2QHMcJ8gMRgr-CI-rsOtuXLHNlWBQ0ggnsdIw, jamf-site-verification=0dgqExIkv_6maC2YwY85PA, mixpanel-domain-verify=08f14a46-8ee0-483a-8851-d6b510b64a51, segment-site-verification=zG5JxZwVgolipp2Fi0hktgBoezLF2Avu, slack-domain-verification=XqXPpfArCiXYo49qepuUFkyJBklhJGaDTQq4PwxR, status-page-domain-verification=cpdp3kcgfckq, v=spf1 include:_spf.google.com include:u8386227.wl228.sendgrid.net include:stspg-customer.com include:mail.zendesk.com -all, zapier-domain-verification-challenge=a20504ff-fc82-4e7a-83c8-27261d11ab2e",,True,cloudfront,smtp.google.com,,
,account.devhk.bitmex.com,60,"52.213.124.246, 52.18.128.45, 99.81.162.29",account.devhk.services.bitmex.com,"{'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,
,api.analytics.bitmex.com,300,"172.64.155.181, 104.18.32.75",api.analytics.bitmex.com.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 5}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,api.devhk.direct.bitmex.com,60,"99.80.147.83, 3.248.145.219, 34.255.19.178",,"{'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,
,api.devhk.services.bitmex.com,40,"99.81.162.29, 52.213.124.246, 52.18.128.45",,"{'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.services.bitmex.com', 'ns': 'ns-120.awsdns-15.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,
,api.direct.bitmex.com,60,"52.208.119.248, 52.19.13.208, 34.241.54.197",,"{'name': 'direct.bitmex.com', 'ns': 'ns-1837.awsdns-37.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'direct.bitmex.com', 'ns': 'ns-1837.awsdns-37.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'direct.bitmex.com', 'ns': 'ns-1837.awsdns-37.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'direct.bitmex.com', 'ns': 'ns-1837.awsdns-37.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1011.awsdns-62.net, ns-1358.awsdns-41.org, ns-1837.awsdns-37.co.uk, ns-21.awsdns-02.com",,,,,,,
,api.testnet.direct.bitmex.com,60,"3.254.16.22, 18.202.116.98, 18.202.157.21",,"{'name': 'testnet.direct.bitmex.com', 'ns': 'ns-814.awsdns-37.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'testnet.direct.bitmex.com', 'ns': 'ns-814.awsdns-37.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'testnet.direct.bitmex.com', 'ns': 'ns-814.awsdns-37.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'testnet.direct.bitmex.com', 'ns': 'ns-814.awsdns-37.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'testnet.direct.bitmex.com', 'ns': 'ns-814.awsdns-37.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'testnet.direct.bitmex.com', 'ns': 'ns-814.awsdns-37.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1086.awsdns-07.org, ns-178.awsdns-22.com, ns-2033.awsdns-62.co.uk, ns-814.awsdns-37.net",,,,,,,
,api2.devhk.direct.bitmex.com,60,"52.209.196.248, 52.50.133.26, 63.32.121.22",,"{'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devhk.direct.bitmex.com', 'ns': 'ns-1130.awsdns-13.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,
,auth.bitmex.com,60,,auth.bitmex.com.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,auth.devhk.bitmex.com,60,"104.18.32.75, 172.64.155.181",auth.devhk.bitmex.com.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2342895338, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
