new,host,ttl,a,aaaa,cname,soa,status_code,mx,txt,caa
[x],bugv.io,300,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",,"{'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,bugv-io.mail.protection.outlook.com,"google-site-verification=obiCG5P5gCuFncGeldPzYTptUzKUhyyEMzQcYE1IZ7A, MS=ms59345024, v=spf1 include:spf.protection.outlook.com -all",
,app.bugv.io,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",,"{'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,autodiscover.bugv.io,300,"52.98.242.248, 52.97.135.104, 52.98.171.232, 40.99.150.88, 40.99.150.40, 52.98.179.56, 52.98.152.168, 40.99.214.40","2603:1026:c03:5819::8, 2603:1026:207:a6::8, 2603:1026:207:b9::8, 2603:1026:c03:3000::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","{'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024629493, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024602549, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024557879, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024602787, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024630741, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",NOERROR,,,
,blog.bugv.io,1800,,,,"{'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,docs.bugv.io,300,"172.64.147.209, 104.18.40.47","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",hosting.gitbook.io,"{'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343785007, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343785007, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343785007, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"digicert.com, letsencrypt.org, pki.goog"
,enterpriseenrollment.bugv.io,300,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com","{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,
,enterpriseregistration.bugv.io,300,"20.190.152.144, 20.190.152.23, 20.190.152.80, 40.126.24.145","2603:1036:3000:10::2, 2603:1037:1:8::7, 2603:1037:1:10::, 2603:1037:1:18::","enterpriseregistration.windows.net, na.privatelink.msidentity.com, prdf.aadg.msidentity.com, www.tm.f.prd.aadg.trafficmanager.net, www.tm.f.prd.aadg.akadns.net","{'name': 'trafficmanager.net', 'ns': 'tm1.dns-tm.com', 'mailbox': 'hostmaster.trafficmanager.net', 'serial': 2003080800, 'refresh': 900, 'retry': 300, 'expire': 2419200, 'minttl': 30}, {'name': 'akadns.net', 'ns': 'internal.akadns.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1712104200, 'refresh': 90000, 'retry': 90000, 'expire': 90000, 'minttl': 180}, {'name': 'akadns.net', 'ns': 'internal.akadns.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1712104200, 'refresh': 90000, 'retry': 90000, 'expire': 90000, 'minttl': 180}, {'name': 'trafficmanager.net', 'ns': 'tm1.dns-tm.com', 'mailbox': 'hostmaster.trafficmanager.net', 'serial': 2003080800, 'refresh': 900, 'retry': 300, 'expire': 2419200, 'minttl': 30}, {'name': 'trafficmanager.net', 'ns': 'tm1.dns-tm.com', 'mailbox': 'hostmaster.trafficmanager.net', 'serial': 2003080800, 'refresh': 900, 'retry': 300, 'expire': 2419200, 'minttl': 30}",NOERROR,,,
,stage.bugv.io,300,18.141.137.21,,,"{'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,status.bugv.io,300,,,statuspage.betteruptime.com,"{'name': 'betteruptime.com', 'ns': 'haley.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343860141, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'betteruptime.com', 'ns': 'haley.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343860141, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'betteruptime.com', 'ns': 'haley.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343860141, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'betteruptime.com', 'ns': 'haley.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343860141, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,letsencrypt.org
,www.bugv.io,300,"188.114.97.0, 188.114.96.0","2a06:98c1:3120::, 2a06:98c1:3121::",,"{'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugv.io', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2342492155, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
