new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,mx,ns,txt,caa
[x],abmail.notifications.verse.me,,u6518893.wl144.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,,v=spf1 ip4:167.89.10.149 -all,
,ablinks.notifications.verse.me,35.241.43.191,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,admin.taxes.cash.app,35.244.166.83,admin.usc1.taxes.cash.app,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,admin.taxes.cashstaging.app,34.98.102.201,admin.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,admin.usc1.taxes.cash.app,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,admin.usc1.taxes.cashstaging.app,34.98.102.201,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,ambassadors.joinverse.com,35.241.43.191,joinverse.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,"aspmx2.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com, alt2.aspmx.l.google.com","ns-cloud-c2.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com","v=spf1 include:mail.zendesk.com include:_spf.google.com ~all, facebook-domain-verification=zascw6tv8r91fzle6fh1qn591ew7dx",
,ambassadors.verse.me,35.241.43.191,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,api.cash.app,"151.101.2.133, 151.101.66.133, 151.101.130.133, 151.101.194.133",d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,api.cashstaging.app,146.75.118.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,api.joinverse.com,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,api.taxes.cash.app,34.102.166.121,api.usc1.taxes.cash.app,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,api.taxes.cashstaging.app,34.117.5.177,api.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,api.usc1.taxes.cash.app,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,api.usc1.taxes.cashstaging.app,34.117.5.177,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,app.joinverse.com,35.227.245.106,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,apparel-supporter.cash.app,151.101.246.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,assets.taxes.cash.app,34.149.180.159,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,auto-cash-apps.jimdosite.com,"162.159.128.70, 162.159.129.70",web.jimdosite.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:7::a29f:8146, 2606:4700:7::a29f:8046",,,,
,beta.admin.taxes.cashstaging.app,34.117.111.114,beta.admin.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,beta.admin.usc1.taxes.cashstaging.app,34.117.111.114,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,beta.api.taxes.cashstaging.app,34.149.107.237,beta.api.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
