input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_subject_org_,final_url,tls_self_signed,tls_expired
accounts-us.checkpoint.com,Login,200,2909,accounts-us.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,accounts-us.checkpoint.com,,443,https://accounts-us.checkpoint.com:443,https,Apache,text/html,GET,209.87.222.120,/,116323821,2001:67c:2840:5::11,HSTS,1,False,,,https://accounts.checkpoint.com:443,,,,
accounts.checkpoint.com,Login,200,2909,accounts.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,accounts.checkpoint.com,cloudfront,443,https://accounts.checkpoint.com:443,https,Apache,text/html,GET,18.66.97.26,/,116323821,18.66.97.102,HSTS,1,False,True,,https://accounts.checkpoint.com:443,,,,
accounts.g04.checkpoint.com,CA Access Gateway - Error Report,500,628,accounts.g04.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,accounts.g04.checkpoint.com,,443,https://accounts.g04.checkpoint.com:443,https,Apache,text/html,GET,194.29.39.47,/,-1139386442,194.29.39.47,Apache,1,False,,True,,,,,
advisories-stg.checkpoint.com,403 Forbidden,403,146,advisories-stg.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T16:25:04Z,2023-08-02T16:25:03Z,CN=advisories-stg.checkpoint.com,advisories-stg.checkpoint.com,advisories-stg.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1a278b797f6f4dcf66ac5955b09499cc,adf0d8be972ad1d8a094ea38570946613246696e8a07f53401c165dc350c2abf,,ctls,advisories-stg.checkpoint.com,,443,https://advisories-stg.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.20,/,-1561873722,141.193.213.21,HTTP/3,8,False,,,,,,,
advisories.checkpoint.com,Advisories Archive - Check Point Software,200,144792,advisories.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T13:25:53Z,2023-08-02T13:25:52Z,CN=advisories.checkpoint.com,advisories.checkpoint.com,advisories.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,074d9ffcf49133ff215c48c374dfda47,c4fa67fe4ed084eb8bc8ae9a1f778daf5feeb1020d95e0e1080b25b9561c0a8e,,ctls,advisories.checkpoint.com,,443,https://advisories.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.21,/,-1840324437,141.193.213.20,Yoast SEO:20.8,2214,False,,,,,https://advisories.checkpoint.com/advisories/,,
agony-meter-stg.checkpoint.com,403 Forbidden,403,146,agony-meter-stg.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T17:27:26Z,2023-06-13T17:27:25Z,CN=agony-meter-stg.checkpoint.com,agony-meter-stg.checkpoint.com,agony-meter-stg.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c96c3eb87d1edd78239aeb12b5e3d106,0683de3dcaa448b87b7bb49a07e89bd0f15c7a86e1d6ee533df50d0ab0db2f50,,ctls,agony-meter-stg.checkpoint.com,,443,https://agony-meter-stg.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.20,/,-1561873722,141.193.213.21,HTTP/3,8,False,,,,,,,
agony-meter.checkpoint.com,Check Point's Agony Meter – Cybersecurity Management Efficiency Scale,200,26456,agony-meter.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T17:26:12Z,2023-06-13T17:26:11Z,CN=agony-meter.checkpoint.com,agony-meter.checkpoint.com,agony-meter.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,70eca416e9a0943a65033584bb6e48af,f8f84cfb3f0a73fc628a00ad1a311926fcb2a4b6a523bc0c2af31a80bd9372d4,,ctls,agony-meter.checkpoint.com,,443,https://agony-meter.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.20,/,-1840324437,141.193.213.21,WordPress,124,False,,,,,,,
anti-debug.checkpoint.com,Anti-Debug Tricks,200,10561,anti-debug.checkpoint.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-20T19:04:38Z,2023-08-18T19:04:37Z,CN=anti-debug.checkpoint.com,anti-debug.checkpoint.com,anti-debug.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,96348c0e56e3af4ba50537da3d7fa034,3add8963b394875737312093ced2380cf3ee7c12fec3e50bd4ff07da2b49e7d9,,ctls,anti-debug.checkpoint.com,,443,https://anti-debug.checkpoint.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,1268870372,2606:50c0:8001::153,Varnish,348,False,,,,,,,
ap-southeast-2.g04.checkpoint.com,404 File Not Found,404,204,ap-southeast-2.g04.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-01T09:21:55Z,2024-05-01T09:21:55Z,"CN=aws-sydney-be-r81-cluster-tgw VPN Certificate, O=natasha..8ye75g",aws-sydney-be-r81-cluster-tgw VPN Certificate,,O=natasha..8ye75g,,natasha..8ye75g,8af65a594c152aa85992e56ad09e1f38,7c121825eb7db385c7193df9295a2f838e37e6ccc5fed6f1892c410fa99b2b6e,,ctls,ap-southeast-2.g04.checkpoint.com,,443,https://ap-southeast-2.g04.checkpoint.com:443,https,Check Point SVN foundation,text/html,GET,3.105.14.157,/,-993165615,3.105.14.157,HSTS,13,False,,True,,natasha..8ye75g,,True,
ap.portal.checkpoint.com,Check Point Infinity Portal,200,3652,ap.portal.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-08-26T23:59:59Z,CN=*.ap.portal.checkpoint.com,*.ap.portal.checkpoint.com,ap.portal.checkpoint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b90e5e6848ff0342c752c4a0bc4589a2,995d707c32bbbff973de4fdf3ddfcff553474434cf5c91a9e41e63d2f3c5e3f2,True,ctls,ap.portal.checkpoint.com,,443,https://ap.portal.checkpoint.com:443,https,,text/html,GET,13.237.128.43,/,76131492,54.79.166.179,HSTS,51,False,,,https://cloudinfra-gw.ap.portal.checkpoint.com/csp-report,,,,
