new,host,ttl,a,aaaa,soa,status_code,cname,mx,ns,txt,caa
[x],admin.azureedge.net,1800,13.107.246.42,,"{'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"admin.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0014.t-0009.t-msedge.net, s-part-0014.t-0009.t-msedge.net, shed.dual-low.s-part-0012.t-0009.t-msedge.net, azurefd-t-fb-prod.trafficmanager.net, dual.s-part-0012.t-0009.fb-t-msedge.net, s-part-0012.t-0009.fb-t-msedge.net, dual.s-part-0014.t-0009.fb-t-msedge.net, s-part-0014.t-0009.fb-t-msedge.net, shed.dual-low.s-part-0017.t-0009.t-msedge.net, s-part-0017.t-0009.t-msedge.net",,,,
[x],administrator.azureedge.net,1800,152.199.19.161,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"administrator.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],api.azureedge.net,1800,152.199.19.161,,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"api.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],assets.azureedge.net,1800,152.199.19.161,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"assets.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],atlas.azureedge.net,1800,152.199.19.161,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"atlas.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],beta.azureedge.net,1800,13.107.246.67,2620:1ec:bdf::45,"{'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"beta.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0039.t-0009.t-msedge.net, s-part-0039.t-0009.t-msedge.net, shed.dual-low.s-part-0017.t-0009.t-msedge.net, s-part-0017.t-0009.t-msedge.net, shed.dual-low.s-part-0012.t-0009.t-msedge.net, s-part-0012.t-0009.t-msedge.net",,,,
[x],blog.azureedge.net,1800,13.107.253.67,2620:1ec:bdf::60,"{'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"blog.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0039.t-0009.t-msedge.net, azurefd-t-fb-prod.trafficmanager.net, dual.s-part-0039.t-0009.fb-t-msedge.net, s-part-0039.t-0009.fb-t-msedge.net, shed.dual-low.s-part-0032.t-0009.t-msedge.net, s-part-0032.t-0009.t-msedge.net, shed.dual-low.s-part-0025.t-0009.t-msedge.net, s-part-0025.t-0009.t-msedge.net, shed.dual-low.s-part-0017.t-0009.t-msedge.net, s-part-0017.t-0009.t-msedge.net",,,,
[x],blogs.azureedge.net,1180,,2620:1ec:bdf::45,"{'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"blogs.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0017.t-0009.t-msedge.net, s-part-0017.t-0009.t-msedge.net, shed.dual-low.s-part-0012.t-0009.t-msedge.net, azurefd-t-fb-prod.trafficmanager.net, dual.s-part-0012.t-0009.fb-t-msedge.net, s-part-0012.t-0009.fb-t-msedge.net",,,,
[x],cdn.azureedge.net,1800,,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"cdn.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],client.azureedge.net,1800,13.107.246.69,,"{'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"client.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0041.t-0009.t-msedge.net, s-part-0041.t-0009.t-msedge.net, shed.dual-low.s-part-0017.t-0009.t-msedge.net, s-part-0017.t-0009.t-msedge.net, shed.dual-low.s-part-0025.t-0009.t-msedge.net, azurefd-t-fb-prod.trafficmanager.net, dual.s-part-0025.t-0009.fb-t-msedge.net, s-part-0025.t-0009.fb-t-msedge.net, shed.dual-low.s-part-0032.t-0009.t-msedge.net, s-part-0032.t-0009.t-msedge.net, dual.s-part-0017.t-0009.fb-t-msedge.net, s-part-0017.t-0009.fb-t-msedge.net",,,,
