new,host,soa,status_code,cdn,cdn-name,a,ns,cname,aaaa,mx,txt,has_internal_ips,internal_ips
[x],margin.staging.cryptology.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"143.204.98.118, 143.204.98.109, 143.204.98.7, 143.204.98.75",,,,,,,
,admin.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"18.66.147.100, 18.66.147.84, 18.66.147.113, 18.66.147.111",,,,,,,
,affiliate.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"143.204.9.81, 143.204.9.118, 143.204.9.110, 143.204.9.86",,,,,,,
,affiliate.staging.cryptology.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"52.222.214.128, 52.222.214.9, 52.222.214.105, 52.222.214.106",,,,,,,
,api-sandbox.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.240.127, 104.20.239.127, 172.67.19.233",,api-sandbox.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:f07f, 2606:4700:10::6814:ef7f, 2606:4700:10::ac43:13e9",,,,
,api.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.240.127, 172.67.19.233, 104.20.239.127",,api.cryptology.com.cdn.cloudflare.net,"2606:4700:10::ac43:13e9, 2606:4700:10::6814:f07f, 2606:4700:10::6814:ef7f",,,,
,autoconfig.blog.cryptology.com,"ns1.siteground.net, root.gnldm1002.siteground.biz",NOERROR,True,google,34.90.77.219,,,,,,,
,autodiscover.blog.cryptology.com,"ns1.siteground.net, root.gnldm1002.siteground.biz",NOERROR,True,google,34.90.77.219,,,,,,,
,backoffice.dev.cryptology.com,"ns-340.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"13.225.78.7, 13.225.78.19, 13.225.78.38, 13.225.78.48",,,,,,,
,bapi-sandbox.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.240.127, 172.67.19.233, 104.20.239.127",,bapi-sandbox.cryptology.com.cdn.cloudflare.net,"2606:4700:10::ac43:13e9, 2606:4700:10::6814:f07f, 2606:4700:10::6814:ef7f",,,,
,bapi.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.239.127, 104.20.240.127, 172.67.19.233",,bapi.cryptology.com.cdn.cloudflare.net,"2606:4700:10::ac43:13e9, 2606:4700:10::6814:f07f, 2606:4700:10::6814:ef7f",,,,
,blog.cryptology.com,"ns1.siteground.net, root.gnldm1002.siteground.biz",NOERROR,True,google,34.90.77.219,"ns2.siteground.net, ns1.siteground.net",,,"mx10.mailspamprotection.com, mx30.mailspamprotection.com, mx20.mailspamprotection.com",v=spf1 +a +mx +ip4:35.204.195.184 include:_spf.mailspamprotection.com ~all,,
,collector.prod.cryptology.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"13.32.27.85, 13.32.27.115, 13.32.27.12, 13.32.27.11",,,,,,,
,collector.staging.cryptology.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"52.85.242.33, 52.85.242.93, 52.85.242.57, 52.85.242.90",,,,,,,
,consul.dev.cryptology.com,"ns-340.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,"18.197.234.115, 18.156.8.90","ns-1164.awsdns-17.org, ns-1559.awsdns-02.co.uk, ns-340.awsdns-42.com, ns-610.awsdns-12.net",,,,,,
,contracts-api-sandbox.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.240.127, 172.67.19.233, 104.20.239.127",,contracts-api-sandbox.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:f07f, 2606:4700:10::6814:ef7f, 2606:4700:10::ac43:13e9",,,,
,contracts-api.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.239.127, 104.20.240.127, 172.67.19.233",,contracts-api.cryptology.com.cdn.cloudflare.net,"2606:4700:10::ac43:13e9, 2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f",,,,
