new,host,a,soa,status_code,aaaa
,aanmeldenpubliek.rechtspraak.nl,159.46.204.175,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:175
,activesync.rechtspraak.nl,159.46.201.88,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,activesync2.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,agendaub.rechtspraak.nl,159.46.204.43,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:43
,apptunnel.rechtspraak.nl,159.46.201.74,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,apptunnel2.rechtspraak.nl,159.46.201.91,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,autodiscover.rechtspraak.nl,159.46.197.40,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,autorisatie.rechtspraak.nl,159.46.197.162,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,av01.rechtspraak.nl,"159.46.201.212, 159.46.201.215","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,av02.rechtspraak.nl,"159.46.201.221, 159.46.201.218","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,cms.rechtspraak.nl,159.46.201.5,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,cms1.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,cms2.rechtspraak.nl,159.46.201.8,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,cms3.rechtspraak.nl,159.46.201.9,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,data.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,deeplink.rechtspraak.nl,159.46.204.177,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:177
,dipi.rechtspraak.nl,159.46.204.8,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:8
,dpc.rechtspraak.nl,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,ecli.rechtspraak.nl,159.46.204.58,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:58
,edge.rechtspraak.nl,"159.46.197.4, 159.46.197.5","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,enterpriseregistration.rechtspraak.nl,159.46.196.227,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,eu-eclidata.rechtspraak.nl,159.46.204.178,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:178
,euir.rechtspraak.nl,159.46.204.7,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:7
,federatie.rechtspraak.nl,159.46.204.165,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:165
,formulier.rechtspraak.nl,159.46.204.46,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:46
,formulieren.rechtspraak.nl,159.46.204.179,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,2a04:9a04:18a0:8a02:0:3c:192:179
,front1.rechtspraak.nl,159.46.197.170,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
,front2.rechtspraak.nl,159.46.196.62,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,
