input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,tls_mismatched,final_url,cdn_name,cdn
circulation.volkskrant.nl,,200,12,circulation.volkskrant.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T13:44:04Z,2023-07-10T13:44:03Z,CN=circulation.volkskrant.nl,circulation.volkskrant.nl,,circulation.volkskrant.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cc1762f0c6596341b648b34268c93077,b387df34dcf4961df570605f9ed3e6e72915571fff4ec764177210bc33232c5e,,ctls,circulation.volkskrant.nl,443,https://circulation.volkskrant.nl:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,164.92.144.12,/,-1840324437,164.92.144.12,1,False,,Ubuntu,,,,
cmp.volkskrant.nl,,403,243,cmp.volkskrant.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T17:05:52Z,2023-07-29T17:05:51Z,CN=cmp.7sur7.be,cmp.7sur7.be,,cmp.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c0c9d30bbfa4135baa012b2025be56d,bdd54d9c44b9b3f48b7e777a1ff86ce9c5c37c4e547ac52afde6c799e3b7190f,,ctls,cmp.volkskrant.nl,80,http://cmp.volkskrant.nl:80,http,AmazonS3,application/xml,GET,13.32.121.43,/,-954916949,13.32.121.91,2,False,,Amazon Web Services,,https://cmp.volkskrant.nl/,cloudfront,True
e.email.volkskrant.nl,"You received emails from this domain, didn't you?",200,15468,e.email.volkskrant.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-17T08:45:39Z,2023-08-15T08:45:38Z,CN=e.email.volkskrant.nl,e.email.volkskrant.nl,,e.email.volkskrant.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2f0682105e72b5a880dcfaed8871f00f,d48acca3c04130ad7f36921a759ab1dbc2c0be393dc1e0dbe36ae42aa6e4aa16,,ctls,e.email.volkskrant.nl,80,http://e.email.volkskrant.nl:80,http,nginx,text/html,GET,185.136.64.7,/,-1812417198,185.136.65.6,344,False,,Webflow,,https://e.email.volkskrant.nl,,
https://depersgroep.report-uri.io/r/default/csp/enforce,Report URI: Welcome to report-uri.com,200,30914,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:09:26Z,2023-07-04T21:09:25Z,CN=*.report-uri.com,*.report-uri.com,,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2128e997ff28af0650b7d95c3213b246,ce65156d72d6ff348f1e593736490978e80976ba3859748a2d4acb57b88b87e5,True,ctls,report-uri.com,443,https://depersgroep.report-uri.io:443/r/default/csp/enforce,https,cloudflare,text/html,GET,104.16.83.77,/r/default/csp/enforce,1619585195,2606:4700::6810:544d,534,False,https://scotthelme.report-uri.com/r/d/csp/enforce,HTTP/3,,https://report-uri.com,cloudflare,True
img.volkskrant.nl,,403,42,img.volkskrant.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.volkskrant.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.volkskrant.nl,DPG Media Services N.V.,volkskrant.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c746742a1c4fe8981e27430b015dbbb2,e42fa6f7dd2e0a849b4100e408a28699d3acf072a0ca69358dd3df66b14f047b,True,ctls,img.volkskrant.nl,443,https://img.volkskrant.nl:443,https,,application/json,GET,23.11.206.16,/,768769774,2a02:26f0:1700:7::17d5:a1d4,1,False,,,,,,
labs-staging.volkskrant.nl,,200,2,labs-staging.volkskrant.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=labs-staging.288086615991.dpgmedia.cloud,labs-staging.288086615991.dpgmedia.cloud,,labs-staging.288086615991.dpgmedia.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,896902bfd0a4e6e99a9ddfa1291b515a,1edb2f7b62d6e75853aaa7712a64efd12c4880e8008d649968c6cee76d2d4d03,,ctls,labs-staging.volkskrant.nl,443,https://labs-staging.volkskrant.nl:443,https,nginx/1.14.2,text/html,GET,34.249.40.218,/,-1840324437,54.76.115.248,1,False,,ProcessWire,True,,,
login2.volkskrant.nl,Inlogpoging geblokkeerd,406,3322,login2.volkskrant.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.volkskrant.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.volkskrant.nl,DPG Media Services N.V.,volkskrant.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c746742a1c4fe8981e27430b015dbbb2,e42fa6f7dd2e0a849b4100e408a28699d3acf072a0ca69358dd3df66b14f047b,True,ctls,login2.volkskrant.nl,443,https://login2.volkskrant.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.210,/,189760976,2a02:26f0:ab00::214:8e61,1,False,,,,,,
marketingactie.volkskrant.nl,DPG Media Branded Content -,200,16466,marketingactie.volkskrant.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.volkskrant.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.volkskrant.nl,DPG Media Services N.V.,volkskrant.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c746742a1c4fe8981e27430b015dbbb2,e42fa6f7dd2e0a849b4100e408a28699d3acf072a0ca69358dd3df66b14f047b,True,ctls,marketingactie.volkskrant.nl,443,https://marketingactie.volkskrant.nl:443,https,Apache,text/html,GET,2.17.100.233,/,530040698,2a02:26f0:ab00::214:8e61,114,False,,Yoast SEO:19.12,,,,
mobile-vkgo-acc.volkskrant.nl,Access Denied,401,287,mobile-vkgo-acc.volkskrant.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-22T11:09:06Z,2023-08-20T11:09:05Z,CN=www.volkskrant.nl,www.volkskrant.nl,,www.volkskrant.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6810f8a6f3432c0443287f456091a6c6,0d1a7db0fa57b6f0cc173a9c1d5b4b8dff592ab280979000431d9038e481078c,,ctls,mobile-vkgo-acc.volkskrant.nl,443,https://mobile-vkgo-acc.volkskrant.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.186,/,-103420429,2a02:26f0:ab00::214:8e6a,10,False,https://depersgroep.report-uri.io/r/default/csp/enforce,Basic,,,,
prod.volkskrant.nl,Invalid URL,400,208,prod.volkskrant.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.volkskrant.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.volkskrant.nl,DPG Media Services N.V.,volkskrant.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c746742a1c4fe8981e27430b015dbbb2,e42fa6f7dd2e0a849b4100e408a28699d3acf072a0ca69358dd3df66b14f047b,True,ctls,prod.volkskrant.nl,443,https://prod.volkskrant.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.210,/,-1064894742,2a02:26f0:ab00::214:8e48,8,False,,,,,,
