new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa
[x],aspen-dev.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],enterpriseenrollment.eccouncil.org,20.91.147.72,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com",,,,
[x],fileshare.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],helpdesk.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],library.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],lyncdiscover.eccouncil.org,52.112.192.142,2603:1027:0:48::21,"admin.nsatc.net, dns.level3.net",NOERROR,,,webdir.online.lync.com,,,,
[x],membership-backend.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],membership-profile.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],sip.eccouncil.org,52.112.196.46,2603:1027:0:48::20,"admin.nsatc.net, dns.level3.net",NOERROR,,,sipdir.online.lync.com,,,,
[x],smtp.eccouncil.org,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u6770882.wl133.sendgrid.net,mx.sendgrid.net,,v=spf1 include:sendgrid.net ~all,
[x],zendesk1.eccouncil.org,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail1.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk3.eccouncil.org,"162.159.138.6, 162.159.128.7",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,
[x],zendesk4.eccouncil.org,,,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail4.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,
,32www.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,66trainingllcservices.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,academia.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,aletheiasolutionsinc.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,aspen-dev1.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,aspen-staging.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,aspen-test.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,aspen.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,aspenadmin.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,aspenapi.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,athena.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,autodiscover.eccouncil.org,"52.97.200.136, 40.101.12.136, 52.97.176.40, 40.99.204.200","2603:1026:206::8, 2603:1026:c03:7078::8, 2603:1026:c03:7071::8, 2603:1026:200:8b::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,
,aware.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,barracuda.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,campaign.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,captivasolutions.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,careers.eccouncil.org,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::a, 2a06:98c1:3122:e000::a","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,cedsolutions.eccouncil.org,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,checkout-us.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,checkout.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,ciso.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,"ca3-6046c8538f344295bef294c97069e551, ca3-929a767a19d84354a3e3d7b15c62a1dc",
,cisomag.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,"ca3-26a607bd84694159ae3d7b7c2ab08fd5, ca3-60c2cb1e09924533bacb6ea3e63b112c",
,codered-india.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,coderedcheckout-uk.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,coderedcheckout.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,coderedmarketing.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,community.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,continuing-education-institute.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,cybacybersecuritycenter.eccouncil.org,"162.159.134.42, 162.159.135.42","2606:4700:7::a29f:872a, 2606:4700:7::a29f:862a","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,cybacybersecuritycenter.hosting.kinsta.cloud,,,,
,cyberq.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
