new,host,ttl,a,cname,soa,status_code,mx,ns,txt,aaaa,caa
[x],every.org,300,"104.20.47.47, 104.20.46.47",,,NOERROR,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","danica.ns.cloudflare.com, jasper.ns.cloudflare.com","facebook-domain-verification=jeaokkd20x1kr8j22snn12f1mb0dg1, stripe-verification=f2258b3c0ff172fb2514fe7d6ed02ee16ba1c06baf3bfdf5ce84326059cc8000, heroku-domain-verification=hzdpssum0wcqrv9tyjongfynlfz9hz/45knd8kju30, ALIAS for triangular-kumquat-8c0493n2omckuenws7c5kujy.herokudns.com, google-site-verification=aXBXjmO6wcRAne0I7MlvZseaTKp4BubW9VjNzvd6L3A, google-site-verification=qDT3nhu19dPLGoCN59fmxTvIqpOH6nfW5EQ6htUjpq0, v=spf1 include:_spf.google.com include:mail.zendesk.com -all, dot-address=1f1wZcBaJrPHkBkzx2S7KXFbjtT7KMg7fDaV47P6157KRWo, brave-ledger-verification=bbaafb18881a8fb5bd354b280553f6c377ff5e1ce9ec21642b2178b6c92a5cb8, google-site-verification=D0QK62pcw09q3yQ_u5wTOGx24FjLTDHO6WagpkLNBTs","2606:4700:10::6814:2f2f, 2606:4700:10::6814:2e2f","letsencrypt.org, pki.goog; cansignhttpexchanges=yes, ssl.com, comodoca.com, digicert.com; cansignhttpexchanges=yes"
,analytics.every.org,300,"104.20.46.47, 104.20.47.47",,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:10::6814:2e2f, 2606:4700:10::6814:2f2f",
,api.staging.every.org,300,"104.20.46.47, 104.20.47.47",,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:10::6814:2f2f, 2606:4700:10::6814:2e2f",pki.goog
,api.www.every.org,300,"104.20.46.47, 104.20.47.47",,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,pki.goog
,assets.every.org,300,,,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:10::6814:2e2f, 2606:4700:10::6814:2f2f",
,blog.every.org,300,"104.20.46.47, 104.20.47.47",,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:10::6814:2f2f, 2606:4700:10::6814:2e2f",
,bounce.every.org,300,,custom-email-domain.stripe.com,"{'name': 'custom-email-domain.stripe.com', 'ns': 'ns-994.awsdns-60.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'custom-email-domain.stripe.com', 'ns': 'ns-994.awsdns-60.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'custom-email-domain.stripe.com', 'ns': 'ns-994.awsdns-60.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,feedback-smtp.us-west-2.amazonses.com,"ns-1404.awsdns-47.org, ns-163.awsdns-20.com, ns-2008.awsdns-59.co.uk, ns-994.awsdns-60.net",v=spf1 include:amazonses.com ~all,,
,cdn.every.org,1678,,,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,v=spf1 +mx:every.org -all,,
,community.every.org,1678,,,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,docs.every.org,300,"104.20.46.47, 104.20.47.47",,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:10::6814:2f2f, 2606:4700:10::6814:2e2f",
,embeds.every.org,300,"76.76.21.164, 76.76.21.241",cname.vercel-dns.com,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}",NOERROR,,,,,"globalsign.com, sectigo.com, letsencrypt.org"
,feedback.every.org,300,"104.20.47.47, 104.20.46.47",,"{'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'every.org', 'ns': 'danica.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351673910, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:10::6814:2e2f, 2606:4700:10::6814:2f2f",
