input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118570,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:19:15Z,2023-09-25T08:19:14Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d38b2399690f104027969838ca3503d1,b5ec0a1e9d334b426410c0cebe858a37f3ff6997a5cd787ff13a7fa77f589c77,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.185.132,/,302920777,2a00:1450:4001:827::2004,HTTP/3,1833,False,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:11Z,2023-09-25T08:23:10Z,CN=*.googleapis.com,*.googleapis.com,,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f08a4ca9729372b1bcc6c485e3e2959a,9662e7fabeaf9f5459ec92840d948e2abec63e8b8f54d07e9e95ea8508bbda68,True,ctls,googleapis.com,,443,https://googleapis.com:443,https,,text/html,GET,142.250.74.196,/,302920777,2a00:1450:4001:803::2004,HTTP/3,12,False,,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:19:15Z,2023-09-25T08:19:14Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,11051355151e2a8a6472f13dda546c05,1c961f4ff86b10afdcc827d5d23799e61c31b25b8ca2e5baf01283382178c46b,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.186.168,/,302920777,2a00:1450:4001:82b::2008,HTTP/3,12,False,,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:57Z,2023-09-25T08:23:56Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3fccc39381a19ebf3cd39b539221dd29,650f9dd06c8ea335c94b5eaa983924e84775b2ce310c699e1a47c36e9fe7cc84,True,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.186.163,/,302920777,2a00:1450:4001:82b::2003,HTTP/3,12,False,,,,https://www.gstatic.com/
*.splunkcloud.com,Splunk Acquisitions | Splunk,200,280736,www.splunk.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=www.splunk.com, O=Splunk Inc., L=San Francisco, ST=California, C=US",www.splunk.com,Splunk Inc.,splunk.com,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,5dd8588222bb4feba6c5ee4003a6b3d3,0c4e82f95ffb326d612f41a0eb5138875c8a3aff012965694f34720d76383f96,,ctls,www.splunk.com,,80,http://splunkcloud.com:80,http,Apache,text/html,GET,52.5.196.118,/,879629398,52.5.196.118,Java,14286,False,,,*.salesforce.com,https://www.splunk.com/en_us/about-splunk/acquisitions.html?301=/en_us/investor-relations/acquisitions.html
accountmgmt-stress1.finra.org,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://accountmgmt-stress1.finra.org:80,http,cloudflare,text/plain,GET,104.18.2.247,/,1000520165,2606:4700::6812:3f7,Cloudflare,1,False,True,,,
active.ews-devint.fip.dev.finra.org,FINRA: Error Forbidden,403,4995,active.ews-devint.fip.dev.finra.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-02-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b5849ed7dcdb2e11dc2ff6f12ebe54d9,df8bee9a6d6b351f41a6471581f22220efcebb042ee7b7a17ebdedce8a43a1b5,,ctls,active.ews-devint.fip.dev.finra.org,cloudflare,443,https://active.ews-devint.fip.dev.finra.org:443,https,cloudflare,text/html,GET,104.18.2.188,/,1706816788,2606:4700::6812:2bc,Cloudflare Bot Management,187,False,True,,,
active.ews-public-qaint.fip.qa.dr.finra.org,FINRA: Error Forbidden,403,4995,active.ews-public-qaint.fip.qa.dr.finra.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3523c5fdd6b655ef24e928de6e9b9a1e,81b3250d557a9bc00a404d220a48fb65ac5d6824401a0c62c3f2d55e75de0f2a,,ctls,active.ews-public-qaint.fip.qa.dr.finra.org,cloudflare,443,https://active.ews-public-qaint.fip.qa.dr.finra.org:443,https,cloudflare,text/html,GET,104.18.30.17,/,1706816788,2606:4700::6812:1f11,Cloudflare Bot Management,187,False,True,,,
active.ews-qaint.fip.qa.dr.finra.org,FINRA: Error Forbidden,403,4995,active.ews-qaint.fip.qa.dr.finra.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",active.ews-qaint.fip.qa.dr.finra.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",864db4bfe94de78e79a2483d8995e7f7,c949778bd1b11cbc7ede2aeedad055369f8f76c912b54e022f0229cf89537573,,ctls,active.ews-qaint.fip.qa.dr.finra.org,cloudflare,443,https://active.ews-qaint.fip.qa.dr.finra.org:443,https,cloudflare,text/html,GET,104.18.12.198,/,1706816788,2606:4700::6812:dc6,Cloudflare Bot Management,187,False,True,,,
adf.finra.org,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://adf.finra.org:80,http,cloudflare,text/plain,GET,104.18.1.161,/,1000520165,2606:4700::6812:a1,Cloudflare,1,False,True,,,
