input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,tls_self_signed,final_url,csp_domains_
*.actions.githubusercontent.com,Fastly error: unknown domain actions.githubusercontent.com,500,286,actions.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,actions.githubusercontent.com,,443,https://actions.githubusercontent.com:443,https,Varnish,text/html,GET,185.199.111.133,/,530520856,185.199.109.133,Varnish,8,False,,,,,
0.access.tyo.selabs.fireeye.com,Attention Required! | Cloudflare,403,4513,0.access.tyo.selabs.fireeye.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=fireeye.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fireeye.com,"Cloudflare, Inc.",*.etp.eu.fireeye.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",19e3a90ee0967fb5824ccc63988cd5dc,f396c5c349859157108cb7fcab6df053757ccc0c865aa5bf5f1adfc779332e45,True,ctls,0.access.tyo.selabs.fireeye.com,cloudflare,443,https://0.access.tyo.selabs.fireeye.com:443,https,cloudflare,text/html,GET,162.159.246.125,/,-73056808,2606:4700:300b::a29f:f67d,Cloudflare,94,False,True,,,,
access.alliances.selabs.fireeye.com,Attention Required! | Cloudflare,403,4513,access.alliances.selabs.fireeye.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=fireeye.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fireeye.com,"Cloudflare, Inc.",*.etp.eu.fireeye.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",19e3a90ee0967fb5824ccc63988cd5dc,f396c5c349859157108cb7fcab6df053757ccc0c865aa5bf5f1adfc779332e45,True,ctls,access.alliances.selabs.fireeye.com,cloudflare,443,https://access.alliances.selabs.fireeye.com:443,https,cloudflare,text/html,GET,162.159.246.125,/,-2073797574,2606:4700:300b::a29f:f67d,Cloudflare,94,False,True,,,,
access.ash.selabs.fireeye.com,Attention Required! | Cloudflare,403,4513,access.ash.selabs.fireeye.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=fireeye.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fireeye.com,"Cloudflare, Inc.",*.etp.eu.fireeye.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",19e3a90ee0967fb5824ccc63988cd5dc,f396c5c349859157108cb7fcab6df053757ccc0c865aa5bf5f1adfc779332e45,True,ctls,access.ash.selabs.fireeye.com,cloudflare,443,https://access.ash.selabs.fireeye.com:443,https,cloudflare,text/html,GET,162.159.246.125,/,-431059389,2606:4700:300b::a29f:f67d,Cloudflare,94,False,True,,,,
access.sfo.selabs.fireeye.com,Attention Required! | Cloudflare,403,4513,access.sfo.selabs.fireeye.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=fireeye.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fireeye.com,"Cloudflare, Inc.",*.etp.eu.fireeye.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",19e3a90ee0967fb5824ccc63988cd5dc,f396c5c349859157108cb7fcab6df053757ccc0c865aa5bf5f1adfc779332e45,True,ctls,access.sfo.selabs.fireeye.com,cloudflare,443,https://access.sfo.selabs.fireeye.com:443,https,cloudflare,text/html,GET,162.159.246.125,/,-2139875723,2606:4700:300b::a29f:f67d,Cloudflare,94,False,True,,,,
access.sfo.training.fireeye.com,Page Not Found,403,159,access.sfo.training.fireeye.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2021-08-23T00:00:00Z,2022-09-23T23:59:59Z,"CN=*.access.sfo.training.fireeye.com, O=FireEye\, Inc., L=Milpitas, ST=California, C=US",*.access.sfo.training.fireeye.com,"FireEye, Inc.",access.sfo.training.fireeye.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,699fe479c375fb866112a7f129fbba9d,b52d6583e40a027e085879b436f556192d10cd6368061904f0e5993e49b89ad4,True,ctls,access.sfo.training.fireeye.com,,443,https://access.sfo.training.fireeye.com:443,https,nginx,text/html,GET,199.16.198.81,/,190856733,199.16.198.81,Nginx,7,False,,True,,,
access.tyo.selabs.fireeye.com,Attention Required! | Cloudflare,403,4513,,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://access.tyo.selabs.fireeye.com:80,http,cloudflare,text/html,GET,162.159.246.125,/,-1621941042,2606:4700:300b::a29f:f67d,Cloudflare,94,False,True,,,,
af-south-1.cloudvisory.apps.fireeye.com,,502,36,start.cloudvisory.apps.fireeye.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=*.cloudvisory.apps.fireeye.com,*.cloudvisory.apps.fireeye.com,,*.cloudvisory.apps.fireeye.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1e154025be981f894cffb8e02cf6db31,586a6bcf795844301a111c6f51d3c09607a574cf2ba1103d5b46e206d5eab671,True,ctls,start.cloudvisory.apps.fireeye.com,,443,https://af-south-1.cloudvisory.apps.fireeye.com:443,https,,application/json,GET,13.244.125.10,/,142092188,13.246.79.13,,1,False,,,,https://start.cloudvisory.apps.fireeye.com:443/,
af.access.dxb.selabs.fireeye.com,Attention Required! | Cloudflare,403,4513,af.access.dxb.selabs.fireeye.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=fireeye.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fireeye.com,"Cloudflare, Inc.",*.etp.eu.fireeye.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",19e3a90ee0967fb5824ccc63988cd5dc,f396c5c349859157108cb7fcab6df053757ccc0c865aa5bf5f1adfc779332e45,True,ctls,af.access.dxb.selabs.fireeye.com,cloudflare,443,https://af.access.dxb.selabs.fireeye.com:443,https,cloudflare,text/html,GET,162.159.246.125,/,896380089,2606:4700:300b::a29f:f67d,Cloudflare,94,False,True,,,,
agentcomms.docs.endpoint.fireeye.com,Sign in to GitHub · GitHub,200,31802,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,"GitHub, Inc.",www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,,443,https://agentcomms.docs.endpoint.fireeye.com:443,https,GitHub.com,text/html,GET,185.199.110.153,/,2107268192,2606:50c0:8003::153,HSTS,413,False,,,,https://github.com/login?return_to=%2Fpages%2Fauth%3Fnonce%3D1f354087-b011-4b90-8996-8f9d43f2bc90%26page_id%3D17505898%26path%3DLw,viewscreen.githubusercontent.com
