new,host,soa,ns,status_code,a,cdn,cdn-name,cname,txt,aaaa,mx
[x],api-automation.floqast.app,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"34.216.85.19, 44.236.116.180, 44.240.67.141",,,fq-automation-api-gateway-alb-251463857.us-west-2.elb.amazonaws.com,,,
[x],internal-automation.floqast.app,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com","ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",NOERROR,"54.201.211.136, 54.191.123.95, 52.36.91.45",,,fq-automation-www-super-alb-647661661.us-west-2.elb.amazonaws.com,,,
,api-automation-eu.floqast.app,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.185.250.176, 18.159.239.165, 18.192.9.238",,,fq-automation-eu-api-gateway-alb-2003920155.eu-central-1.elb.amazonaws.com,,,
,api-gateway.eu.floqast.app,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",,NOERROR,"35.156.200.133, 3.121.72.8, 18.158.138.60",,,,,,
,auth.system.floqast.app,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",,NOERROR,"52.27.228.213, 35.165.219.64, 35.165.151.211",,,,,,
,automation-eu.floqast.app,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com","ns-1420.awsdns-49.org, ns-936.awsdns-53.net, ns-415.awsdns-51.com, ns-1708.awsdns-21.co.uk",NOERROR,"3.74.197.255, 35.156.137.136, 18.193.92.240, 205.251.193.159, 205.251.195.168, 205.251.197.140, 205.251.198.172",,,,,,
,automation.floqast.app,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.37.215.0, 54.71.30.134, 52.32.46.165",,,fq-automation-www-close-alb-1274565252.us-west-2.elb.amazonaws.com,,,
,avatars.eu.floqast.app,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.224.189.101, 13.224.189.45, 13.224.189.63, 13.224.189.74",True,cloudfront,,,,
,avatars.floqast.app,"ns-1847.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1847.awsdns-38.co.uk, ns-690.awsdns-22.net, ns-11.awsdns-01.com, ns-1191.awsdns-20.org",NOERROR,"18.164.52.62, 18.164.52.65, 18.164.52.68, 18.164.52.84",True,cloudfront,d2yhupqb0kz674.cloudfront.net,,,
,checklist.system.floqast.app,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",,NOERROR,"54.244.214.31, 54.149.64.36, 52.34.52.107",,,,,,
,csp.system.floqast.app,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",,NOERROR,"50.112.193.137, 52.32.94.83, 34.213.134.192",,,,,,
,floverse.floqast.app,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,2bkg98ks7hv4cxjxj5k5b6tq63hqwybk,,
,internal-automation-eu.floqast.app,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,fq-automation-eu-www-super-alb-1767040577.eu-central-1.elb.amazonaws.com,,,
,internal.floqast.app,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"44.227.230.124, 52.11.174.25, 54.203.178.38",,,fq-production-www-super-alb-708696967.us-west-2.elb.amazonaws.com,,,
,login-redirect.floqast.app,"ns-377.awsdns-47.com, awsdns-hostmaster.amazon.com","ns-1947.awsdns-51.co.uk, ns-377.awsdns-47.com, ns-874.awsdns-45.net, ns-1249.awsdns-28.org",NOERROR,"13.226.153.29, 13.226.153.57, 13.226.153.68, 13.226.153.124",True,cloudfront,d2msczijwn6e00.cloudfront.net,,"2600:9000:2182:1400:d:d20c:d800:93a1, 2600:9000:2182:1000:d:d20c:d800:93a1, 2600:9000:2182:2000:d:d20c:d800:93a1, 2600:9000:2182:a600:d:d20c:d800:93a1, 2600:9000:2182:1600:d:d20c:d800:93a1, 2600:9000:2182:4400:d:d20c:d800:93a1, 2600:9000:2182:c200:d:d20c:d800:93a1, 2600:9000:2182:3000:d:d20c:d800:93a1",
,remind.floqast.app,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,18.189.141.167,,,,v=spf1 include:amazonses.com -all,,inbound-smtp.us-west-2.amazonaws.com
,remind.system.floqast.app,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",,NOERROR,"52.42.254.123, 44.240.178.134, 54.218.29.147",,,,,,
,reporting.system.floqast.app,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",,NOERROR,"44.242.38.24, 44.241.40.244, 52.33.226.176",,,,,,
,services.eu.floqast.app,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",,NOERROR,"18.66.122.12, 18.66.122.123, 18.66.122.48, 18.66.122.60",True,cloudfront,,,,
,services.floqast.app,"ns-349.awsdns-43.com, awsdns-hostmaster.amazon.com","ns-1595.awsdns-07.co.uk, ns-1501.awsdns-59.org, ns-808.awsdns-37.net, ns-349.awsdns-43.com",NOERROR,"13.225.78.86, 13.225.78.79, 13.225.78.56, 13.225.78.103",True,cloudfront,djk6h4g16y43h.cloudfront.net,,,
,slack.floqast.app,"ns-1588.awsdns-06.co.uk, awsdns-hostmaster.amazon.com","ns-878.awsdns-45.net, ns-1588.awsdns-06.co.uk, ns-119.awsdns-14.com, ns-1146.awsdns-15.org",NOERROR,"18.165.83.3, 18.165.83.95, 18.165.83.76, 18.165.83.34, 205.251.192.119, 205.251.195.110, 205.251.196.122, 205.251.198.52",True,cloudfront,d198direuuqbq3.cloudfront.net,,,
,static-staging.floqast.app,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,NOERROR,,,,d1zglbly39mnx8.cloudfront.net,,,
,static.eu.floqast.app,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.99.50, 13.32.99.70, 13.32.99.122, 13.32.99.34",True,cloudfront,,,,
