input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_self_signed,csp_domains_,final_url
alertmanager.gener8ads.com,Sign in ・ Cloudflare Access,200,30074,gener8.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,gener8.cloudflareaccess.com,cloudflare,443,https://alertmanager.gener8ads.com:443,https,cloudflare,text/html,GET,104.26.3.147,/,-1545467756,2606:4700:20::681a:393,HSTS,67,False,True,,,https:,https://gener8.cloudflareaccess.com/cdn-cgi/access/login/alertmanager.gener8ads.com?kid=20b5c18c6e5db73ceca6f57f52f774eff47f4c951fb51d6c475d857d1d846a0e&redirect_url=%2F&meta=eyJraWQiOiJjZGVkYWExNmVkMmE4NmRlZjBkMzU1NDFmODZlZTdjY2MyMjA5NDhlMzhjMGFlZjAwYzZkMGY0YjJkNGVkYTRkIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4OTQ3MzE1MSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjIwYjVjMThjNmU1ZGI3M2NlY2E2ZjU3ZjUyZjc3NGVmZjQ3ZjRjOTUxZmI1MWQ2YzQ3NWQ4NTdkMWQ4NDZhMGUiLCJob3N0bmFtZSI6ImFsZXJ0bWFuYWdlci5nZW5lcjhhZHMuY29tIiwiYXBwX3Nlc3Npb25faGFzaCI6ImI4N2ExOTBmNTc3MThlYWJkMzVlNzM2OGJlOTI3M2ZjOWNkZDNjNDQ4MDIyM2ZiZmM4ZjE2MzBkZTEyMmNlNzIiLCJuYmYiOjE2ODk0NzMxNTEsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.XhaTNVr7Rzhtp83uoKad8tsR79yVAYaaQ1NystF37eSx6OqZ3KUZRUITqxn4wU5b78Fla7WaAP-XjxvGUl4rYIe1k8qw9_bMmBNznEG0hgRZRPbcGTkUG3cT_dGeCgXLdXM2JeN8Kbyinn604cObwlrS-4M7LuqkVrTwBmXE2DPrlO30BvTD9SU7cmgkpaQqjCR2UOCxfiwaYc65YsslShfjXKZJ4gW6okWBEJ1SXj3pHKBKnoBEcTHJE6F1pqs8KP7GbQmMgAVB4Ujep4dY85nIE2ZK7FR8v3rAsjGzyDWIQwaaVdPnNoxGIzbqONsc55NbHvTy3OZbq229qQZxMw
apollo.gener8ads.com,404 Not Found,404,1710,apollo.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,apollo.gener8ads.com,cloudflare,443,https://apollo.gener8ads.com:443,https,cloudflare,text/html,GET,172.67.70.129,/,448579699,2606:4700:20::681a:293,HTTP/3,9,False,True,,,,
apps.gener8ads.com,,404,16,apps.gener8ads.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2019-09-02T07:57:42Z,2029-08-30T07:57:42Z,CN=Appsflyer-Wrong-Branded-Domain-Configuration,Appsflyer-Wrong-Branded-Domain-Configuration,,,CN=Appsflyer-Wrong-Branded-Domain-Configuration,Appsflyer-Wrong-Branded-Domain-Configuration,,4c828ee4dac0c666d0b11a58c9786974,1cfe06c33444ab1bacc4cc464fc9bf02727b07930e9633b9082c11383d232043,,ctls,apps.gener8ads.com,,443,https://apps.gener8ads.com:443,https,,text/plain,GET,34.246.127.31,/,786476039,52.209.121.193,,2,False,,True,True,,
downloads.gener8ads.com,,200,17063,downloads.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,downloads.gener8ads.com,cloudflare,443,https://downloads.gener8ads.com:443,https,cloudflare,application/xml,GET,104.26.3.147,/,2028370544,2606:4700:20::681a:293,HTTP/3,1,False,True,,,,
echo.gener8ads.com,404 Not Found,404,1710,echo.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,echo.gener8ads.com,cloudflare,443,https://echo.gener8ads.com:443,https,cloudflare,text/html,GET,104.26.2.147,/,-1391636206,2606:4700:20::ac43:4681,HTTP/3,9,False,True,,,,
feedback.gener8ads.com,,200,22596,feedback.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,feedback.gener8ads.com,cloudflare,443,https://feedback.gener8ads.com:443,https,cloudflare,text/html,GET,104.26.2.147,/,1788982301,2606:4700:20::ac43:4681,Heroku,69,False,True,,,,
imgproxy.gener8ads.com,"Hey, I'm imgproxy!",200,1849,imgproxy.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,imgproxy.gener8ads.com,cloudflare,443,https://imgproxy.gener8ads.com:443,https,cloudflare,text/html,GET,104.26.2.147,/,-1840324437,2606:4700:20::681a:393,HTTP/3,11,False,True,,,,
join.gener8ads.com,Custom Domain by Bitly,200,46004,bitly.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.bitly.com, O=Bitly\, Inc., L=New York, ST=New York, C=US",*.bitly.com,"Bitly, Inc.",bitly.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ac373893849e3fbf0728c19de2085ca3,a7e06d5d08ed98256535cb130a4ecbf5b7885bd16a058129b2ea0c3c5964c87c,True,ctls,bitly.com,,443,https://join.gener8ads.com:443,https,nginx,text/html,GET,67.199.248.12,/,-434501501,67.199.248.13,WordPress,66,False,,,,,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=join.gener8ads.com
marketing-content.gener8ads.com,,403,111,marketing-content.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,marketing-content.gener8ads.com,cloudflare,443,https://marketing-content.gener8ads.com:443,https,cloudflare,application/xml,GET,104.26.2.147,/,1343071695,2606:4700:20::ac43:4681,HTTP/3,1,False,True,,,,
metabase.gener8ads.com,Sign in ・ Cloudflare Access,200,30070,gener8.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,gener8.cloudflareaccess.com,cloudflare,443,https://metabase.gener8ads.com:443,https,cloudflare,text/html,GET,104.26.2.147,/,-693592085,2606:4700:20::ac43:4681,HSTS,67,False,True,,,https:,https://gener8.cloudflareaccess.com/cdn-cgi/access/login/metabase.gener8ads.com?kid=b569bf3dca064a4bae980636d9eafcba8e0e2e6af1f675ba36c4fd7e26ec1efa&redirect_url=%2F&meta=eyJraWQiOiJjZGVkYWExNmVkMmE4NmRlZjBkMzU1NDFmODZlZTdjY2MyMjA5NDhlMzhjMGFlZjAwYzZkMGY0YjJkNGVkYTRkIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4OTQ3MzE1MSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImI1NjliZjNkY2EwNjRhNGJhZTk4MDYzNmQ5ZWFmY2JhOGUwZTJlNmFmMWY2NzViYTM2YzRmZDdlMjZlYzFlZmEiLCJob3N0bmFtZSI6Im1ldGFiYXNlLmdlbmVyOGFkcy5jb20iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiMTdhMzAzZmRlMzE2ZmU1ZjY4NzRlYTBkNDNkZjBkODYyZTVmNmVjNWM0YTdjMWE1YmFjZGZmNTkxOTJjZDc2NyIsIm5iZiI6MTY4OTQ3MzE1MSwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.nB-fc34Gzbkbng4S6ST2DS6cC_pNSz59wfEXgR0BeLYDtDJ_GXtuGArH6M-sCwFGCVxs4X_bfQYBdTVm_cX1XbEemXHee4z5xbkH1W2mpC0IfIcavxwKKZ_FTne8E_gWxTJR-5clmfuzBTHIeHeZp3Cr6uA0L-Bwk3_XG0-rWad67FqiUoANuqPgC-pbz8MmqK5DwNf6HQPLZC5N-p_k2BfwJu5Q1z3X6iADB5aAXS6IoUECK0BfHm4fMKexRifV48kWbtjbjWVqGXJHomj8cetfYt5aX8ok-ktEA1Cb0Jaz8xo1gzdHikxqLfGdrjIA6c4y3dDFTtbfKMlainGCpQ
