input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,csp_domains_,tls_subject_org_,final_url
1912044.hootsuite.com,404 Not Found,404,162,1912044.hootsuite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,1912044.hootsuite.com,,443,https://1912044.hootsuite.com:443,https,nginx,text/html,GET,167.89.123.124,/,190856733,167.89.123.54,Nginx,8,False,,True,True,,,
ads.hootsuite.com,Hootsuite Ads Login,200,15751,ads.hootsuite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-06T00:00:00Z,2024-03-06T23:59:59Z,CN=ads.hootsuite.com,ads.hootsuite.com,*.ads.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,acd03c49d4154ebfe33da1f5cfacc785,e56283d70e3220acf2432e84b2d26396304a75d42301cf1f5e57b767c4a00c79,ctls,ads.hootsuite.com,,443,https://ads.hootsuite.com:443,https,Apache,text/html,GET,52.55.182.61,/,-921808968,3.217.205.197,Sentry:5.6.3,272,False,,True,,https://*.adespresso.com,,https://ads.hootsuite.com/login
ambassadorhub.hootsuite.com,Hootsuite Ambassador Hub,200,35832,ambassadorhub.hootsuite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-29T13:09:28Z,2023-07-28T13:09:27Z,CN=ambassadorhub.hootsuite.com,ambassadorhub.hootsuite.com,ambassadorhub.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c3a67e80f44411f94fedb93ae9879256,ec437ab2039d679e84b307ee4475f742f91d90edbea2b18ec06a80a276c0f0df,ctls,ambassadorhub.hootsuite.com,,443,https://ambassadorhub.hootsuite.com:443,https,,text/html,GET,52.204.233.198,/,-2049378410,52.23.59.102,Ruby on Rails,344,False,,,,,,https://ambassadorhub.hootsuite.com/users/sign_in
amplify.hootsuite.com,Amplify,200,2187,amplify.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn.hootsuite.com,aperture-cdn.hootsuite.com,bio.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e651ac5026742976bf56f3c6b53cd90d,e52571636180552d53d492435f34c37203a3ea4ade0ad613af6fe5963b014a23,ctls,amplify.hootsuite.com,cloudfront,443,https://amplify.hootsuite.com:443,https,,text/html,GET,13.32.110.102,/,-138391155,13.32.110.69,HSTS,53,False,True,,,https://bam.nr-data.net,,
amplifystaging.hootsuite.com,ERROR: The request could not be satisfied,403,919,amplifystaging.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,amplifystaging.hootsuite.com,cloudfront,443,https://amplifystaging.hootsuite.com:443,https,CloudFront,text/html,GET,108.138.189.9,/,240323224,108.138.189.43,Amazon Web Services,20,False,True,,,,,
aperture-ui-external-general-staging.hootsuite.com,ERROR: The request could not be satisfied,403,919,aperture-ui-external-general-staging.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,aperture-ui-external-general-staging.hootsuite.com,cloudfront,443,https://aperture-ui-external-general-staging.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.121.94,/,-964751999,13.32.121.39,Amazon Web Services,20,False,True,,,,,
aperture-ui-external-general.hootsuite.com,,404,19,aperture-ui-external-general.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn.hootsuite.com,aperture-cdn.hootsuite.com,bio.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e651ac5026742976bf56f3c6b53cd90d,e52571636180552d53d492435f34c37203a3ea4ade0ad613af6fe5963b014a23,ctls,aperture-ui-external-general.hootsuite.com,cloudfront,443,https://aperture-ui-external-general.hootsuite.com:443,https,,text/plain,GET,108.156.2.126,/,-138391155,108.156.2.15,Amazon Web Services,2,False,True,,,,,
aperture-ui-external-hootweb-staging.hootsuite.com,ERROR: The request could not be satisfied,403,919,aperture-ui-external-hootweb-staging.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=staging.hootsuite.com,staging.hootsuite.com,cdn-staging.hootsuite.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ddcf2c597e11e4e181da4bd857ceeb38,e0fefb60e8ce301428293cd1cfead29b36e07091f7f33b8751c677fce9c9c8a5,ctls,aperture-ui-external-hootweb-staging.hootsuite.com,cloudfront,443,https://aperture-ui-external-hootweb-staging.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.110.15,/,939446946,13.32.110.125,Amazon Web Services,20,False,True,,,,,
aperture-ui-external-hootweb.hootsuite.com,,404,19,aperture-ui-external-hootweb.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=hootsuite.com,hootsuite.com,velocity.hootsuite.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,774a9e574fd7f827a48da7f101872a55,688ad373a5606a1d135c9288a01f8c95d54f17e0738029f0095799044b3f0ff8,ctls,aperture-ui-external-hootweb.hootsuite.com,cloudfront,443,https://aperture-ui-external-hootweb.hootsuite.com:443,https,,text/plain,GET,18.66.112.39,/,-138391155,2600:9000:223f:200:9:882d:6380:93a1,Amazon Web Services,2,False,True,,,,,
aperture-ui-webhooks-staging.hootsuite.com,,404,19,aperture-ui-webhooks-staging.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-webhook-cdn-staging.hootsuite.com,aperture-webhook-cdn-staging.hootsuite.com,aperture-ui-webhooks-staging.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99f465f58d1059bf49356e947629b91e,3fd0b151e1d9552cc7d157eca221bbe0222022339f61a9cd23c77ccb0bb63eb9,ctls,aperture-ui-webhooks-staging.hootsuite.com,cloudfront,443,https://aperture-ui-webhooks-staging.hootsuite.com:443,https,,text/plain,GET,143.204.98.73,/,-138391155,143.204.98.2,Amazon Web Services,2,False,True,,,,,
