input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,tls_expired,final_url,tls_subject_org_,csp_domains_,tls_self_signed
17-121-112-78.ext.indeed.com,BIG-IP logout page,200,5343,portal3.ext.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T00:00:00Z,2024-07-02T23:59:59Z,"CN=*.ext.indeed.com, O=Indeed\, Inc., L=Austin, ST=Texas, C=US",*.ext.indeed.com,ext.indeed.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,839c2fc1865f6c185cad862686869031,9fcea05150e5524f1bedf65d36ff1fa3385d36a2f3fc319e6d38e898dbbbd917,ctls,portal3.ext.indeed.com,,443,https://17-121-112-78.ext.indeed.com:443,https,BigIP,text/html,GET,76.77.155.130,/,878647854,76.77.155.130,HSTS,132,False,,True,,,https://portal3.ext.indeed.com/my.logout.php3?errorcode=19,"Indeed, Inc.",,
39.indeed.com,,404,14,39.indeed.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-02T00:00:00Z,2024-01-01T23:59:59Z,CN=*.indeed.com,*.indeed.com,indeed.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fba66c73783a8cb471745331013ed358,2b915500492ef590b8b959126e94f2dc1d90734992ab51b5892adbbcb76f98a9,ctls,39.indeed.com,,443,https://39.indeed.com:443,https,,text/plain,GET,35.73.70.25,/,-898509732,18.181.73.57,HSTS,1,False,,True,,,,,,
about.indeed.com,Just a moment...,403,6688,about.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T02:45:38Z,2023-09-28T02:45:37Z,CN=indeed.com,indeed.com,indeed.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,98040eb208a6aba1939ccec2ba07df60,fb8af1f11d7bf80d7444105775df71dc47f6a17e8aab9be6b17e481b31161638,ctls,about.indeed.com,cloudflare,443,https://about.indeed.com:443,https,cloudflare,text/html,GET,162.159.129.67,/,-318272403,162.159.130.67,HTTP/3,82,False,True,True,,,,,,
activity-report.indeed.com,404 Not Found,404,146,activity-report.indeed.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-11-21T23:59:59Z,"CN=*.indeed.com, O=Indeed\, Inc., L=Austin, ST=Texas, C=US",*.indeed.com,jobs.vn.canary.indeed.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ccbf1e305191845f25af8ed3833f280e,614615bf5de37399b0e82504b0eaaa1945dd79371d1eaaea1c37aab8e7e91450,ctls,activity-report.indeed.com,,443,https://activity-report.indeed.com:443,https,nginx,text/html,GET,198.58.75.26,/,1494302000,198.58.75.26,Nginx,8,False,,True,,,,"Indeed, Inc.",,
adh.indeed.com,OneLogin,200,2608,indeed.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,ctls,indeed.onelogin.com,,443,https://adh.indeed.com:443,https,AmazonS3,text/html,GET,3.132.174.154,/,190169958,18.218.244.36,HSTS,52,False,,True,,,https://indeed.onelogin.com/login2/?return=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1cmkiOiJodHRwczovL2luZGVlZC5vbmVsb2dpbi5jb20vbG9naW4iLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImZmX211bHRpcGxlX2JyYW5kcyI6ZmFsc2UsImV4cCI6MTY4OTgyMTU0MSwicGFyYW1zIjp7fSwibWV0aG9kIjoiZ2V0IiwiaXNzIjoiTU9OT1JBSUwifQ.uBzfPYtmWWok6iwCfPkCMcKqvEMCzsQ0f_iZcFYgIzQ#app=,"OneLogin, Inc.",https://adcentral.stage.indeed.net,
admin.chatbot.indeed.com,Indeed Chatbot Admin Panel,200,641,admin.chatbot.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2024-04-23T23:59:59Z,CN=admin.chatbot.indeed.com,admin.chatbot.indeed.com,admin.chatbot.indeed.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,27b7b3768c365ea28b3e7a2f120b1121,40972a5703f2152ca61260c1909239bdde6ec313d7c3516292c985e5597db1f5,ctls,admin.chatbot.indeed.com,cloudfront,443,https://admin.chatbot.indeed.com:443,https,AmazonS3,text/html,GET,108.138.17.79,/,1224191131,108.138.17.66,Amazon Web Services,1,False,True,,,,,,,
ads.indeed.com,Just a moment...,403,6745,de.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T02:45:38Z,2023-09-28T02:45:37Z,CN=indeed.com,indeed.com,indeed.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,98040eb208a6aba1939ccec2ba07df60,fb8af1f11d7bf80d7444105775df71dc47f6a17e8aab9be6b17e481b31161638,ctls,de.indeed.com,,443,https://ads.indeed.com:443,https,cloudflare,text/html,GET,3.136.130.3,/,1732543192,3.135.88.48,HTTP/3,82,False,,True,,,https://de.indeed.com/recruiting,,,
advertiser-budget-plugin.dyn.indeed.com,404 Not Found,404,146,advertiser-budget-plugin.dyn.indeed.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-02T00:00:00Z,2024-01-01T23:59:59Z,CN=*.indeed.com,*.indeed.com,indeed.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9922aed0be44f8231d117255b909bdb,73bb2218894dd8f43c6b1dae0eb40ea0c6b59fd94308c67da9f77eb26ef4389a,ctls,advertiser-budget-plugin.dyn.indeed.com,,443,https://advertiser-budget-plugin.dyn.indeed.com:443,https,,text/html,GET,3.135.88.48,/,1494302000,3.136.130.3,HSTS,8,False,,True,True,,,,,
ae.canary.indeed.com,Just a moment...,403,6696,ae.canary.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T02:45:33Z,2023-09-28T02:45:32Z,CN=indeed.com,indeed.com,indeed.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,c120493aee6003c40943e5c13783c49b,87ccf0f0f3c83ca431c77a1f6ef10bc9f6ce45094251c68274356cc9b75a34ce,ctls,ae.canary.indeed.com,cloudflare,443,https://ae.canary.indeed.com:443,https,cloudflare,text/html,GET,162.159.129.67,/,-334149364,162.159.130.67,HTTP/3,82,False,True,True,,,,,,
ae.conv.indeed.com,Just a moment...,403,6690,ae.conv.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T02:45:33Z,2023-09-28T02:45:32Z,CN=indeed.com,indeed.com,indeed.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,c120493aee6003c40943e5c13783c49b,87ccf0f0f3c83ca431c77a1f6ef10bc9f6ce45094251c68274356cc9b75a34ce,ctls,ae.conv.indeed.com,cloudflare,443,https://ae.conv.indeed.com:443,https,cloudflare,text/html,GET,162.159.130.67,/,1562558245,162.159.129.67,HTTP/3,82,False,True,True,True,,,,,
