new,host,a,soa,status_code,cname,cdn,cdn-name,txt,ns,aaaa,mx,caa
[x],207-207-12-3.informatica.com,207.207.12.3,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],a.informatica.com,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 ip4:64.70.67.0/24 ip4:64.70.94.0/24 ip4:64.79.155.0/24 ip4:207.218.90.0/24 ip4:209.177.160.0/20 ip4:208.185.229.0/24 ip4:208.185.235.0/24 ip4:23.251.237.159/32 ip4:23.251.237.160/29 ip4:23.251.237.168/30 -all,,,,
[x],accounts-dev.informatica.com,"35.71.190.245, 52.223.7.86","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"infportalsb.customdomains.okta.com, ok3-custom-crtrs.okta.com, ok3-custom-crtrs.oktaedge.okta.com, aaa00e5cffb63d634.awsglobalaccelerator.com",,,,,,,
[x],accounts-sandbox.informatica.com,"35.71.190.245, 52.223.7.86","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"infportalsb.customdomains.okta.com, ok3-custom-crtrs.okta.com, ok3-custom-crtrs.oktaedge.okta.com, aaa00e5cffb63d634.awsglobalaccelerator.com",,,,,,,
[x],ae.informatica.com,198.202.141.157,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,wwwmicrolb.informatica.com,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],apacftp.informatica.com,52.77.53.66,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],apauc1-apigw.dm1-apau.informaticacloud.com,20.70.14.113,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apauc1-apim.dm1-apau.informaticacloud.com,20.70.12.34,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apauc1-b2bgw.dm1-apau.informaticacloud.com,20.37.45.87,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,True,azure,,,,,
[x],apauc1-cai.dm1-apau.informaticacloud.com,20.70.10.85,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apauc1-dqcloud.dm1-apau.informaticacloud.com,20.213.233.1,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apauc1-dqprofile.dm1-apau.informaticacloud.com,20.213.233.6,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apauc1-sfdc-cai.dm1-apau.informaticacloud.com,20.70.10.85,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,apauc1-cai.dm1-apau.informaticacloud.com,,,,,,,
[x],apauc1.dm1-apau.informaticacloud.com,20.70.26.25,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apigw-pod1.dm-us.informaticacloud.com,"54.148.185.139, 52.89.4.77","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,apigw-prod1-worker-1746915875.us-west-2.elb.amazonaws.com,,,,,,,
