input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tech_,cdn_name,webserver,cdn,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,location
000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.jctf.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.jctf.jfrog.com:80,http,text/html,GET,143.204.98.99,/,2110154433,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.yalla-devops.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.yalla-devops.jfrog.com:80,http,text/html,GET,143.204.98.28,/,771180264,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
0afiw8py.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://0afiw8py.jfrog.com:80,http,text/html,GET,143.204.98.46,/,-235869776,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
0zyxwvutsrq.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://0zyxwvutsrq.jfrog.com:80,http,text/html,GET,143.204.98.46,/,-527977398,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
10b.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://10b.jfrog.com:80,http,text/html,GET,143.204.98.6,/,765076989,143.204.98.28,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
161-27.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://161-27.jfrog.com:80,http,text/html,GET,143.204.98.46,/,443877182,143.204.98.28,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
17-121-120-216.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://17-121-120-216.jfrog.com:80,http,text/html,GET,143.204.98.46,/,-1786636480,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
17-58-96-34.my.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://17-58-96-34.my.jfrog.com:80,http,text/html,GET,143.204.98.46,/,-354046807,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
17-58-97-42.swampguide.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://17-58-97-42.swampguide.jfrog.com:80,http,text/html,GET,143.204.98.28,/,-2126067070,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
172-39.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://172-39.jfrog.com:80,http,text/html,GET,143.204.98.46,/,-247308810,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
19497744.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://19497744.jfrog.com:80,http,text/html,GET,143.204.98.46,/,331030936,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
2020-ns-accounts-acceptatie.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://2020-ns-accounts-acceptatie.jfrog.com:80,http,text/html,GET,143.204.98.28,/,766092982,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
