new,host,ttl,a,aaaa,soa,status_code,cname,mx,txt,ns
[x],jora.com,300,"104.17.211.69, 104.17.210.69","2606:4700::6811:d345, 2606:4700::6811:d245","{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"mxa-002a9501.gslb.pphosted.com, mxb-002a9501.gslb.pphosted.com",,"barbara.ns.cloudflare.com, ernest.ns.cloudflare.com"
[x],jora.xyz,1800,,,"{'name': 'jora.xyz', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345293430, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.xyz', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345293430, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.xyz', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345293430, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.xyz', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345293430, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.xyz', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345293430, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"barbara.ns.cloudflare.com, ernest.ns.cloudflare.com"
,ae.jora.com,300,"104.17.211.69, 104.17.210.69","2606:4700::6811:d345, 2606:4700::6811:d245","{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,api-dev.employer.jora.com,300,"104.17.211.69, 104.17.210.69","2606:4700::6811:d245, 2606:4700::6811:d345","{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,api.employer.jora.com,300,"104.17.211.69, 104.17.210.69","2606:4700::6811:d245, 2606:4700::6811:d345","{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,api.jora.com,300,"104.17.211.69, 104.17.210.69",,"{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,ar.jora.com,1800,,,"{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,assets-dev.jora.com,300,"104.17.211.69, 104.17.210.69","2606:4700::6811:d245, 2606:4700::6811:d345","{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,assets.jora.com,300,"104.17.211.69, 104.17.210.69","2606:4700::6811:d345, 2606:4700::6811:d245","{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,au.jora.com,300,"104.17.210.69, 104.17.211.69","2606:4700::6811:d245, 2606:4700::6811:d345","{'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jora.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344930269, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"google-site-verification=XFboNdPh1kGKHFfoKmQ37kuo8XvSdUMI0j4-VYBoqj0, facebook-domain-verification=8bncd0hu0kkjl29hpilmsxr330i7fg",
