new,host,ttl,a,aaaa,cname,soa,status_code,mx,ns,cdn,cdn-name,caa,txt
[x],eoy.libelle.nl,900,34.117.134.166,,dpg-eoy.lwprod.nl,"{'name': 'lwprod.nl', 'ns': 'ns-1479.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lwprod.nl', 'ns': 'ns-1479.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lwprod.nl', 'ns': 'ns-1479.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lwprod.nl', 'ns': 'ns-1479.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lwprod.nl', 'ns': 'ns-1479.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,True,google,,
[x],libelle.nl,20,"23.203.49.64, 23.203.49.67","2a02:26f0:ab00::214:8e59, 2a02:26f0:ab00::214:8e73",,"{'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}, {'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}",NOERROR,"alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com",,,,,"HJ2U0T1SU6LMVHH51D8PG7VVPR, tFUxQzBmu+L/bhdQO1VNxOc7//NzVeEo945UY9sGBlfehcc/uhXA9VvIpEbF8FdmOLr2SbG6ZM9ZHATfOdZxAQ==, facebook-domain-verification=8utrhp9r3cawz54o97s27prnm5emvx, google-site-verification=s46KRx1Uj3cXKQhp8K-mpFRKejmxrItFSsmJHXodYPU, google-site-verification=haUtdhwN7kZ2jsGSgdCeYR8xWoildeg0Sj-gUmBcYxM, facebook-domain-verification=t7jxp2o5xm9oe7ezro4njyojdggrte, v=spf1 include:_spf.dpgmmservices.nl include:spf.protection.outlook.com include:_spf.google.com -all, google-site-verification=02kFz8YbEUJiUmNg8WL39Sk-zTj0sTc_dHli4kWij1U, MS=ms84871890"
,abonnement-acc.libelle.nl,555,"104.110.191.46, 104.110.191.31","2a02:26f0:1180:33::210:648, 2a02:26f0:1180:33::210:64b","shops-v2.tapp.dpgmedia.cloud.edgekey.net, e240049.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,abonnement.libelle.nl,1344,"184.86.103.206, 184.86.103.223","2a02:26f0:1180:33::210:644, 2a02:26f0:1180:33::210:660","shops.tapp.dpgmedia.cloud.edgekey.net, e115161.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,abonnementen.libelle.nl,300,,,,"{'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}, {'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}, {'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}, {'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}, {'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}, {'name': 'libelle.nl', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2023042057, 'refresh': 14400, 'retry': 1800, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,acc.libelle.nl,3600,"23.203.49.67, 23.203.49.64","2600:1408:ec00:2e::1735:ba8, 2600:1408:ec00:2e::1735:baf","dpgm-libelle-wc.edgekey.net, e127998.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991790, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991790, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991791, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991793, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,account.libelle.nl,3600,"23.222.79.232, 23.222.79.163","2a02:26f0:3500:14::1724:a259, 2a02:26f0:3500:14::1724:a250","dpgm-account.edgekey.net, e123360.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991788, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991789, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1728991789, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,accounts.libelle.nl,300,"18.66.122.19, 18.66.122.65, 18.66.122.71, 18.66.122.2",,"881051666298.gigya-api.com, d135lkfgvhy291.cloudfront.net","{'name': 'd135lkfgvhy291.cloudfront.net', 'ns': 'ns-41.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd135lkfgvhy291.cloudfront.net', 'ns': 'ns-41.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd135lkfgvhy291.cloudfront.net', 'ns': 'ns-41.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-1133.awsdns-13.org, ns-1548.awsdns-01.co.uk, ns-41.awsdns-05.com, ns-929.awsdns-52.net",True,cloudfront,,
,actie.libelle.nl,900,"178.33.129.44, 51.77.37.192, 51.89.19.54, 178.32.47.207",,"player.qualifioapp.com, varnish.qualifioapp.com","{'name': 'qualifioapp.com', 'ns': 'ns1.gandi.net', 'mailbox': 'hostmaster.gandi.net', 'serial': 1728518400, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 10800}, {'name': 'qualifioapp.com', 'ns': 'ns1.gandi.net', 'mailbox': 'hostmaster.gandi.net', 'serial': 1728518400, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 10800}, {'name': 'qualifioapp.com', 'ns': 'ns1.gandi.net', 'mailbox': 'hostmaster.gandi.net', 'serial': 1728518400, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 10800}, {'name': 'qualifioapp.com', 'ns': 'ns1.gandi.net', 'mailbox': 'hostmaster.gandi.net', 'serial': 1728518400, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 10800}",NOERROR,,,,,"letsencrypt.org, digicert.com, globalsign.com",
,autodiscover.libelle.nl,3600,"52.97.200.184, 52.97.201.120, 40.99.204.248, 40.99.204.104","2603:1026:c0d:c2f::8, 2603:1026:c0d:828::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:82f::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","{'name': 'tm-4.office.com', 'ns': 'ns1-34.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tm-4.office.com', 'ns': 'ns1-34.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,
