input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_self_signed,tls_mismatched,tls_subject_org_,favicon,csp_domains_,final_url
0--americabox-sre-dev-elm-okta-idpnursh16-app.magiceden.workers.dev,,404,16,0--americabox-sre-dev-elm-okta-idpnursh16-app.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,0--americabox-sre-dev-elm-okta-idpnursh16-app.magiceden.workers.dev,cloudflare,443,https://0--americabox-sre-dev-elm-okta-idpnursh16-app.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
0-0.magiceden.workers.dev,,404,16,0-0.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,0-0.magiceden.workers.dev,cloudflare,443,https://0-0.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
0-59-6.magiceden.workers.dev,,404,16,0-59-6.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,0-59-6.magiceden.workers.dev,cloudflare,443,https://0-59-6.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
0-75.magiceden.workers.dev,,404,16,0-75.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,0-75.magiceden.workers.dev,cloudflare,443,https://0-75.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
0-database.magiceden.workers.dev,,404,16,0-database.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,0-database.magiceden.workers.dev,cloudflare,443,https://0-database.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
0-karry-605.magiceden.workers.dev,,404,16,0-karry-605.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,0-karry-605.magiceden.workers.dev,cloudflare,443,https://0-karry-605.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
00-5-77.magiceden.workers.dev,,404,16,00-5-77.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,00-5-77.magiceden.workers.dev,cloudflare,443,https://00-5-77.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
000-27027415516oauth.magiceden.workers.dev,,404,16,000-27027415516oauth.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,000-27027415516oauth.magiceden.workers.dev,cloudflare,443,https://000-27027415516oauth.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
00000000.magiceden.workers.dev,,404,16,00000000.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,00000000.magiceden.workers.dev,cloudflare,443,https://00000000.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
0006724.magiceden.workers.dev,,404,16,0006724.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,0006724.magiceden.workers.dev,cloudflare,443,https://0006724.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
