new,host,a,soa,status_code,txt,cname,cdn,cdn-name,mx,ns,aaaa,caa,has_internal_ips,internal_ips
[x],a.api.mapbox.com,"108.138.17.105, 108.138.17.58, 108.138.17.112, 108.138.17.93","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],a.tile.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a.tiles.mapbox.com,"108.138.17.58, 108.138.17.112, 108.138.17.93, 108.138.17.105","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,d1vrt33i2pfivz.cloudfront.net,True,cloudfront,,"ns-1439.awsdns-51.org, ns-866.awsdns-44.net, ns-325.awsdns-40.com, ns-1567.awsdns-03.co.uk",,,,
[x],account.mapbox.com,"13.225.78.93, 13.225.78.30, 13.225.78.99, 13.225.78.17","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],admhy.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-assets-production.mapbox.com,"3.20.92.7, 18.188.246.177","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-directions-bike-production-internal.mapbox.com,"34.246.34.237, 52.48.188.135, 3.248.11.49","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-directions-bike-production.mapbox.com,"34.246.34.237, 52.48.188.135, 3.248.11.49","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-identity-domains.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],api-identity-fargate-testing.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],api-identity-production-new.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],api-identity-production.mapbox.com,"18.164.52.67, 18.164.52.84, 18.164.52.18, 18.164.52.88","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],api-identity-testing.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],api-profanity-proxy-production.mapbox.com,"34.224.19.205, 54.197.134.207","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-vision-production.mapbox.com,"52.50.71.230, 54.194.190.207","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],api.mapbox.com,"52.84.45.122, 52.84.45.53, 52.84.45.54, 52.84.45.117","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],api.tiles.mapbox.com,"108.138.17.105, 108.138.17.93, 108.138.17.112, 108.138.17.58","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,d1vrt33i2pfivz.cloudfront.net,True,cloudfront,,"ns-1439.awsdns-51.org, ns-1567.awsdns-03.co.uk, ns-325.awsdns-40.com, ns-866.awsdns-44.net",,,,
[x],apps.mapbox.com,"65.9.66.86, 65.9.66.14, 65.9.66.60, 65.9.66.94","ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-1247.awsdns-27.org, ns-2021.awsdns-60.co.uk, ns-333.awsdns-41.com, ns-994.awsdns-60.net",,,,
[x],artifacts-aptest-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],artifacts-artifacts-testing-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],artifacts-danpat-buildcache-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],artifacts-jvd-test-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],artifacts-production-dns.mapbox.com,"54.205.89.2, 34.202.11.106, 54.209.18.177","ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,d-j03nel9y4j.execute-api.us-east-1.amazonaws.com,,,,,,,,
[x],artifacts-staging-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],artifacts-test-spark-china-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],artifacts-testing-2-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],artifacts-testing-dns.mapbox.com,"3.230.99.58, 35.172.39.158, 44.205.30.182","ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,d-6wi4s3hka9.execute-api.us-east-1.amazonaws.com,,,,,,,,
[x],artifacts-vntest-2-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],artifacts-vntest-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],b.tile.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],b.tiles.mapbox.com,"108.138.17.93, 108.138.17.105, 108.138.17.112, 108.138.17.58","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,d1vrt33i2pfivz.cloudfront.net,True,cloudfront,,"ns-325.awsdns-40.com, ns-866.awsdns-44.net, ns-1439.awsdns-51.org, ns-1567.awsdns-03.co.uk",,,,
[x],b.wb.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],blog.mapbox.com,"52.4.38.70, 52.4.225.124, 52.4.240.221, 52.4.175.111, 52.4.145.119, 52.1.147.205, 52.6.46.142, 52.5.181.79, 52.1.119.170, 52.6.3.192, 52.1.173.203, 52.0.16.118","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bob-the-builder-production-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],bob-the-builder-staging-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],bounce.mapbox.com,,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 include:amazonses.com ~all,custom-email-domain.stripe.com,,,feedback-smtp.us-west-2.amazonses.com,"ns-1404.awsdns-47.org, ns-2008.awsdns-59.co.uk, ns-994.awsdns-60.net, ns-163.awsdns-20.com",,,,
[x],c.tile.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],c.tiles.mapbox.com,"13.224.245.42, 13.224.245.34, 13.224.245.57, 13.224.245.123","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,d1vrt33i2pfivz.cloudfront.net,True,cloudfront,,,,,,
[x],config.mapbox.com,"54.208.138.205, 54.243.151.248, 3.227.220.221","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],contact.mapbox.com,"35.82.3.66, 50.112.129.52, 52.40.236.35","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,"mapbox.outrch.com, 03da7598-df62-4a8c-980a-0d8958e1242a.outrch.com, app1c.outrch.com",,,,,,letsencrypt.org,,
[x],covid19-india.mapbox.com,"108.138.17.25, 108.138.17.78, 108.138.17.99, 108.138.17.24","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],d.api.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],d.tile.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],d.tiles.mapbox.com,"52.222.169.76, 52.222.169.129, 52.222.169.8, 52.222.169.78","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,d1vrt33i2pfivz.cloudfront.net,True,cloudfront,,"ns-1439.awsdns-51.org, ns-1567.awsdns-03.co.uk, ns-325.awsdns-40.com, ns-866.awsdns-44.net",,,,
[x],defraisew01.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],elb-cms1.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],email.mapbox.com,"18.66.97.60, 18.66.97.110, 18.66.97.39, 18.66.97.129","ns-822.awsdns-38.net, awsdns-hostmaster.amazon.com",NOERROR,,d2lpixbthg0qzi.cloudfront.net,True,cloudfront,,"ns-1472.awsdns-56.org, ns-150.awsdns-18.com, ns-1891.awsdns-44.co.uk, ns-822.awsdns-38.net","2600:9000:223c:1a00:6:3283:2780:93a1, 2600:9000:223c:5c00:6:3283:2780:93a1, 2600:9000:223c:8e00:6:3283:2780:93a1, 2600:9000:223c:7200:6:3283:2780:93a1, 2600:9000:223c:2e00:6:3283:2780:93a1, 2600:9000:223c:5600:6:3283:2780:93a1, 2600:9000:223c:5400:6:3283:2780:93a1, 2600:9000:223c:6200:6:3283:2780:93a1",,,
[x],enterpriselogin.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],eu-west-1.sites.mapbox.com,"54.194.21.152, 34.247.157.113, 99.81.221.76","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1371.awsdns-43.org, ns-1964.awsdns-53.co.uk, ns-47.awsdns-05.com, ns-591.awsdns-09.net",,,,
[x],events.mapbox.com,"54.72.81.175, 63.32.122.243, 108.129.33.18","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,swb44h4dbzcbb8mmrzmtn3vj608z4fwt,,,,,,,,,
[x],expallocation-prdws.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],fireeye1.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],fleet.mapbox.com,"65.9.86.28, 65.9.86.48, 65.9.86.83, 65.9.86.64","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],gonzalorojas.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],h135-207-40-30.events.mapbox.com,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.h135-207-40-30.events.mapbox.com",NOERROR,,,,,,,::,,True,0.0.0.0
[x],hello.mapbox.com,"50.112.129.52, 35.82.3.66, 52.40.236.35","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,"03da7598-df62-4a8c-980a-0d8958e1242a.outrch.com, app1c.outrch.com",,,,,,letsencrypt.org,,
[x],helpscout-production.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],hey-okta.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],hey-staging.mapbox.com,"54.80.43.14, 54.242.63.178, 34.193.209.183, 54.145.199.194","ns-1646.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1646.awsdns-13.co.uk, ns-358.awsdns-44.com, ns-957.awsdns-55.net, ns-1394.awsdns-46.org",2600:9000:5303:bd00::1,,,
[x],hey.mapbox.com,"34.247.157.113, 99.81.221.76, 54.194.21.152","ns-167.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1739.awsdns-25.co.uk, ns-690.awsdns-22.net, ns-167.awsdns-20.com, ns-1437.awsdns-51.org",,,,
[x],https-upload-wikimedia-org76.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],icon.mapbox.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,d2n7w8vg2yog2s.cloudfront.net,,,,,,,,
[x],jp.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],js.mapbox.com,"52.222.214.75, 52.222.214.44, 52.222.214.50, 52.222.214.64","ns-375.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,dr0duaxde13i9.cloudfront.net,True,cloudfront,,"ns-375.awsdns-46.com, ns-629.awsdns-14.net, ns-1189.awsdns-20.org, ns-2035.awsdns-62.co.uk",,,,
[x],labs.mapbox.com,"18.66.97.96, 18.66.97.39, 18.66.97.51, 18.66.97.56","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],locate.mapbox.com,"104.16.160.13, 104.16.163.13, 104.16.162.13, 104.16.161.13, 104.16.164.13","justin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,sites.cloudcannon.com,True,cloudflare,,,"2606:4700::6810:a30d, 2606:4700::6810:a40d, 2606:4700::6810:a20d, 2606:4700::6810:a00d, 2606:4700::6810:a10d",,,
