new,host,a,cname,soa,status_code,ns,txt,caa
[x],bbp-mettle.co.uk,,,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-125.awsdns-15.com, ns-2012.awsdns-59.co.uk, ns-770.awsdns-32.net, ns-1162.awsdns-17.org",QuoVadis=e7c1e2a9-36a0-4e01-a4be-3628b44cb0e1,"amazontrust.com, awstrust.com, letsencrypt.org, quovadisglobal.com, sectigo.com, amazon.com, amazonaws.com"
,alertmanager.monitoring.bbp-mettle.co.uk,"13.42.113.78, 13.41.26.185, 13.42.87.167",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,api.eevee.bbp-mettle.co.uk,"13.41.26.185, 13.42.113.78, 13.42.87.167",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,api.identity.bbp-mettle.co.uk,"13.41.26.185, 13.42.113.78, 13.42.87.167",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,api.openbanking.bbp-mettle.co.uk,"18.133.131.146, 18.169.149.78, 13.41.148.125",,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,api.ssv.bbp-mettle.co.uk,"13.42.113.78, 13.41.26.185, 13.42.87.167",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,argo-rollouts.platform.bbp-mettle.co.uk,"13.42.87.167, 13.42.113.78, 13.41.26.185",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,argocd.bbp-mettle.co.uk,"13.41.26.185, 13.42.87.167, 13.42.113.78",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,broker.analytics.bbp-mettle.co.uk,"13.41.26.185, 13.42.87.167, 13.42.113.78",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,coordinator.analytics.bbp-mettle.co.uk,,ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,docs.openbanking.bbp-mettle.co.uk,"13.42.87.167, 13.41.26.185, 13.42.113.78",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
,form3.ssv.bbp-mettle.co.uk,"13.42.113.78, 13.42.87.167, 13.41.26.185",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,
