input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_expired,cdn_name,cdn,tls_mismatched,csp_domains_,final_url
*.freshchat.com/,Freshchat: Live Chat & AI Bots for Customer Messaging | Freshworks,200,402010,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,443,https://freshchat.com:443,https,,text/html,GET,18.66.97.2,/,1048756768,18.66.97.129,Linkedin Ads,503,False,,cloudfront,True,,,https://www.freshworks.com/live-chat-software/
*.freshdesk.com/,Freshdesk: Customer Service Software | Freshworks,200,367402,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,443,https://freshdesk.com:443,https,,text/html,GET,143.204.215.94,/,-958118201,143.204.215.11,Linkedin Ads,459,False,,cloudfront,True,,,https://www.freshworks.com/freshdesk/
*.freshworks.com,Innovative Software for Business Needs | Freshworks,200,417749,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,443,https://freshworks.com:443,https,,text/html,GET,18.66.97.53,/,1048756768,18.66.97.53,Linkedin Ads,468,False,,cloudfront,True,,,https://www.freshworks.com/
*.freshworks.com/,Innovative Software for Business Needs | Freshworks,200,417749,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,443,https://freshworks.com:443,https,,text/html,GET,18.66.97.53,/,1048756768,18.66.97.53,Linkedin Ads,468,False,,cloudfront,True,,,https://www.freshworks.com/
*.myfreshworks.com/,Innovative Software for Business Needs | Freshworks,200,417749,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,443,https://myfreshworks.com:443,https,,text/html,GET,54.208.85.233,/,1008368051,34.225.245.154,Linkedin Ads,468,False,,,,,,https://www.freshworks.com/
alpha4.mobikwik.com,404 Not Found,404,146,alpha4.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T07:11:19Z,2024-06-15T07:11:18Z,"CN=*.mobikwik.com, O=ONE MOBIKWIK SYSTEMS LIMITED, L=Gurugram, ST=Haryana, C=IN",*.mobikwik.com,ONE MOBIKWIK SYSTEMS LIMITED,mobikwik.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9a79d7931cdb73369fa25dbc95f73dbb,3a4e31fef811bc154ea68ab4c300d6e8e1b0283bf2d67027d404eea7fc60f3c3,True,ctls,alpha4.mobikwik.com,443,https://alpha4.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.22.34,/,1494302000,104.18.23.34,HSTS,8,False,,cloudflare,True,,,
alpha5.mobikwik.com,404 Not Found,404,146,alpha5.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T07:11:19Z,2024-06-15T07:11:18Z,"CN=*.mobikwik.com, O=ONE MOBIKWIK SYSTEMS LIMITED, L=Gurugram, ST=Haryana, C=IN",*.mobikwik.com,ONE MOBIKWIK SYSTEMS LIMITED,mobikwik.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9a79d7931cdb73369fa25dbc95f73dbb,3a4e31fef811bc154ea68ab4c300d6e8e1b0283bf2d67027d404eea7fc60f3c3,True,ctls,alpha5.mobikwik.com,443,https://alpha5.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.22.34,/,1494302000,104.18.23.34,HSTS,8,False,,cloudflare,True,,,
altcebeta.mobikwik.com,404 Not Found,404,146,altcebeta.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T07:11:19Z,2024-06-15T07:11:18Z,"CN=*.mobikwik.com, O=ONE MOBIKWIK SYSTEMS LIMITED, L=Gurugram, ST=Haryana, C=IN",*.mobikwik.com,ONE MOBIKWIK SYSTEMS LIMITED,mobikwik.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9a79d7931cdb73369fa25dbc95f73dbb,3a4e31fef811bc154ea68ab4c300d6e8e1b0283bf2d67027d404eea7fc60f3c3,True,ctls,altcebeta.mobikwik.com,443,https://altcebeta.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,1494302000,104.18.22.34,HSTS,8,False,,cloudflare,True,,,
analytics.inlinemanual.com/,,200,386,analytics.inlinemanual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T10:46:58Z,2023-09-01T11:39:51Z,CN=analytics.inlinemanual.com,analytics.inlinemanual.com,,analytics.inlinemanual.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,91831578a3d091028622560c3c6c6b2e,76a5a71922734a4e0c6efc971d6e30c8d300cc260534e3e2dd29982d68c4715e,,ctls,analytics.inlinemanual.com,443,https://analytics.inlinemanual.com:443,https,,text/html,GET,35.244.202.21,/,-1146026416,35.244.202.21,HTTP/3,14,False,,google,True,,,
analytics.inlinemanual.com/__profile,,400,48,analytics.inlinemanual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T10:46:58Z,2023-09-01T11:39:51Z,CN=analytics.inlinemanual.com,analytics.inlinemanual.com,,analytics.inlinemanual.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,91831578a3d091028622560c3c6c6b2e,76a5a71922734a4e0c6efc971d6e30c8d300cc260534e3e2dd29982d68c4715e,,ctls,analytics.inlinemanual.com,443,https://analytics.inlinemanual.com:443/__profile,https,,application/json,GET,35.244.202.21,/__profile,-1146026416,35.244.202.21,HTTP/3,1,False,,google,True,,,
analytics.inlinemanual.com/__ptm,,404,51,analytics.inlinemanual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T10:46:58Z,2023-09-01T11:39:51Z,CN=analytics.inlinemanual.com,analytics.inlinemanual.com,,analytics.inlinemanual.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,91831578a3d091028622560c3c6c6b2e,76a5a71922734a4e0c6efc971d6e30c8d300cc260534e3e2dd29982d68c4715e,,ctls,analytics.inlinemanual.com,443,https://analytics.inlinemanual.com:443/__ptm,https,,application/json,GET,35.244.202.21,/__ptm,-1146026416,35.244.202.21,HTTP/3,1,False,,google,True,,,
api.appcues.net/,,200,389,api.appcues.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-01T23:59:59Z,CN=appcues.net,appcues.net,,*.appcues.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3bba7afd1f6d23243747219ba193c4e5,4e3dc06ba93d682331db580b493abd90d19ad140e1c77bf1965bdbba5d4fc7d1,True,ctls,api.appcues.net,443,https://api.appcues.net:443,https,Cowboy,application/json,GET,44.225.79.76,/,1391058259,54.69.246.73,Cowboy,1,False,,,,,,
