input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,webserver,tls_expired,csp_domains_,final_url
12i.factory.nestle.com,Web Site Not Found,404,970,12i.factory.nestle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-20T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.factory.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",*.factory.nestle.com,Nestlé Ltd,factory.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf31b4055011398689ea240fc019f4f5,8141eca8b0043c770c706997c61cdf4e6856a9ef623f9088f2ec70dbcdf8e5ca,ctls,12i.factory.nestle.com,cloudflare,443,https://12i.factory.nestle.com:443,https,text/html,GET,104.18.27.142,/,-1883206912,2606:4700::6812:1b8e,Cloudflare,27,False,True,True,cloudflare,,,
74-8-77.services.nestle.com,,503,183,74-8-77.services.nestle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2017-03-07T00:00:00Z,2020-03-11T12:00:00Z,"CN=*.services.nestle.com, OU=GLOBE, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",*.services.nestle.com,Nestlé Ltd,services.nestle.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e96c2dda0349fb208aef86ac17c12f52,a1239128db762d6ef3b7eb6b12060d367fab20de448d2a91f93746b81ae77710,ctls,74-8-77.services.nestle.com,,443,https://74-8-77.services.nestle.com:443,https,,GET,155.56.248.65,/,1902041501,155.56.248.65,F5 BigIP,1,False,,True,BigIP,True,,
8-5-8.services.nestle.com,,503,183,8-5-8.services.nestle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2017-03-07T00:00:00Z,2020-03-11T12:00:00Z,"CN=*.services.nestle.com, OU=GLOBE, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",*.services.nestle.com,Nestlé Ltd,services.nestle.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e96c2dda0349fb208aef86ac17c12f52,a1239128db762d6ef3b7eb6b12060d367fab20de448d2a91f93746b81ae77710,ctls,8-5-8.services.nestle.com,,443,https://8-5-8.services.nestle.com:443,https,,GET,155.56.248.65,/,1902041501,155.56.248.65,F5 BigIP,1,False,,True,BigIP,True,,
aaa888xxx83.factory.nestle.com,Web Site Not Found,404,970,aaa888xxx83.factory.nestle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-20T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.factory.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",*.factory.nestle.com,Nestlé Ltd,factory.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf31b4055011398689ea240fc019f4f5,8141eca8b0043c770c706997c61cdf4e6856a9ef623f9088f2ec70dbcdf8e5ca,ctls,aaa888xxx83.factory.nestle.com,cloudflare,443,https://aaa888xxx83.factory.nestle.com:443,https,text/html,GET,104.18.27.142,/,-1883206912,2606:4700::6812:1b8e,Cloudflare,27,False,True,True,cloudflare,,,
about.ingenius.nestle.com,Microsoft Azure Web App - Error 404,404,2667,about.ingenius.nestle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,True,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,about.ingenius.nestle.com,azure,443,https://about.ingenius.nestle.com:443,https,text/html,GET,20.40.202.3,/,387302845,20.40.202.3,,87,False,True,True,,,,
abrianna.services.nestle.com,,503,183,abrianna.services.nestle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2017-03-07T00:00:00Z,2020-03-11T12:00:00Z,"CN=*.services.nestle.com, OU=GLOBE, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",*.services.nestle.com,Nestlé Ltd,services.nestle.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e96c2dda0349fb208aef86ac17c12f52,a1239128db762d6ef3b7eb6b12060d367fab20de448d2a91f93746b81ae77710,ctls,abrianna.services.nestle.com,,443,https://abrianna.services.nestle.com:443,https,,GET,155.56.248.65,/,1902041501,155.56.248.65,F5 BigIP,1,False,,True,BigIP,True,,
acc.factory.nestle.com,Web Site Not Found,404,970,acc.factory.nestle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-20T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.factory.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",*.factory.nestle.com,Nestlé Ltd,factory.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf31b4055011398689ea240fc019f4f5,8141eca8b0043c770c706997c61cdf4e6856a9ef623f9088f2ec70dbcdf8e5ca,ctls,acc.factory.nestle.com,cloudflare,443,https://acc.factory.nestle.com:443,https,text/html,GET,104.18.27.142,/,-1883206912,2606:4700::6812:1b8e,Cloudflare,27,False,True,True,cloudflare,,,
access.factory.nestle.com,Web Site Not Found,404,970,access.factory.nestle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-20T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.factory.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",*.factory.nestle.com,Nestlé Ltd,factory.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf31b4055011398689ea240fc019f4f5,8141eca8b0043c770c706997c61cdf4e6856a9ef623f9088f2ec70dbcdf8e5ca,ctls,access.factory.nestle.com,cloudflare,443,https://access.factory.nestle.com:443,https,text/html,GET,104.18.26.142,/,-1883206912,2606:4700::6812:1b8e,Cloudflare,27,False,True,True,cloudflare,,,
accessibility.nestle.com,,403,342,accessibility.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,True,2023-04-27T00:00:00Z,2024-05-27T23:59:59Z,CN=*.cloudwaysapps.com,*.cloudwaysapps.com,,cloudwaysapps.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,45c8eff9ba535e1ce6cf782f619b5907,46c14572bed6bb1c8797e7a0292d295e561d717b22535af514608f0d2fe40802,ctls,accessibility.nestle.com,,443,https://accessibility.nestle.com:443,https,text/html,GET,161.35.47.225,/,-1554923230,161.35.47.225,Nginx,4,False,,True,nginx,,,
admin-amsb2b.nestle.com,Nestle - Maintenance,403,848,admin-amsb2b.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-11-02T00:00:00Z,2023-11-02T23:59:59Z,"CN=admin-amsb2b.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",admin-amsb2b.nestle.com,Nestlé Ltd,www.admin-amsb2b.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,29d3fd20ccb37704a0fbdc4e20ea2071,3a4eb6f76a2608f3933a9293ab72f45d24c12fa251eee6c84172f5d475fa6847,ctls,admin-amsb2b.nestle.com,azure,443,https://admin-amsb2b.nestle.com:443,https,text/html,GET,20.185.71.88,/,-1503435465,20.185.71.88,HSTS,28,False,True,,*,,,
admin-aoab2b.nestle.com,Maintenance,403,353,admin-aoab2b.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=admin-aoab2b.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",admin-aoab2b.nestle.com,Nestlé Ltd,www.admin-aoab2b.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,411c551258fb7a44e9f6551d344dfa5e,d519e64a886ceee8439785ae6ebf08d9dffab87af34860fbbbe25cd2cf570cae,ctls,admin-aoab2b.nestle.com,azure,443,https://admin-aoab2b.nestle.com:443,https,text/html,GET,52.187.57.232,/,-1063337629,52.187.57.232,HSTS,12,False,True,,*,,,
admin-emenab2b.nestle.com,Maintenance,403,353,admin-emenab2b.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=admin-emenab2b.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",admin-emenab2b.nestle.com,Nestlé Ltd,www.admin-emenab2b.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7757c061bdfff8ae565b1dae625f176a,874f094ae1bbfb42695b6a86f0b8349abd67b42ac47263f2b964c3124d9ca332,ctls,admin-emenab2b.nestle.com,azure,443,https://admin-emenab2b.nestle.com:443,https,text/html,GET,13.80.174.77,/,-1063337629,13.80.174.77,HSTS,12,False,True,,*,,,
adoption-metrics.az.ciam.nestle.com,401 Authorization Required,401,172,adoption-metrics.az.ciam.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-13T13:29:52Z,2023-07-12T13:29:51Z,CN=adoption-metrics.az.ciam.nestle.com,adoption-metrics.az.ciam.nestle.com,,adoption-metrics.az.ciam.nestle.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,694464ee8418f008dedf60b3983a845c,9c63a621327ff5a6392025a61fd3f70ef46378fbf347bbdd0f94d8e920640fe3,ctls,adoption-metrics.az.ciam.nestle.com,azure,443,https://adoption-metrics.az.ciam.nestle.com:443,https,text/html,GET,13.95.31.104,/,-1710455754,13.95.31.104,HSTS,8,False,True,,,,,
adoption-metrics.dev.az.ciam.nestle.com,401 Authorization Required,401,172,adoption-metrics.dev.az.ciam.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-22T06:15:08Z,2023-08-20T06:15:07Z,CN=adoption-metrics.dev.az.ciam.nestle.com,adoption-metrics.dev.az.ciam.nestle.com,,adoption-metrics.dev.az.ciam.nestle.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,810c84b148c5d81b454a6846f876ce32,66d64e7cc5b147fabdfc7200ff6d5a48218d6bbe5ffcb81a8040f5b2e5eafa20,ctls,adoption-metrics.dev.az.ciam.nestle.com,azure,443,https://adoption-metrics.dev.az.ciam.nestle.com:443,https,text/html,GET,40.68.121.103,/,-1710455754,40.68.121.103,HSTS,8,False,True,,,,,
adyen-notification.nestpay.nestle.com,This site is temporarily unavailable | Nestlé,403,36180,adyen-notification.nestpay.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-11T09:16:24Z,2023-07-10T09:16:23Z,CN=prod4.edgeduck.io,prod4.edgeduck.io,,www.uxnscentroamerica.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2e29194bf848efbe1697f6139611305c,d66d5a9c857f36fc4462e16c8a4587749b0c97f4e8782cfd6ce786328d646a40,ctls,adyen-notification.nestpay.nestle.com,,443,https://adyen-notification.nestpay.nestle.com:443,https,text/html,GET,104.126.37.168,/,-1486450423,2a02:26f0:1700:11::b856:679b,HSTS,528,False,,,,,,
alertmanager.az.ciam.nestle.com,Sign in to your account,200,201668,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,azure,443,https://alertmanager.az.ciam.nestle.com:443,https,text/html,GET,13.95.31.104,/,349658593,13.95.31.104,HSTS,174,False,True,,,,,https://login.microsoftonline.com/12a3af23-a769-4654-847f-958f3d479f4a/oauth2/authorize?acr_values=&approval_prompt=force&client_id=31e16280-8936-4d87-bb5d-c553aaecf665&redirect_uri=https%3A%2F%2Falertmanager.az.ciam.nestle.com%2Foauth2%2Fcallback&response_type=code&scope=openid&state=e2f1e5fda807b5d09c175a5f0800daaa%3A%2F
alertmanager.dev.az.ciam.nestle.com,,404,21,alertmanager.dev.az.ciam.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-22T06:14:08Z,2023-08-20T06:14:07Z,CN=alertmanager.dev.az.ciam.nestle.com,alertmanager.dev.az.ciam.nestle.com,,alertmanager.dev.az.ciam.nestle.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ac918c3da6268e1c864e2fffdb794726,0d1f545fd3c995bffcc5c54305887d1770c784f83d3d871b1f40f991294405d6,ctls,alertmanager.dev.az.ciam.nestle.com,azure,443,https://alertmanager.dev.az.ciam.nestle.com:443,https,text/plain,GET,40.68.121.103,/,-1669793162,40.68.121.103,HSTS,1,False,True,,,,,
alumni.nestle.com,Sign Up | LinkedIn,200,23729,www.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,LinkedIn Corporation,www.linkedin-measure.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7eb3cbac015363672717f482f365b968,06a0e72c9d2e7adc582c43dce02611f8552d976ef1f1674a0e46ad1af1c32865,ctls,www.linkedin.com,azure,443,https://alumni.nestle.com:443,https,text/html,GET,52.158.117.111,/,1532344575,52.158.117.111,Java,2,False,True,,,,https://www.linkedin.com/security/csp?f=grl,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fgroups%2F8938049%2F&trk=login_reg_redirect
amatrix.services.nestle.com,,200,3422,amatrix.services.nestle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-04-11T00:00:00Z,2024-04-11T23:59:59Z,"CN=amatrix.services.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",amatrix.services.nestle.com,Nestlé Ltd,www.amatrix.services.nestle.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,c8c37d4276573c69ad0b1071a9d8b878,61aad8136cc7f6cd86b2c0561fead7f63c267b6b9b33e29942f927cf66fde934,ctls,amatrix.services.nestle.com,,443,https://amatrix.services.nestle.com:443,https,text/html,GET,155.56.248.91,/,213980453,155.56.248.91,HSTS,1,False,,,SAP,,,
ams-ext-pub-ssl.nestle.com,400 No required SSL certificate was sent,400,202,ams-ext-pub-ssl.nestle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-06-22T00:00:00Z,2023-06-22T23:59:59Z,"CN=ams-ext-pub-ssl.nestle.com, O=Nestlé Ltd, L=Vevey, ST=Vaud, C=CH",ams-ext-pub-ssl.nestle.com,Nestlé Ltd,www.ams-ext-pub-ssl.nestle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,70403f7d6017ee4a855ca81348fab088,cd2f197ca6c762a91c0bbdd4e25f2460e989117a9e120d6079a8fd661be95aaa,ctls,ams-ext-pub-ssl.nestle.com,,443,https://ams-ext-pub-ssl.nestle.com:443,https,text/html,GET,18.189.126.183,/,-1372260124,3.129.91.152,HSTS,8,False,,,,,,
