input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,webserver,final_url,csp_domains_
affiliate.websitebuilder.com,Connexion - Smart Algo,200,4475,affiliate.websitebuilder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-29T12:47:50Z,2023-08-27T13:39:50Z,CN=sa.stable.rc-aa.gcp.seenovate.com,sa.stable.rc-aa.gcp.seenovate.com,sa.stable-validation.rc-aa.gcp.seenovate.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,dbdbed2788df1b7a119914a7b969bd33,378104a3392b847a2aae0164584b1ab90d646d223b1c5cf6c37733ba5d6ec6c1,ctls,affiliate.websitebuilder.com,google,443,https://affiliate.websitebuilder.com:443,https,text/html,GET,107.178.240.244,/,-2064903507,107.178.240.244,PHP:7.4.26,75,False,True,,,Apache/2.4.37 (centos),https://affiliate.websitebuilder.com/login,
affiliates.websitebuilder.com,Connexion - Smart Algo,200,4475,affiliates.websitebuilder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-29T12:47:50Z,2023-08-27T13:39:50Z,CN=sa.stable.rc-aa.gcp.seenovate.com,sa.stable.rc-aa.gcp.seenovate.com,sa.stable-validation.rc-aa.gcp.seenovate.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,dbdbed2788df1b7a119914a7b969bd33,378104a3392b847a2aae0164584b1ab90d646d223b1c5cf6c37733ba5d6ec6c1,ctls,affiliates.websitebuilder.com,google,443,https://affiliates.websitebuilder.com:443,https,text/html,GET,107.178.240.244,/,-2064903507,107.178.240.244,PHP:7.4.26,75,False,True,,,Apache/2.4.37 (centos),https://affiliates.websitebuilder.com/login,
api.websitebuilder.com,,404,,,,,,,,,,,,,,,,,,,,google,80,http://api.websitebuilder.com:80,http,,GET,23.236.50.90,/,-1840324437,23.236.50.90,,1,False,True,,,Viewer,,
app-gateway.websitebuilder.com,,500,151,app-gateway.websitebuilder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T00:00:00Z,2024-01-18T23:59:59Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,*.websitebuilder.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d5888067a7a688fa90f5808d6149eec,51164b10948d61d68a3f5b0c493d1d9dc7a09249db67b55a0963ed8ad308ca1e,ctls,app-gateway.websitebuilder.com,cloudflare,443,https://app-gateway.websitebuilder.com:443,https,text/plain,GET,104.17.8.84,/,1449585830,2606:4700::6811:854,HSTS,4,False,True,"Cloudflare, Inc.",True,cloudflare,,
app.websitebuilder.com,WebsiteBuilder,200,5454,app.websitebuilder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T00:00:00Z,2024-01-18T23:59:59Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,*.websitebuilder.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d5888067a7a688fa90f5808d6149eec,51164b10948d61d68a3f5b0c493d1d9dc7a09249db67b55a0963ed8ad308ca1e,ctls,app.websitebuilder.com,cloudflare,443,https://app.websitebuilder.com:443,https,text/html,GET,104.17.8.84,/,492441718,2606:4700::6811:854,HSTS,29,False,True,"Cloudflare, Inc.",True,cloudflare,,*.websitebuilder.com
assets.websitebuilder.com,,404,213,assets.websitebuilder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T00:00:00Z,2024-01-18T23:59:59Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,*.websitebuilder.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d5888067a7a688fa90f5808d6149eec,51164b10948d61d68a3f5b0c493d1d9dc7a09249db67b55a0963ed8ad308ca1e,ctls,assets.websitebuilder.com,cloudflare,443,https://assets.websitebuilder.com:443,https,application/xml,GET,104.17.8.84,/,374706909,2606:4700::6811:954,HSTS,3,False,True,"Cloudflare, Inc.",True,cloudflare,,
autodiscover.websitebuilder.com,Sign in to Outlook,200,39074,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,80,http://autodiscover.websitebuilder.com:80,http,text/html,GET,40.99.150.120,/,-1249852061,2603:1026:c0d:802::8,HSTS,95,False,,Microsoft Corporation,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=c0a842c5-4700-6165-87ed-64fba695937f&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=websitebuilder.com&nonce=638246471289491474.01b96fe4-de33-4844-9f36-96369eba176a&state=DctNDoQgDEBhmLnL7ECRptCFmbMUqQmJhgT_ri-L7-2eVkp9u0-nxx4V0McJEIKbIgE5CGBHlwhXAZPFewMRwNDq0RB6JEnsArLurx3qw8O_CW_7_Eg6yinpKluWZpe6_-4883XWXI6l3tJe,
awverify.cp-api-login.websitebuilder.com,Microsoft Azure Web App - Error 404,404,2667,awverify.cp-api-login.websitebuilder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,awverify.cp-api-login.websitebuilder.com,azure,443,https://awverify.cp-api-login.websitebuilder.com:443,https,text/html,GET,52.240.149.243,/,387302845,52.240.149.243,,87,False,True,Microsoft Corporation,True,,,
billing-api.websitebuilder.com,Origin DNS error | billing-api.websitebuilder.com | Cloudflare,530,6239,billing-api.websitebuilder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T00:00:00Z,2024-01-18T23:59:59Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,*.websitebuilder.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d5888067a7a688fa90f5808d6149eec,51164b10948d61d68a3f5b0c493d1d9dc7a09249db67b55a0963ed8ad308ca1e,ctls,billing-api.websitebuilder.com,cloudflare,443,https://billing-api.websitebuilder.com:443,https,text/html,GET,104.17.8.84,/,2093323195,2606:4700::6811:954,HSTS,92,False,True,"Cloudflare, Inc.",True,cloudflare,,
blog-api.websitebuilder.com,Origin DNS error | blog-api.websitebuilder.com | Cloudflare,530,6230,blog-api.websitebuilder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T00:00:00Z,2024-01-18T23:59:59Z,"CN=websitebuilder.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",websitebuilder.com,*.websitebuilder.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d5888067a7a688fa90f5808d6149eec,51164b10948d61d68a3f5b0c493d1d9dc7a09249db67b55a0963ed8ad308ca1e,ctls,blog-api.websitebuilder.com,cloudflare,443,https://blog-api.websitebuilder.com:443,https,text/html,GET,104.17.8.84,/,-1535055601,2606:4700::6811:954,HSTS,92,False,True,"Cloudflare, Inc.",True,cloudflare,,
