new,host,status_code,a,soa,cdn,cdn-name,mx,txt,cname,aaaa,has_internal_ips,internal_ips,ns,caa,ptr
[x],008dam1l40se01.mgdnok.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],008dam1l40se03.mgdnok.nokia.com,NOERROR,,,,,,,,,,,,,
[x],135.92.0.140.ops.software.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],135.92.0.142.ops.software.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],135.92.0.227.ops.software.nokia.com,NOERROR,,,,,,,,,,,,,
[x],135.92.0.45.ops.software.nokia.com,NOERROR,,,,,,,,,,,,,
[x],135.92.0.93.ops.software.nokia.com,NOERROR,,,,,,,,,,,,,
[x],135.92.1.111.ops.software.nokia.com,NOERROR,,,,,,,,,,,,,
[x],135.92.1.154.ops.software.nokia.com,NOERROR,,,,,,,,,,,,,
[x],135.92.1.199.ops.software.nokia.com,NOERROR,,,,,,,,,,,,,
[x],4booking-reports.int.net.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],_spf1.nokia.com,NOERROR,,"ns2.nokia.com, dns.cloudflare.com",,,,v=spf1 ip4:145.247.12.200/29 ip4:80.80.227.83 ip4:80.80.227.84 ip4:135.245.18.24/29 ip4:135.245.210.20/30 ip4:135.245.0.32/30 ip4:198.61.141.235 ip4:131.228.2.0/24 ip4:135.245.43.112/28 ip4:131.228.6.100/31 ip4:131.228.69.0/27 ~all,,,,,,,
[x],a1.nokia.com,NOERROR,145.247.120.91,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],a1.odc.nokia.com,NOERROR,147.243.14.68,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],a9.nokia.com,NOERROR,147.243.14.149,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],ac-qa.int.nokia.com,NOERROR,51.144.184.76,"ns7.nokia.com, dns.cloudflare.com",True,azure,,,,,,,,,
[x],acc.net.nokia.com,NOERROR,18.221.145.48,"dns-external-master.amazon.com, root.amazon.com",,,,,ec2-18-221-145-48.us-east-2.compute.amazonaws.com,,,,,,
[x],access.cloud-lab.ext.net.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],access.dac.nokia.com,NOERROR,"34.235.62.90, 3.213.143.227, 184.72.174.126","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",True,cloudflare,mail.zendesk.com,,access-dac.zendesk.com,,,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",,
[x],accessories.nokia.com,NOERROR,147.243.14.149,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],acos.ext.net.nokia.com,NOERROR,135.239.145.86,"ns7.nokia.com, dns.cloudflare.com",,,hostmaster.alcatel-lucent.com,,,,,,,,
[x],acp.mail.nokia.com,NOERROR,,,,,,,,,,,,,
[x],acp.store.nokia.com,NOERROR,62.61.65.40,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],acsys-apps.ext.net.nokia.com,NOERROR,20.241.22.51,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],acsys-dev.ext.net.nokia.com,NOERROR,93.183.9.221,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],acumen.nokia.com,NOERROR,,"ns2.nokia.com, dns.cloudflare.com",,,"smtp2-64.nmg.nokia.com, smtp3-64.nmg.nokia.com, smtp2-63.nmg.nokia.com, smtp3-63.nmg.nokia.com",v=spf1 include:_spf.nmg.nokia.com -all,,,,,,,
[x],admin.arrow.nokia.com,NOERROR,131.228.121.29,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
