new,host,a,soa,status_code,cdn,cdn-name,mx,txt,ns,aaaa,cname
[x],onezerobank.com,"104.18.23.154, 104.18.22.154","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"mxb-0074c501.gslb.pphosted.com, mxa-0074c501.gslb.pphosted.com","Dynatrace-site-verification=03a03839-75cd-4d60-89b8-8a89c6421c47__8v2hcstsgr41gpd0h2noqbs885, v=spf1 include:spf1.onezerobank.com include:spf2.onezerobank.com -all, ppe-6f6fe3aa01c7bb59df9caa4fd6df201fadea6673, MS=ms10989507, ZOOM_verify_5Ftv8vef7fWwRDeuinK69x, atlassian-domain-verification=Ynzf50HVhAodrsPcnaPMGyweI1BT3PeNfXiqzY6TGWg30aMQg86110mPBn/JbIks","aida.ns.cloudflare.com, kenneth.ns.cloudflare.com",,
[x],p05-smtp.onezerobank.com,54.144.128.85,,NOERROR,,,,,,,
,admin.onezerobank.com,"104.18.22.154, 104.18.23.154","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,app.onezerobank.com,"104.18.22.154, 104.18.23.154","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,autodiscover.marketing.onezerobank.com,"40.99.149.104, 52.97.188.72, 40.99.155.232","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"2603:1026:c0d:82e::8, 2603:1026:c0d:c1d::8, 2603:1026:c0d:82d::8, 2603:1026:c0d:c2b::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com"
,autodiscover.onezerobank.com,"52.98.229.136, 52.98.240.72, 52.98.229.184","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"2603:1026:c0e:80c::8, 2603:1026:c0e:861::8, 2603:1026:c0e:86a::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com"
,en.onezerobank.com,"104.18.22.154, 104.18.23.154","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,itcc.onezerobank.com,,"aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,links.onezerobank.com,"104.18.22.154, 104.18.23.154","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,marketing.onezerobank.com,,"aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"mxb-0074c501.gslb.pphosted.com, mxa-0074c501.gslb.pphosted.com",v=spf1 include:spf.protection.outlook.com -all,,,
,mft.onezerobank.com,"104.18.23.154, 104.18.22.154","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,spf1.onezerobank.com,,"aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 a:dispatch-eu.ppe-hosted.com ip4:2.53.8.137 ip4:2.52.77.59 -all,,,
,store.onezerobank.com,"188.114.98.229, 188.114.99.229","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,vpn.onezerobank.com,54.154.4.75,"aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.onezerobank.com,"104.18.23.154, 104.18.22.154","aida.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
