new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips
[x],api-invoice.oyorooms.com,"95.101.74.148, 95.101.74.150",,"api-invoice.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],auth.oyorooms.com,"2.16.187.114, 2.16.187.51",,"auth.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],ccms.oyorooms.com,"23.53.43.24, 23.53.43.90",,"ccms.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cms-admin.oyorooms.com,"2.20.142.72, 2.20.142.83",,"cms-admin.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],corpvpn.oyorooms.com,125.21.198.118,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],erp.oyorooms.com,10.200.5.115,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.200.5.115
[x],horizon.oyorooms.com,"95.101.74.148, 95.101.74.150",,"horizon.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],hr.oyorooms.com,"23.43.58.146, 23.43.58.152",,"hr.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],mail.email1.oyorooms.com,153.92.246.231,,,"ns1.sendinblue.com, hostmaster.sendinblue.com",,NOERROR,,,,,,,
[x],messagecenter.oyorooms.com,"2.17.100.209, 2.17.100.144",,"messagecenter.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],slack.oyopositive.oyorooms.com,,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,_spf0000000.oyorooms.com,,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,"v=spf1 ip4:3.222.0.24/29 ip4:3.222.0.88/29 ip4:18.235.53.110 ip4:54.159.173.91 ip4:35.158.67.243 ip4:18.158.161.97 ip4:3.64.95.16/29 ip4:3.72.33.56/29 ip4:13.127.153.86 ip4:13.127.210.61 ip4:13.211.56.237 ip4:54.252.22.127 ip4:3.26.88.88/29 ip4:54.240.0.0, /18 ip4:129.149.49.30 ip4:192.29.125.47 ip4:151.104.48.26 ip4:147.154.14.34 ip4:192.29.14.138 ip4:192.29.21.229 ip4:192.29.42.231 ip4:192.29.95.105 include:_spf0000001.oyorooms.com ~all",,
,ab.oyorooms.com,10.63.0.203,,"ab.oyorooms.io, magikab-api.inc.oyorooms.io, zp-main-internal-k8s.oyorooms.io","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,10.63.0.203
,agent.oyorooms.com,10.151.11.29,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.151.11.29
