new,host,ttl,a,soa,status_code,aaaa,cname,mx,ns,txt
[x],ldap.state.oh.us,67402,,"{'name': 'odn.state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010125612, 'refresh': 43200, 'retry': 900, 'expire': 2419200, 'minttl': 3600}, {'name': 'odn.state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010125612, 'refresh': 43200, 'retry': 900, 'expire': 2419200, 'minttl': 3600}, {'name': 'odn.state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010125612, 'refresh': 43200, 'retry': 900, 'expire': 2419200, 'minttl': 3600}",NOERROR,,socnd3.odn.state.oh.us,,,
[x],sos.state.oh.us,1800,"108.162.192.117, 172.64.32.117, 173.245.58.117, 108.162.193.121, 172.64.33.121, 173.245.59.121","{'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:50::adf5:3a75, 2803:f800:50::6ca2:c075, 2a06:98c1:50::ac40:2075, 2606:4700:58::adf5:3b79, 2803:f800:50::6ca2:c179, 2a06:98c1:50::ac40:2179",,sos-state-oh-us.mail.protection.outlook.com,"jack.ns.cloudflare.com, gina.ns.cloudflare.com","google-site-verification=-Qvp6ss3ZWqe39tvQHxN8Oc2nXhQ9YmmoHwcX-zU0Hw, v=spf1 include:spf.protection.outlook.com include:sharepointonline.com include:spf.constantcontact.com ip4:156.63.71.0/24 ip4:209.166.153.195 ip4:209.166.134.229 -all, ca3-8b8c3efc927847b2adb503fd18ab30d8, MS=ms87857970, MS=ms43775664"
[x],www.state.oh.us,86400,66.144.73.125,"{'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}",NOERROR,,,,,
[x],www2.state.oh.us,86400,156.63.96.228,"{'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}, {'name': 'state.oh.us', 'ns': 'dns-sgm.ohio.gov', 'mailbox': 'hostmaster.state.oh.us', 'serial': 2010123742, 'refresh': 300, 'retry': 300, 'expire': 86400, 'minttl': 3600}",NOERROR,,,,,
,albert.sos.state.oh.us,300,156.63.71.69,"{'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,autodiscover.sos.state.oh.us,300,"52.98.242.248, 52.98.179.40, 40.99.150.72, 40.99.150.120","{'name': 'tm-4.office.com', 'ns': 'ns1-34.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024405417, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024168541, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",NOERROR,"2603:1026:c03:581a::8, 2603:1026:c03:7074::8, 2603:1026:207:18b::8, 2603:1026:c03:6024::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,
,bsportal.sos.state.oh.us,300,"104.18.129.73, 104.18.128.73","{'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,businesssearch.sos.state.oh.us,300,"104.18.129.73, 104.18.128.73","{'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,cogs.sos.state.oh.us,300,"104.18.128.73, 104.18.129.73","{'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sos.state.oh.us', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343103538, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,maint.sos.state.oh.us,300,23.96.0.52,"{'name': 'eastus.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'eastus.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'eastus.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'eastus.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'eastus.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,"maintenance.sos.state.oh.us, wa-sos-maintenance.azurewebsites.net, waws-prod-blu-111.sip.azurewebsites.windows.net, waws-prod-blu-111.eastus.cloudapp.azure.com",,,
