new,host,a,cname,mx,soa,ns,txt,status_code,cdn,cdn-name,aaaa,caa,has_internal_ips,internal_ips
[x],155-9-210-81-broxel.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],54-31-1.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],academy.oroinc.com,"35.227.210.216, 96.45.80.1, 46.31.236.1, 43.247.170.1, 96.45.81.1, 46.31.237.1, 43.247.171.1",oroinc.com,"aspmx3.googlemail.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","ns11.constellix.com, dns.constellix.com","ns21.constellix.com, ns31.constellix.com, ns61.constellix.net, ns51.constellix.net, ns11.constellix.com, ns41.constellix.net","gdjky55zzfbk7nyyt1ht215305tk9m5v, v=spf1 include:_spf.google.com include:servers.mcsv.net include:sendgrid.net include:_spf.act-on.net include:25453999.spf07.hubspotemail.net -all, google-site-verification=-T9-cx4AwouUnaK6kEuy7FwcwhGMTsDDRTZyM5RiMr0",NOERROR,True,google,"2600:180a:1001::1, 2600:180b:2001::1, 2600:180c:3001::1, 2600:180a:4001::1, 2600:180b:5001::1, 2600:180c:6001::1",,,
[x],academy.stage.dev.oroinc.com,"34.98.103.99, 216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108",stage.dev.oroinc.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com",,NOERROR,True,google,"2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c",,,
[x],accessbeta-new-userlog.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],achumak-commerce-crm-ee-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],achumak-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],achumak-commerce-crm-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],ai.dev.oroinc.com,34.149.217.200,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],akeneo.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],arudenko-crm-enterprise-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],arudenko-universal.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],asset-packagist.oroinc.com,34.98.91.156,satis.oroinc.com,,"ns11.constellix.com, dns.constellix.com","ns51.constellix.net, ns61.constellix.net, ns11.constellix.com, ns21.constellix.com, ns31.constellix.com, ns41.constellix.net",,NOERROR,True,google,2600:1901:0:3987::,,,
[x],atarakanov-commerce-crm-ee-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],atarakanov-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],atarakanov-commerce-enterprise-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],atarakanov-crm-enterprise-mysql-bap-14906.qa.oroinc.com,,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],atarakanov-crm-enterprise-mysql.qa.oroinc.com,,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],attcares.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],baiduspider-123-125-66-34.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],bambo.dev.oroinc.com,35.185.11.101,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],bamboo.dev.oroinc.com,35.185.11.101,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],bcg3ca.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],bid46wl.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],blackbox.dev.oroinc.com,138.201.193.166,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],caddedge.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],coinbaseextendsocialite.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],community.dev.oroinc.com,138.201.193.166,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],community.oroinc.com,35.227.210.216,oroinc.com,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","ns11.constellix.com, dns.constellix.com","ns11.constellix.com, ns21.constellix.com, ns31.constellix.com, ns41.constellix.net, ns51.constellix.net, ns61.constellix.net","gdjky55zzfbk7nyyt1ht215305tk9m5v, google-site-verification=-T9-cx4AwouUnaK6kEuy7FwcwhGMTsDDRTZyM5RiMr0, v=spf1 include:_spf.google.com include:servers.mcsv.net include:sendgrid.net include:_spf.act-on.net include:25453999.spf07.hubspotemail.net -all",NOERROR,True,google,,,,
[x],company-profiles-cdn.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],content.oroinc.com,"141.101.90.98, 141.101.90.99, 141.101.90.97, 141.101.90.96",25453999.sites.hscoscdn-eu1.net,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2a06:98c1:3200::90:3, 2a06:98c1:3200::90:2, 2a06:98c1:3200::90:0, 2a06:98c1:3200::90:1",,,
[x],crm.oroinc.com,34.95.117.61,"intra.oro-cloud.com, intra-prod3.oro-cloud.com",,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],datasjc1.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],de.dev.oroinc.com,138.201.193.166,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],de.oroinc.stage.dev.oroinc.com,34.98.103.99,stage.dev.oroinc.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com",,NOERROR,True,google,,,,
[x],dev.dev.oroinc.com,34.76.217.67,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],dev.oroinc.com,"216.239.32.107, 216.239.34.107, 216.239.36.107, 216.239.38.107",,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, ib2akn55wi2u6v4v345d46vq2qutsqyuvvpp5ovzoeknu2nk5xiq.mx-verification.google.com","ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b3.googledomains.com",s7b67vgzqjl23zl7z30npd0vdm6sw05p,NOERROR,,,"2001:4860:4802:32::6b, 2001:4860:4802:34::6b, 2001:4860:4802:36::6b, 2001:4860:4802:38::6b",,,
[x],digital2.stage.dev.oroinc.com,34.98.103.99,stage.dev.oroinc.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com",,NOERROR,True,google,,,,
[x],dkyrii-dev3.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],dskarboviichuk-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],eag-preprod.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],etsyrulik-commerce-crm-ee-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],etsyrulik-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],extensions.oroinc.com,,oroinc.com,,"ns11.constellix.com, dns.constellix.com","ns11.constellix.com, ns21.constellix.com, ns31.constellix.com, ns41.constellix.net, ns51.constellix.net, ns61.constellix.net","v=spf1 include:_spf.google.com include:servers.mcsv.net include:sendgrid.net include:_spf.act-on.net include:25453999.spf07.hubspotemail.net -all, google-site-verification=-T9-cx4AwouUnaK6kEuy7FwcwhGMTsDDRTZyM5RiMr0, gdjky55zzfbk7nyyt1ht215305tk9m5v",NOERROR,True,google,,,,
[x],extensions.stage.dev.oroinc.com,,stage.dev.oroinc.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],forum.dev.oroinc.com,138.201.193.166,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],forum.stage.dev.oroinc.com,34.98.103.99,stage.dev.oroinc.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com",,NOERROR,True,google,,,,
[x],fr.dev.oroinc.com,138.201.193.166,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],fr.oroinc.stage.dev.oroinc.com,"34.98.103.99, 216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108",stage.dev.oroinc.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com",,NOERROR,True,google,"2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c",,,
[x],freeipa.dev.oroinc.com,35.197.111.14,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],git.oroinc.com,34.107.205.169,,,"ns11.constellix.com, dns.constellix.com",,,NOERROR,True,google,,,,
[x],go.oroinc.com,207.189.124.9,"oroinc.actonservice.com, cid11.actonsoftware.com, forpci11.actonsoftware.com",,"ns-1205.awsdns-22.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,
[x],h135-197-229-90.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],httpshttp-www-googlehiphop-com-3-2.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],inc.dev.oroinc.com,138.201.193.166,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],incident.oroinc.com,35.227.210.216,oroinc.com,"alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt2.aspmx.l.google.com","ns11.constellix.com, dns.constellix.com","ns41.constellix.net, ns51.constellix.net, ns61.constellix.net, ns11.constellix.com, ns21.constellix.com, ns31.constellix.com","v=spf1 include:_spf.google.com include:servers.mcsv.net include:sendgrid.net include:_spf.act-on.net include:25453999.spf07.hubspotemail.net -all, google-site-verification=-T9-cx4AwouUnaK6kEuy7FwcwhGMTsDDRTZyM5RiMr0, gdjky55zzfbk7nyyt1ht215305tk9m5v",NOERROR,True,google,,,,
[x],interactive.dev.oroinc.com,88.99.56.40,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],ishvydkoy-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],ishvydkoy-crm-enterprise-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],jenkins2.dev.oroinc.com,35.185.19.57,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,
[x],kisakova-commerce-crm-ee-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kisakova-commerce-crm-ee-pgsql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kisakova-commerce-crm-ee-psql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
[x],kisakova-crm-enterprise-mysql.qa.oroinc.com,88.99.56.40,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,
