input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,tech_,cdn,tls_mismatched,final_url,tls_subject_org_
account.pubg.com,KRAFTON ID,200,1301783,accounts.krafton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-28T00:00:00Z,2023-08-29T23:59:59Z,"CN=*.krafton.com, O=KRAFTON\, Inc., L=Gangnam-gu, ST=Seoul, C=KR",*.krafton.com,krafton.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7069cb8a878b7bc24ffce11d4d463030,bb3e760fe627b7dbc441e464c42dc62499934ee85f4be9e5f0f1c427372f9ad3,ctls,accounts.krafton.com,443,https://account.pubg.com:443,https,text/html,GET,18.66.112.126,/,-1075053423,18.66.112.73,12312,False,True,cloudfront,,Google Tag Manager,True,,https://accounts.krafton.com/,"KRAFTON, Inc."
americas.pubgesports.com,PUBG Americas | LATAM,200,18529,americas.pubgesports.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-26T18:25:45Z,2023-08-24T18:25:44Z,CN=americas.pubgesports.com,americas.pubgesports.com,americas.pubgesports.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17819fa5dd04e630696b9457be0e4b53,29e4c797806542dca1cc8f946464d1830819c4fdba35ec4a92b0454e0f00dc9e,ctls,americas.pubgesports.com,443,https://americas.pubgesports.com:443,https,text/html,GET,3.128.164.200,/,-1840324437,18.216.43.185,173,False,,,nginx,WordPress,,,,
api-event.pubg.com,503 Service Temporarily Unavailable,503,162,api-event.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,api-event.pubg.com,443,https://api-event.pubg.com:443,https,text/html,GET,34.192.140.60,/,1862162275,23.23.1.167,7,False,True,,awselb/2.0,,,,,
api.newstate.pubg.com,,404,89,api.newstate.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-23T00:00:00Z,2024-06-19T23:59:59Z,CN=pubg.com,pubg.com,*.newstate.pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2641dbaa3cc82dc86dd63e5294f09230,b9db3cebe19f372c16e5075a4ddc94cf577357d51577b51b15ff717628e8995a,ctls,api.newstate.pubg.com,443,https://api.newstate.pubg.com:443,https,application/json,GET,143.204.98.120,/,296829796,143.204.98.10,1,False,True,cloudfront,,Amazon Web Services,True,,,
api.pubg.com,,404,52,api.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=*.playbattlegrounds.com,*.playbattlegrounds.com,*.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a1a9b56f41db76bd08fe42191f331c44,aaec985f5aa4b99d982a1775c0f4d8478403c4728b11cbb76c128c83c5228509,ctls,api.pubg.com,443,https://api.pubg.com:443,https,application/json,GET,99.86.4.106,/,-1630264793,2600:9000:2057:1800:13:32cd:8300:93a1,1,False,True,cloudfront,,Amazon Web Services,True,True,,
asia.battlegrounds.pubg.com,PUBG: BATTLEGROUNDS,200,948305,pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,pubg.com,443,https://asia.battlegrounds.pubg.com:443,https,text/html,GET,3.37.2.155,/,1495759234,15.164.253.169,111,False,True,,,YouTube,,,https://pubg.com:443/en,
battlegrounds.pubg.com,PUBG: BATTLEGROUNDS,200,948305,pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,pubg.com,443,https://battlegrounds.pubg.com:443,https,text/html,GET,18.66.97.83,/,1495759234,18.66.97.84,111,False,True,cloudfront,,YouTube,True,,https://pubg.com:443/en,
cn.pubg.com,PUBG: BATTLEGROUNDS,200,948305,pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,pubg.com,443,https://cn.pubg.com:443,https,text/html,GET,3.37.2.155,/,1495759234,15.164.253.169,111,False,True,,,YouTube,,,https://pubg.com:443/en,
creators.pubg.com,,200,9542,creators.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-18T00:01:27Z,2023-07-17T00:01:26Z,CN=creators.pubg.com,creators.pubg.com,creators.pubg.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6d2db3f40f3920728d174d81a414488b,f4a0d101e7c56252a6b0492eb2aef9ebf77ac4e06978584ffe64e1a6eb65b08f,ctls,creators.pubg.com,443,https://creators.pubg.com:443,https,text/html,GET,185.30.21.84,/,1494302000,185.30.21.84,1,False,,,nginx,Nginx,,,,
documentation.pubg.com,,200,119,documentation.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=*.playbattlegrounds.com,*.playbattlegrounds.com,*.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a1a9b56f41db76bd08fe42191f331c44,aaec985f5aa4b99d982a1775c0f4d8478403c4728b11cbb76c128c83c5228509,ctls,documentation.pubg.com,443,https://documentation.pubg.com:443,https,text/html,GET,13.32.121.72,/,1199357455,2600:9000:2240:8800:3:9309:9b40:93a1,2,False,True,cloudfront,AmazonS3,Amazon Web Services,True,True,,
