new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,mx,txt,caa
[x],_spfblock1.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,"v=spf1 ip4:95.211.181.198 ip4:12.2.142.8 ip4:193.12.108.68 ip4:217.77.192.9 ip4:188.166.17.153 ip4:91.123.56.240 ip4:193.75.92.155 ip4:77.222.78.0 ip4:198.21.6.129 ip4:217.77.193.9 ip4:91.123.56.241 ip4:193.75.92.156 ip4:195.69.128.0/24 ip4:62.204.92.128/, 26 ip4:37.48.91.19 ip4:37.48.91.17 ip4:37.48.79.134 ip4:77.222.78.0/28  ip4:87.213.68.70/32 ip4:185.191.102.83 -all",
[x],acc.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,,
[x],autodiscover.partstore.pon-cat.com,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"40.99.149.152, 40.99.149.104, 40.99.157.40, 40.99.157.24, 40.99.149.168, 52.97.189.104, 52.97.188.72, 40.99.157.56","2603:1026:c0d:82c::8, 2603:1026:c0d:c2b::8, 2603:1026:c0d:82d::8, 2603:1026:c0d:803::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,
[x],bmc.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],brukt.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,85.17.240.138,,,,,,,
[x],bs.power.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,,
[x],content.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,v=spf1 include:spf.protection.outlook.com include:_spf.google.com include:_spfblock1.pon-cat.com include:md02.com include:spf1.emarketeer.com include:servers.mcsv.net -all,
[x],criticalpower.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],dk.power.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,,
[x],dremio-prod.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],dremio-tst.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],enterpriseenrollment.pon-cat.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,13.74.111.192,,True,azure,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com",,,
[x],enterpriseregistration.pon-cat.com,"internal.akadns.net, hostmaster.akamai.com",NOERROR,20.190.137.40,,True,azure,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",,,
[x],forms.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,
[x],hub.pon-cat.com,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,,,True,azure,"hub-ponpepp.msappproxy.net, 9298fb21-7a67-4d91-9e6c-2623b2095768.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net",,,
[x],mail.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",True,cloudflare,,,,
[x],mail1.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",True,cloudflare,,,,
[x],microgrids.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],motorennieuws.pon-cat.com,"fiona.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"3.122.43.64, 52.57.163.17, 3.127.144.152","2a05:d014:acb:fbaa:518c:6e9c:9ea5:5b4b, 2a05:d014:acb:fbcc:ad5e:216c:5122:f201, 2a05:d014:acb:fbbb:36e:5eef:fce1:c6ed",,,"1790.server3.online-magazine.nl, 373.cname.maglr.com",,"v=DKIM1, v=DMARC1;p=reject, v=spf1 -all","amazontrust.com, digicert.com, globalsign.com, letsencrypt.org, sectigo.com"
[x],myponpower.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,,
[x],nl.equipment.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],nl.power.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,,
[x],no.power.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],nyheder.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],partstore-prd.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],partstore-tst.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],partstore-tst2.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],partstore.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,partstore-poncat-com03c.mail.protection.outlook.com,"google-site-verification=L38IazPUSxpvGycNgof0DBBHepRkUWOjfIHgYhdiuAw, v=spf1 include:_spf.google.com include:spf.protection.outlook.com -all",
[x],peppwepamt01.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,20.101.211.178,,,,,,,
[x],pepsintranet.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],ponpowerjobs.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],portal.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],prd.so.se.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,80.252.95.121,,,,,,,
[x],prod.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],prod.ponpowerjobs.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],prodproxynaxt.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,20.93.254.120,,,,,,,
[x],rentalstore.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],reseller.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],sc.power.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],scim.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,20.93.226.234,,,,,,,
[x],sip.pon-cat.com,"admin.nsatc.net, dns.level3.net",NOERROR,,2603:1027::b,,,sipdir.online.lync.com,,,
[x],staging.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,,
[x],test.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],tst.so.se.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],used.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.25.15, 104.18.24.15","2606:4700::6812:190f, 2606:4700::6812:180f",True,cloudflare,,,,
[x],webdk.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,
[x],webshop.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.24.15, 104.18.25.15","2606:4700::6812:180f, 2606:4700::6812:190f",True,cloudflare,,,,
[x],wfm.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,
[x],www.dremio-tst.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.myponpower.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.98.229, 188.114.99.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",True,cloudflare,,,,
[x],www.nyheder.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.ovaledge-prod.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.partstore-prd.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.partstore-tst.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.partstore-tst2.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.peppwepamt01.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.prd.so.se.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.prodproxynaxt.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.staging.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.tst.so.se.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.used.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],www.wfm.pon-cat.com,"harlan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
