new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,txt,mx,caa,ns
[x],accountscircuit.purevpn.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,accountscircuit.purevpn.com.cdn.cloudflare.net,,,,,,
[x],accountsoem.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],accountsoemcircuit.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",accountsoemcircuit.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],accountsoemrsb.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",accountsoemrsb.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],advertapi.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",advertapi.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],affiliates.purevpn.com,"45.33.3.7, 45.33.2.97","pdns3.qualityunit.com, www.qualityunit.com",NOERROR,,"purevpn.postaffiliatepro.com, na.iso.postaffiliatepro.com",,,v=spf1 redirect=spf_na.postaffiliatepro.com,,,
[x],api.business.purevpn.com,"104.18.1.212, 104.18.0.212","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1d4, 2606:4700::6812:d4",api.business.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],api.platform.purevpn.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,api.platform.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],api.proxy.purevpn.com,"104.18.1.177, 104.18.0.177","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:b1, 2606:4700::6812:1b1",api.proxy.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],api.purevpn.com,"104.18.5.231, 104.18.4.231","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,api.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],apioem.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],apioemcircuit.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",apioemcircuit.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],apioemechovpn.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",apioemechovpn.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],apioemrsb.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",apioemrsb.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],apistaging.dome.purevpn.com,"104.21.8.85, 172.67.130.101","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:3030::ac43:8265, 2606:4700:3032::6815:855",apistaging.dome.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],atom.purevpn.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],auth.purevpn.com,"3.33.142.1, 15.197.135.196","ns-53.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,uhjiqecistlnpbuh87ywsgxccyn8hzsn.durable.fusionauth.io,,,,,,
[x],beta2.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",beta2.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],beta3.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",beta3.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],beta4.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",beta4.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],bi.purevpn.com,"18.184.243.234, 3.120.85.239, 18.156.138.112","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,bi-prod-web-v2-368657970.eu-central-1.elb.amazonaws.com,,,,,,
[x],biapi.purevpn.com,"172.67.207.83, 104.21.85.157","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,biapi.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],billing.purevpn.com,"104.18.11.186, 104.18.10.186","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:aba, 2606:4700::6812:bba",billing.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],dialer.purevpn.com,46.20.121.154,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],dome.purevpn.com,"104.21.8.85, 172.67.130.101","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:3032::6815:855, 2606:4700:3030::ac43:8265",dome.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],email.purevpn.com,198.2.128.123,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],email1.purevpn.com,"167.89.123.124, 167.89.123.54, 167.89.115.56, 167.89.115.120","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,sendgrid.net,,,"mailru-verification: 2e3995fa8a7d00e0, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE","mx.sendgrid.net, mx2.sendgrid.net","godaddy.com, amazonaws.com","ns14.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns15.dnsmadeeasy.com"
[x],emails.purevpn.com,"34.255.97.37, 54.78.186.219, 34.241.27.172, 34.253.241.177","ns-720.awsdns-26.net, awsdns-hostmaster.amazon.com",NOERROR,,mandrillapp.com,,,v=spf1 include:spf.mandrillapp.com ~all,"9656353.in1.mandrillapp.com, 9656353.in2.mandrillapp.com",,"ns-1127.awsdns-12.org, ns-1934.awsdns-49.co.uk, ns-289.awsdns-36.com, ns-720.awsdns-26.net"
[x],exchange.purevpn.com,35.156.113.17,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],fa-callback-staging.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,fa-callback-staging.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],fawebhooks.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,fawebhooks.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],forum.purevpn.com,107.6.13.166,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,v=spf1 include:_spf.google.com include:sendgrid.net include:emailsrvr.com -all,,,
[x],ftp.purevpn.com,64.235.59.215,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],gw.api.atom.purevpn.com,"104.18.24.18, 104.18.25.18","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,gw.api.atom.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],health.proxy.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",health.proxy.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],heartbeat.bi.purevpn.com,3.121.30.251,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],help.purevpn.com,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,purevpnhelp.zendesk.com,True,cloudflare,"pod=25, v=spf1 include:mail.zendesk.com ~all",mail-pod-25.int.zendesk.com,,
[x],icomintegration.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",icomintegration.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],images.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",images.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],insider-webhooks.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1869, 2606:4700::6812:1969",insider-webhooks.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],link.purevpn.com,"67.199.248.13, 67.199.248.12","ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,cname.bitly.com,,,,,"letsencrypt.org, ;",
[x],login.purevpn.com,"172.67.187.222, 104.21.56.205","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:3031::6815:38cd, 2606:4700:3037::ac43:bbde",login.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],mail.purevpn.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,v=spf1 include:amazonses.com ~all,feedback-smtp.us-east-1.amazonses.com,,
[x],members.purevpn.com,"96.45.83.166, 96.45.82.4, 96.45.82.182, 96.45.83.50","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],my.atom.purevpn.com,"96.45.82.4, 96.45.82.182, 96.45.83.166, 96.45.83.50","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],my.business.purevpn.com,"104.18.0.212, 104.18.1.212","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:d4, 2606:4700::6812:1d4",my.business.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],my.dome.purevpn.com,"104.21.8.85, 172.67.130.101","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,my.dome.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],my.purevpn.com,"104.18.2.7, 104.18.3.7","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:307, 2606:4700::6812:207",my.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],partners.purevpn.com,3.67.3.234,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,office-prod-web-v1-1434507795.eu-central-1.elb.amazonaws.com,,,,,,
[x],partnersapi.purevpn.com,3.67.3.234,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,office-prod-web-v1-1434507795.eu-central-1.elb.amazonaws.com,,,,,,
[x],platform.purevpn.com,"96.45.82.4, 96.45.83.166, 96.45.83.50, 96.45.82.182","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],proxy.purevpn.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
