new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,mx,txt,ns,caa
[x],api.qulture.rocks,"104.21.6.103, 172.67.134.183","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:3035::6815:667, 2606:4700:3031::ac43:86b7",api.qulture.rocks.cdn.cloudflare.net,True,cloudflare,,,,
[x],assets-dev.qulture.rocks,"151.101.194.92, 151.101.2.92, 151.101.66.92, 151.101.130.92","ns1.fastly.net, hostmaster.fastly.com",NOERROR,"2a04:4e42:400::604, 2a04:4e42:600::604, 2a04:4e42::604, 2a04:4e42:200::604","assets-dev.qulture.rocks.cdn.cloudinary.com, s7-cloudinary-pin-sni.map.fastly.net",True,fastly,,,,
[x],assets-prod.qulture.rocks,146.75.74.92,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,2a04:4e42:6a::604,"assets-prod.qulture.rocks.cdn.cloudinary.com, s4-cloudinary-pin-sni.map.fastly.net",True,fastly,,,,
[x],blog.qulture.rocks,"15.197.142.173, 3.33.152.147","ns25.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,
[x],braspag.qulture.rocks,,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,intense-beaver-ck3683l4vg45ytd0sfxk0l5f.herokudns.com,,,,,,
[x],campanhas.qulture.rocks,"199.60.103.225, 199.60.103.31","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:671f, 2606:2c40::c73c:67e1","9475110.group10.sites.hubspot.net, group10.sites.hscoscdn10.net",,,,,,
[x],conteudo.qulture.rocks,"199.60.103.225, 199.60.103.31","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:671f, 2606:2c40::c73c:67e1","9475110.group10.sites.hubspot.net, group10.sites.hscoscdn10.net",,,,,,
[x],cs.qulture.rocks,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,u14794467.wl218.sendgrid.net,,,mx.sendgrid.net,v=spf1 ip4:198.21.7.215 ip4:149.72.255.65 ip4:149.72.132.80 ip4:167.89.108.67 ip4:167.89.55.253 -all,,
[x],dev.qulture.rocks,"104.21.6.103, 172.67.134.183","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:3035::6815:667, 2606:4700:3031::ac43:86b7",dev.qulture.rocks.cdn.cloudflare.net,True,cloudflare,,,,
[x],doc.qulture.rocks,,"ns25.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,
[x],docs.qulture.rocks,"104.18.210.56, 104.18.211.56","jeremy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6812:d238, 2606:4700::6812:d338",ssl.readmessl.com,True,cloudflare,,,,
[x],en.qulture.rocks,,"ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,websites.weglot.com,,,,,"ns26.domaincontrol.com, ns25.domaincontrol.com","amazon.com, comodoca.com, letsencrypt.org, sectigo.com"
[x],es.qulture.rocks,"151.139.128.11, 151.139.128.10","ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,websites.weglot.com,,,,,,"amazon.com, comodoca.com, letsencrypt.org, sectigo.com"
[x],eventos.qulture.rocks,"199.60.103.225, 199.60.103.31","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:67e1, 2606:2c40::c73c:671f","9475110.group10.sites.hubspot.net, group10.sites.hscoscdn10.net",,,,,,
