new,host,a,cname,soa,status_code,aaaa,txt,cdn,cdn-name,ns,mx,caa,has_internal_ips,internal_ips
,_spf.rabobank.com,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 include:spf.protection.outlook.com ip4:74.118.216.0/21 ip4:85.119.16.0/21 ip4:145.72.121.0/24 ip4:192.84.249.0/26 -all,,,,,,,
,accounts-src.rabobank.nl,145.72.108.52,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,accounts.rabobank.nl,"62.115.252.10, 80.239.137.138","accounts.rabobank.nl.edgekey.net, e68508.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::3e73:fc0a, 2001:2030:21::50ef:898a",,,,,,,,
,accpt.mwintegration.rabobank.nl,188.200.99.146,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,acorn.rabobank.com,52.174.180.248,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,"d365mktkey=3SdZHhZnmss8WoX9zx4XpjaYK74h67zoxNeIVPvvlsox, v=spf1 include:_spf.rabobank.com -all",True,azure,,acorn-rabobank-com.mail.protection.outlook.com,,,
,ads.rabobank.nl,193.78.80.98,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,adyaglssdta.rabobank.nl,"95.101.111.165, 95.101.111.152","adyaglssdta.rabobank.nl.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:23::1726:62a8, 2a02:26f0:480:23::1726:62b8",,,,,,,,
,adyaglssp.rabobank.nl,"96.16.54.131, 96.16.54.192","adyaglssp.rabobank.nl.edgekey.net, e212300.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d8::1740:c2b, 2a02:26f0:d8::1740:c42",,,,,,,,
,alerts.rabobank.nl,"2.16.241.151, 2.16.241.144",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,"2a02:26f0:480:c::210:f190, 2a02:26f0:480:c::210:f197",v=spf1 include:rabobank.nl -all,,,"a20-66.akam.net, a7-64.akam.net, a18-65.akam.net, a12-64.akam.net, a1-191.akam.net, a3-67.akam.net","mail4922.alerts.rabobank.nl, reply.alerts.rabobank.nl",,,
,am.vc.rabobank.com,145.72.124.72,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,ami.rabobank.nl,31.149.253.162,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,amportal-pcy.rabobank.com,74.118.216.76,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,amportal-phx.rabobank.com,74.118.218.76,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,amportal.rabobank.com,74.118.216.76,amportal.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,amportal11.rabobank.com,,amportal-pcy.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,amportal21.rabobank.com,74.118.218.76,amportal-phx.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,amremote-pcy.rabobank.com,74.118.216.13,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
