input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,cdn_name,cdn,csp_domains_,final_url,tls_mismatched,tls_wildcard_certificate,tls_expired,tls_self_signed
accounts.rabobank.nl,Login - Rabobank - Error 706,404,1257,accounts.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=accounts.rabobank.nl, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL, serialNumber=30046259, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",accounts.rabobank.nl,Cooperatieve Rabobank U.A.,knowledge.rabobank.nl,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,b72eaa414177090a61ae59ac90d45d97,0a9c113b3bd9103c633962aebd165c98bf7c65849ef067898e0fcb5317ce2839,ctls,accounts.rabobank.nl,443,https://accounts.rabobank.nl:443,https,nginx,text/html,GET,23.213.161.199,/,-1623964817,2a02:26f0:480:23::1726:62b9,18,False,Nginx,,,,,,,,
acorn.rabobank.com,Planting a better future via carbon credits | Acorn Rabobank,200,226479,acorn.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-06T00:00:00Z,2023-12-05T23:59:59Z,"CN=acorn.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",acorn.rabobank.com,Cooperatieve Rabobank U.A.,eekhoorn.rabobank.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a075872eed8aeb52efc779dc77306082,3722853dd03eb5a4d0715c95868f7ff34c53103fdd076e6dc3f095588de4d019,ctls,acorn.rabobank.com,443,https://acorn.rabobank.com:443,https,,text/html,GET,52.174.180.248,/,-387633826,52.174.180.248,4,False,HSTS,azure,True,,https://acorn.rabobank.com/en/,,,,
adyaglssdta.rabobank.nl,Access Denied,403,139,adyaglssdta.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-22T23:59:59Z,"CN=verificatie.rabobank.nl, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL, serialNumber=30046259, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",verificatie.rabobank.nl,Cooperatieve Rabobank U.A.,log-verificatie.rabobank.nl,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,775af13c82f25fb824f6c45c17ab7ce8,ec61781b8e0118c68d71f9332de8a554d5ba83a7931aee755fdb54da99a09a73,ctls,adyaglssdta.rabobank.nl,443,https://adyaglssdta.rabobank.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.131,/,1557862543,2a02:26f0:ab00::5c7a:d722,1,False,,,,,,,,,
adyaglssp.rabobank.nl,Access Denied,403,141,adyaglssp.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-03T00:00:00Z,2024-02-02T23:59:59Z,"CN=adyaglssp.rabobank.nl, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",adyaglssp.rabobank.nl,Cooperatieve Rabobank U.A.,adyaglssp.rabobank.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,27e330ac2a339af7844cc831d71ed1ec,2eff0a4f7a0b21056717dcf433697a7b110c1dac4a7631372acb018652372a29,ctls,adyaglssp.rabobank.nl,443,https://adyaglssp.rabobank.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.186,/,-298684249,2a02:26f0:ab00::5c7a:d723,1,False,,,,,,,,,
alerts.rabobank.nl,"Sorry, er gaat iets niet goed…",200,18720,www.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,"CN=rabobank.nl, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL, serialNumber=09003091, businessCategory=Private Organization, jurisdictionCountry=NL",rabobank.nl,Cooperatieve Rabobank U.A.,www.rabobank.nl,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,ba2717321cfd87c20ccef4093eb9f1ec,8678fd7fa8dc310d6127118d754ca643852068bb49a4d8dba920e27cf4fdc972,ctls,www.rabobank.nl,80,http://alerts.rabobank.nl:80,http,AkamaiNetStorage,text/html,GET,23.213.161.226,/,-1540288498,2a02:26f0:1700:11::b856:6796,129,False,HSTS,,,,https://www.rabobank.nl,,,,
am.vc.rabobank.com,Pexip Infinity Connect,200,5724,am.vc.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2024-01-16T23:59:59Z,"CN=vc.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",vc.rabobank.com,Cooperatieve Rabobank U.A.,eu.vc.rabobank.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4294ca6ca83c26ce4bd93afed8980931,3215cc337d53b2440c29a226207013a5006a7bf2dd9c523853d34a22b03be421,ctls,am.vc.rabobank.com,443,https://am.vc.rabobank.com:443,https,Pexip Infinity,text/html,GET,145.72.124.72,/,-1670567179,145.72.124.72,148,False,HSTS,,,https://ajax.aspnetcdn.com,https://am.vc.rabobank.com/webapp2/,,,,
amportal.rabobank.com,RCS Portal Europe,200,4970,amportal.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-23T00:00:00Z,2023-09-26T23:59:59Z,"CN=amportal.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",amportal.rabobank.com,Cooperatieve Rabobank U.A.,amportal11.rabobank.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d2ae28479c855b5a303863bbeb1ffcd,d2ff9cb6c5fe21a5f1cb3c118598c5e072461c69728e1404f77c04a1eaf900dd,ctls,amportal.rabobank.com,443,https://amportal.rabobank.com:443,https,Apache,text/html,GET,74.118.218.76,/,12023395,74.118.218.76,170,False,Apache,,,,https://amportal.rabobank.com/vpn/index.html,,,,
amportal21.rabobank.com,RCS Portal Europe,200,4970,amportal21.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-23T00:00:00Z,2023-09-26T23:59:59Z,"CN=amportal.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",amportal.rabobank.com,Cooperatieve Rabobank U.A.,amportal11.rabobank.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d2ae28479c855b5a303863bbeb1ffcd,d2ff9cb6c5fe21a5f1cb3c118598c5e072461c69728e1404f77c04a1eaf900dd,ctls,amportal21.rabobank.com,443,https://amportal21.rabobank.com:443,https,Apache,text/html,GET,74.118.218.76,/,12023395,74.118.218.76,170,False,Apache,,,,https://amportal21.rabobank.com/vpn/index.html,,,,
amremote-pcy.rabobank.com,BIG-IP logout page,200,5274,amremote-pcy.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,amremote-pcy.rabobank.com,443,https://amremote-pcy.rabobank.com:443,https,BigIP,text/html,GET,74.118.216.13,/,878647854,74.118.216.13,131,False,F5 BigIP,,,,https://amremote-pcy.rabobank.com/my.logout.php3?errorcode=19,True,,,
amremote-phx.rabobank.com,BIG-IP logout page,200,5274,amremote-phx.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,amremote-phx.rabobank.com,443,https://amremote-phx.rabobank.com:443,https,BigIP,text/html,GET,74.118.218.13,/,878647854,74.118.218.13,131,False,F5 BigIP,,,,https://amremote-phx.rabobank.com/my.logout.php3?errorcode=19,True,,,
