new,host,a,soa,status_code,cname,ns,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,mx,txt,caa
[x],0-1.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],000sexymonique.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],02-5-2.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],023-6.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0fwww-49.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],101c.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],13-97.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-209-91.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-215-82.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],155-9-240-57.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],158-7-252-8.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-123-27.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],17-121-125-2.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],193-4.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],1cal.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],2-39-1.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],205-185-200-86.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],205-185-202-18.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],21-27.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],246aa49f.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],26-6.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],263-6-7.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],35-7-13.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],35-9-27.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],3uus.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],44-04.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],45-63-4.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],45-75-2-9.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],48-4-04.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],48aa.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],4e37.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],4vgwlwbg5zbc.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],517-3.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],53-12.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],56-66.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1406.awsdns-47.org, ns-1682.awsdns-18.co.uk, ns-273.awsdns-34.com, ns-558.awsdns-05.net",,,,,,,,
[x],61-2-38.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1406.awsdns-47.org, ns-1682.awsdns-18.co.uk, ns-273.awsdns-34.com, ns-558.awsdns-05.net",,,,,,,,
[x],64-37-9.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],68-5-9.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],6fdropbox1-1.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],76-0-9.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],7wkb9.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],7yjg5ek.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],83-12-1.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],85-7-1-6-2.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],86-45.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],93-30-9.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],94-224-230-54.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],95-37-0-1.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],9ad28abf.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],9qcpw02.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a-162-150-6-11.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a-96-119-41-15.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],abrown1.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-register.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1406.awsdns-47.org, ns-1682.awsdns-18.co.uk, ns-273.awsdns-34.com, ns-558.awsdns-05.net",,,,,,,,
[x],access.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1406.awsdns-47.org, ns-1682.awsdns-18.co.uk, ns-273.awsdns-34.com, ns-558.awsdns-05.net",,,,,,,,
[x],accessvip.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accounts-receivable.razorpay.com,"13.233.220.224, 3.109.233.83","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"cde-blue-ext.razorpay.com, cde-green-ext.razorpay.com",,,,,,,,,
[x],acem11.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],acpprdweb3-nic2.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],acs01-ru1.tw.razorpay.com,"13.235.186.86, 3.7.107.109","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],adb.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],admin-beta-gcp-config-cistorebackups-www-test.tw.razorpay.com,"3.7.107.109, 13.235.186.86","ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
