input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,tls_expired,final_url
analyzer.cs.redislabs.com,Redis Enterprise Analyzer,200,1297,wss://analyzer.cs.redislabs.com,analyzer.cs.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-01T10:14:31Z,2023-06-30T10:14:30Z,CN=analyzer.cs.redislabs.com,analyzer.cs.redislabs.com,analyzer.cs.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d59ba5e78f564e9a6b561a8cca5f192b,3b8d12a5368b76476d7a843a0547c44a04ce453bd3501a10c77a809ac19768e6,ctls,analyzer.cs.redislabs.com,443,https://analyzer.cs.redislabs.com:443,https,text/html,GET,3.216.65.165,/,-1721144186,3.216.65.165,Ubuntu,31,False,,,nginx/1.14.0 (Ubuntu),,,,,,
analyzerqa.cs.redislabs.com,Redis Enterprise Analyzer,200,1297,wss://analyzer.cs.redislabs.com,analyzerqa.cs.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-10-28T03:52:56Z,2022-10-28T03:52:56Z,"O=RedisLabs Enterprise Cluster, OU=Admin UI, CN=ip-172-16-0-53",ip-172-16-0-53,*.internal.analyzerqa.cs.redislabs.com,"O=RedisLabs Enterprise Cluster, OU=Admin UI, CN=ip-172-16-0-53",ip-172-16-0-53,RedisLabs Enterprise Cluster,94ad427c5ebed16dfc2b85831d6bed4a,33c4c4a52492e6197f87e267aea2d581c8cdf35ab70d9decd8d362364475d11c,ctls,analyzerqa.cs.redislabs.com,443,https://analyzerqa.cs.redislabs.com:443,https,text/html,GET,18.206.149.25,/,-1721144186,18.206.149.25,Nginx:1.21.3,31,False,True,,nginx/1.21.3,,True,,RedisLabs Enterprise Cluster,True,
api-dev.qa.redislabs.com,404 Not Found,404,682,,api-dev.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,api-dev.qa.redislabs.com,443,https://api-dev.qa.redislabs.com:443,https,text/html,GET,45.60.123.1,/,-644431549,45.60.123.1,Imperva,14,False,True,incapsula,,True,,,,,
api-qa.qa.redislabs.com,404 Not Found,404,682,,api-qa.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,api-qa.qa.redislabs.com,443,https://api-qa.qa.redislabs.com:443,https,text/html,GET,45.60.123.1,/,-1273787595,45.60.123.1,Imperva,14,False,True,incapsula,,True,,,,,
api-stg.redislabs.com,,200,52,,api-stg.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,api-stg.redislabs.com,443,https://api-stg.redislabs.com:443,https,text/html,GET,54.225.105.0,/,-327920302,54.225.105.0,Java,6,False,True,,Apache,,,True,,,
api.appcues.net,,200,389,,api.appcues.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-01T23:59:59Z,CN=appcues.net,appcues.net,*.appcues.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3bba7afd1f6d23243747219ba193c4e5,4e3dc06ba93d682331db580b493abd90d19ad140e1c77bf1965bdbba5d4fc7d1,ctls,api.appcues.net,443,https://api.appcues.net:443,https,application/json,GET,54.213.220.196,/,1391058259,54.218.48.141,Cowboy,1,False,True,,Cowboy,,,,,,
api.qa.redislabs.com,404 Not Found,404,682,,api.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,api.qa.redislabs.com,443,https://api.qa.redislabs.com:443,https,text/html,GET,45.60.123.1,/,-1372398656,45.60.123.1,Imperva,14,False,True,incapsula,,True,,,,,
api.redislabs.com,HTTP Status 404 – Not Found,404,926,,api.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T22:05:06Z,2023-08-27T22:05:06Z,CN=imperva.com,imperva.com,www.redis.io,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,aa42eb73fe39fde58a2db777956da098,1e8cd17e2bd3714096583d898df660c1a1ef096cfa837d25a9e64ed0f0f85086,ctls,api.redislabs.com,443,https://api.redislabs.com:443,https,text/html,GET,45.60.123.1,/,780414835,45.60.123.1,Imperva,1,False,True,incapsula,,True,,,,,
app-dev.qa.redislabs.com,Redis Cloud Console,200,1865,,app-dev.qa.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,app-dev.qa.redislabs.com,443,https://app-dev.qa.redislabs.com:443,https,text/html,GET,54.225.145.161,/,864611937,54.225.145.161,Ubuntu,52,False,True,,Apache/2.4.18 (Ubuntu),,,,,,
app-gcp.redislabs.com,Redis Cloud Console,200,1804,,app-gcp.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T22:05:06Z,2023-08-27T22:05:06Z,CN=imperva.com,imperva.com,www.redis.io,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,aa42eb73fe39fde58a2db777956da098,1e8cd17e2bd3714096583d898df660c1a1ef096cfa837d25a9e64ed0f0f85086,ctls,app-gcp.redislabs.com,443,https://app-gcp.redislabs.com:443,https,text/html,GET,45.60.123.1,/,864611937,45.60.123.1,Ubuntu,33,False,True,incapsula,nginx/1.18.0 (Ubuntu),True,,,,,
