new,host,a,soa,status_code,cname,ns,aaaa,mx,txt,cdn,cdn-name,caa
[x],aa.ns.tripit.com,174.36.222.194,"ns0.concur.net, eoperator.concur.com",NOERROR,,,,,,,,
[x],api.staging.tripit.com,23.222.56.59,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san-ipv6.tripit.com.edgekey.net, e4512.dscb.akamaiedge.net",,"2a02:26f0:c900:28c::11a0, 2a02:26f0:c900:292::11a0",,,,,
[x],api.tripit.com,23.222.56.59,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san-ipv6.tripit.com.edgekey.net, e4512.dscb.akamaiedge.net",,"2a02:26f0:b200:1b2::11a0, 2a02:26f0:b200:1a1::11a0",,,,,
[x],assets.staging.tripit.com,2.23.132.94,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san-ipv6.tripit.com.edgekey.net, e4512.dscb.akamaiedge.net",,"2001:2030:21:180::11a0, 2001:2030:21:1b1::11a0",,,,,
[x],assets.tripit.com,23.67.137.203,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san-ipv6.tripit.com.edgekey.net, e4512.dscb.akamaiedge.net",,"2a02:26f0:3500:297::11a0, 2a02:26f0:3500:2bb::11a0",,,,,
[x],b.ns.tripit.com,74.86.159.240,"ns0.concur.net, eoperator.concur.com",NOERROR,,,,,,,,
[x],bb.ns.tripit.com,174.36.222.195,"ns0.concur.net, eoperator.concur.com",NOERROR,,,,,,,,
[x],bcdportal.staging.tripit.com,,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"importapp-stg.wlb.tripit.com.akadns.net, api.tripitlabs.us, tripit-1952334006.us-west-2.elb.amazonaws.com",,,,,,,
[x],business.staging.tripit.com,23.67.137.203,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san-ipv6.tripit.com.edgekey.net, e4512.dscb.akamaiedge.net",,"2a02:26f0:3500:297::11a0, 2a02:26f0:3500:2bb::11a0",,,,,
[x],business.tripit.com,23.215.21.247,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"san-ipv6.tripit.com.edgekey.net, e4512.dscb.akamaiedge.net",,"2a02:26f0:480:b91::11a0, 2a02:26f0:480:ba9::11a0",,,,,
