new,host,a,soa,ns,status_code,cname,mx,txt,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],17-121-119-72.shared.sendcloud.com,"52.57.218.212, 35.157.161.78, 3.72.55.244","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],44-courier.carriersdk.sendcloud.com,"3.68.81.75, 3.123.111.203, 18.159.140.23","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],account.sendcloud.com,"35.157.161.78, 3.72.55.244, 52.57.218.212","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],admin.sendcloud.com,"3.72.55.244, 35.157.161.78, 52.57.218.212","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],adminaccountaccept-backupconfig.carriersdk.sendcloud.com,"18.159.140.23, 3.68.81.75, 3.123.111.203","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],airflow.ops-dev.sendcloud.com,10.202.130.11,"ns-494.awsdns-61.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,True,10.202.130.11
[x],airflow.ops.sendcloud.com,10.202.1.11,"ns-1795.awsdns-32.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,True,10.202.1.11
[x],alpha-demo-dal10.carriersdk.sendcloud.com,"18.159.140.23, 3.123.111.203, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],api.sendcloud.com,"108.138.17.64, 108.138.17.48, 108.138.17.128, 108.138.17.102","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,cloudfront,,,,
[x],app.sendcloud.com,"108.157.214.96, 108.157.214.121, 108.157.214.111, 108.157.214.14","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,cloudfront,,,,
[x],argocd.sendcloud.com,"3.127.118.244, 3.122.144.85, 3.124.56.14","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
