input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,final_url
accounting.openintegrations.starlingbank.com,,404,,accounting.openintegrations.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-12-03T23:59:59Z,CN=*.openintegrations.starlingbank.com,*.openintegrations.starlingbank.com,,*.openintegrations.starlingbank.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c977404a9601510662aebfcaeec3cde7,ab8432764f584d38c241aca073958a6347e75a41cee4018922ea0e12fd8a824d,True,ctls,accounting.openintegrations.starlingbank.com,443,https://accounting.openintegrations.starlingbank.com:443,https,awselb/2.0,text/plain,GET,54.75.103.219,/,-1840324437,52.210.64.125,,1,False,,,,
admin.starlingbank.com,400 No required SSL certificate was sent,400,230,admin.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,admin.starlingbank.com,443,https://admin.starlingbank.com:443,https,nginx,text/html,GET,34.243.192.173,/,272330885,34.250.112.155,Nginx,9,False,,,,
alertmanager.starlingbank.com,400 No required SSL certificate was sent,400,632,alertmanager.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,alertmanager.starlingbank.com,443,https://alertmanager.starlingbank.com:443,https,nginx,text/html,GET,54.155.177.217,/,1752500266,54.229.32.169,Nginx,15,False,,,,
api-openbanking-sandbox.starlingbank.com,401 Authorization Required,401,574,api-openbanking-sandbox.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-11T17:19:22Z,2023-12-13T17:19:21Z,CN=api-openbanking-sandbox.starlingbank.com,api-openbanking-sandbox.starlingbank.com,,api-openbanking-sandbox.starlingbank.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,7515314453b6dec6d75beb381e2229e5,f4733fb53cbd9fe34986506ea540f8bd114b5cd9033c61524ff1d9d8e3abc990,,ctls,api-openbanking-sandbox.starlingbank.com,443,https://api-openbanking-sandbox.starlingbank.com:443,https,nginx,text/html,GET,34.248.143.173,/,1335698669,52.17.122.6,Nginx,14,False,,,,
api-openbanking.starlingbank.com,401 Authorization Required,401,574,api-openbanking.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,api-openbanking.starlingbank.com,443,https://api-openbanking.starlingbank.com:443,https,nginx,text/html,GET,63.35.82.176,/,1335698669,63.34.212.195,Nginx,14,False,,,,
api-sandbox.starlingbank.com,,404,,api-sandbox.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,api-sandbox.starlingbank.com,443,https://api-sandbox.starlingbank.com:443,https,StarlingServer,,GET,54.154.25.64,/,-1840324437,52.17.93.73,OpenGSE,1,False,,,,
api.starlingbank.com,,404,,api.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,api.starlingbank.com,443,https://api.starlingbank.com:443,https,StarlingServer,,GET,18.203.0.142,/,-1840324437,54.170.98.13,OpenGSE,1,False,,,,
blue.starlingbank.com,,401,12,blue.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,blue.starlingbank.com,443,https://blue.starlingbank.com:443,https,CloudFront,,GET,18.66.122.96,/,1788358917,2600:9000:2250:6800:1f:d556:8d80:93a1,Amazon Web Services,1,False,cloudfront,True,,
components.starlingbank.com,,401,12,components.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,components.starlingbank.com,443,https://components.starlingbank.com:443,https,CloudFront,,GET,13.225.78.70,/,229361783,2600:9000:21f3:1200:12:c866:e700:93a1,Basic,1,False,cloudfront,True,,
developer-sandbox.starlingbank.com,Starling Developers,200,1810,developer-sandbox.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,developer-sandbox.starlingbank.com,443,https://developer-sandbox.starlingbank.com:443,https,nginx,text/html,GET,52.208.6.201,/,1282305470,52.48.190.40,Nginx,1,False,,,payment-api-sandbox.starlingbank.com,
