input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,tech_,lines,failed,content_type,cdn_name,webserver,cdn,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url
api.strongdm.com,,404,19,api.strongdm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=api.strongdm.com,api.strongdm.com,api.us-east-2.strongdm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a928dc55f3c4254591ed082bcd9d03bb,73ea203fc42dd3f20f0b23303a3ec4e5f4d0a63df4a57af67c89295404aa0228,ctls,api.strongdm.com,443,https://api.strongdm.com:443,https,GET,52.15.156.167,/,-138391155,3.22.173.175,,2,False,text/plain,,,,,,,
api.us-east-2.strongdm.com,,404,19,api.us-east-2.strongdm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=api.strongdm.com,api.strongdm.com,api.us-east-2.strongdm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a928dc55f3c4254591ed082bcd9d03bb,73ea203fc42dd3f20f0b23303a3ec4e5f4d0a63df4a57af67c89295404aa0228,ctls,api.us-east-2.strongdm.com,443,https://api.us-east-2.strongdm.com:443,https,GET,52.15.156.167,/,-138391155,3.22.173.175,,2,False,text/plain,,,,,,,
app.strongdm.com,StrongDM,200,871,app.strongdm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=app.strongdm.com,app.strongdm.com,app.us-east-2.strongdm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1b42229ccea831a33a9a4a5b6d5f9acd,43eca7e1d5a12d7193a224deb7fec0c917c4a85f8b1fd5f396eae2dec22f57eb,ctls,app.strongdm.com,443,https://app.strongdm.com:443,https,GET,13.58.58.32,/,-1581103377,3.13.155.165,HSTS,32,False,text/html,,,,https://maxcdn.bootstrapcdn.com,,,
app.us-east-2.strongdm.com,StrongDM,200,871,app.us-east-2.strongdm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=app.strongdm.com,app.strongdm.com,app.us-east-2.strongdm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1b42229ccea831a33a9a4a5b6d5f9acd,43eca7e1d5a12d7193a224deb7fec0c917c4a85f8b1fd5f396eae2dec22f57eb,ctls,app.us-east-2.strongdm.com,443,https://app.us-east-2.strongdm.com:443,https,GET,18.224.121.125,/,-1581103377,3.13.155.165,HSTS,32,False,text/html,,,,http://cdnjs.cloudflare.com,,,
connect.strongdm.com,,409,16,,,,,,,,,,,,,,,,,,80,http://connect.strongdm.com:80,http,GET,199.60.103.29,/,1000520165,2606:2c40::c73c:67e3,Cloudflare,1,False,text/plain,,cloudflare,,,,,
db-failover-orchestrator.us-west-2.strongdm.com,,404,23,db-failover-orchestrator.us-west-2.strongdm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T00:00:00Z,2024-01-12T23:59:59Z,CN=db-failover-orchestrator.us-west-2.strongdm.com,db-failover-orchestrator.us-west-2.strongdm.com,db-failover-orchestrator.us-west-2.strongdm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,13854b24ea4d591cbf5dbdea4a40f4b8,1869711d26e03c5af3ad918754fb67bfe5583a3b371d518b8f8a9e0ed02d1fa1,ctls,db-failover-orchestrator.us-west-2.strongdm.com,443,https://db-failover-orchestrator.us-west-2.strongdm.com:443,https,GET,35.81.90.170,/,631524574,35.83.137.152,,1,False,application/json,,,,,,,
discover.strongdm.com,StrongDM | Dynamic Access That Puts Your People First,200,604241,discover.strongdm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:27:41Z,2023-06-21T00:27:40Z,CN=discover.strongdm.com,discover.strongdm.com,discover.strongdm.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,82aebe4142c22f1857b6036409eacdfa,5bffb9e7d60b3133bff9da42d85cd5b93c3a91c26c0e49ebb408ea8c6307df5c,ctls,discover.strongdm.com,443,https://discover.strongdm.com:443,https,GET,199.60.103.29,/,-240957323,2606:2c40::c73c:67e3,HubSpot CMS Hub,4050,False,text/html,,cloudflare,,,,,
docs.strongdm.com,StrongDM Docs - StrongDM Docs,200,177656,www.strongdm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T04:10:11Z,2023-08-06T04:10:10Z,CN=strongdm.com,strongdm.com,www.strongdm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b54ddcc6d721867919ef74bb3024d4d2,4e0356488af119e1d3242d97abcbc12bb2857c55a0ffe202486448130e3ce36f,ctls,www.strongdm.com,80,http://docs.strongdm.com:80,http,GET,52.219.141.56,/,-1746146148,52.219.141.56,Netlify,114,False,text/html,,Netlify,,*.adsymptotic.com,,,https://www.strongdm.com/docs/
downloads.strongdm.com,,403,243,downloads.strongdm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=downloads.strongdm.com,downloads.strongdm.com,downloads.strongdm.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ab57220a87d286ba503729c1586c56d4,4d32f89ead0c17eb343d11123d5232e95405f4634a94f90020253ee45963c5bd,ctls,downloads.strongdm.com,443,https://downloads.strongdm.com:443,https,GET,13.32.99.72,/,403842023,2600:9000:2251:9800:c:e6c1:ab00:93a1,Amazon Web Services,2,False,application/xml,cloudfront,AmazonS3,True,,,,
feedback.strongdm.com,404 Not Found,404,405,,,,,,,,,,,,,,,,,,80,http://feedback.strongdm.com:80,http,GET,52.92.243.171,/,-730550084,52.218.236.226,Amazon Web Services,15,False,text/html,,AmazonS3,,,,,
