new,host,a,cname,soa,status_code,ns,mx,txt,cdn,cdn-name,caa,aaaa
[x],academy.topcoder.com,"18.164.52.111, 18.164.52.38, 18.164.52.42, 18.164.52.88",,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,
[x],accounts-auth0.topcoder.com,"13.32.99.73, 13.32.99.49, 13.32.99.7, 13.32.99.116",,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,
[x],admin.shopify.com,23.227.38.33,,"ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],admin.topcoder.com,"52.222.214.122, 52.222.214.12, 52.222.214.71, 52.222.214.57",,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,
[x],api.topcoder.com,"54.205.35.97, 52.73.231.13, 34.194.59.37",,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],app.shopify.com,23.227.38.33,cname.shopify.com,"dns1.p06.nsone.net, hostmaster.nsone.net, ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,,,,,
[x],app.topcoder.com,"34.194.59.37, 52.73.231.13, 54.205.35.97",,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],apps.topcoder.com,"34.194.59.37, 52.73.231.13, 54.205.35.97",,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],arena.topcoder.com,"18.66.147.115, 18.66.147.69, 18.66.147.94, 18.66.147.42",,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,
[x],auth-dev.topcoder.com,"104.16.82.103, 104.16.83.103",tc-dev-cd-ff3ulxocaopmcl5j.edge.tenants.us.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,letsencrypt.org,
[x],auth-prod.topcoder.com,"104.16.83.103, 104.16.82.103",tc-prod-cd-s8jjfxxrr5vidaca.edge.tenants.us.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,letsencrypt.org,"2606:4700::6810:5267, 2606:4700::6810:5367"
[x],beta.topcoder.com,44.199.67.13,topcoder.com,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1435.awsdns-51.org, ns-1916.awsdns-47.co.uk, ns-32.awsdns-04.com, ns-677.awsdns-20.net",topcoder-com.mail.protection.outlook.com,"status-page-domain-verification=w978dxn9smwn, unbounce=381395, v=spf1 ip4:54.165.99.226/32 ip4:34.204.219.77/32 ip4:10.25.35.223/32 include:mail.zendesk.com include:servers.mcsv.net include:stspg-customer.com include:_spf.salesforce.com include:spf.protection.outlook.com -all, MS=ms23759231, MS=ms44288208, _globalsign-domain-verification=jXiWaCVO93prZlMVt6v8jbAryOZqlOXq62Qhr6m3RM, atlassian-domain-verification=+w2kTGdJUmIadT3Z6ZvXEscJ4Uy1ZzK8fAd9FkhHTX5dJB7o6ht83HGYFInN05iy, dls4pqf246mukrf72idavk9l3g, docusign=953f4549-607e-46f6-bf11-2cb19ce17157, google-site-verification=2mx-vBhouJ1CBg7zcfjojmXumIc9_ydV2CjySPifStk, google-site-verification=5SodLKZzELdBw6825qNrjIGAktHnJa0LOXKi5450aTo, google-site-verification=I2-vokJxAW7yo94ZnfE5oPV8li8GmGwMHEWiMCA2rCQ, google-site-verification=P4bA6xyIh48pl3AS0TSwsCH9CMrQkeZOQ29fX81BSZI, growsurf=mn3hmp, segment-site-verification=B6OW8Cqms9KaRs3DpqnieB26cJIepPKr",,,,
[x],blockchain.topcoder.com,,,"ns-1916.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
