input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,tls_subject_org_,final_url,tls_wildcard_certificate,csp_domains_
api.identity.umbraco.com,Your Azure Function App is up and running.,200,150093,api.identity.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2023-07-21T23:59:59Z,"CN=umbraco.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",umbraco.com,api.identity.umbraco.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",523dd2ddffd38a54b69d64a51fdecaed,a51b3fbc6cdd7254aa93b360f0840eceb74a0a89f3b34b823005c7da6ae39f6d,ctls,api.identity.umbraco.com,cloudflare,443,https://api.identity.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-1840324437,2606:4700:4400::ac40:9821,Cloudflare,300,False,True,text/html,"Cloudflare, Inc.",,,
api.marketplace.umbraco.com,Swagger UI,200,4746,api.marketplace.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T07:56:33Z,2023-08-02T08:54:31Z,CN=api.marketplace.umbraco.com,api.marketplace.umbraco.com,api.marketplace.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,13054708950a8d9c6fbc000f8043f328,870ff14cb1120b31d1bec61260d1eef9db77dc8bd35e929698144898b7143bce,ctls,api.marketplace.umbraco.com,cloudflare,443,https://api.marketplace.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-1840324437,2606:4700:4400::ac40:9821,Microsoft ASP.NET,118,False,True,text/html,,https://api.marketplace.umbraco.com/index.html,,
cloud.umbraco.com,,526,,cloud.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T15:01:33Z,2023-07-29T16:00:29Z,CN=cloud.umbraco.com,cloud.umbraco.com,cloud.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,71bc4aef85bd789e3004872b802e2a09,ab589e438dd2c2b9909f53ad4f301ca54473b45a3f18f548079033ce56639fa5,ctls,cloud.umbraco.com,cloudflare,443,https://cloud.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-1840324437,2606:4700:4400::ac40:9821,Cloudflare,1,False,True,,,,,
codegarden.umbraco.com,Codegarden: The official Umbraco conference,200,28729,codegarden.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T20:20:26Z,2023-07-21T20:20:25Z,CN=codegarden.umbraco.com,codegarden.umbraco.com,codegarden.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,433e1c3dabb829bddfd79aa12b18484f,94724eb308f85810130e8e7e5c6e271791f7b4ff091de5f48e3422ceccf96bb7,ctls,codegarden.umbraco.com,cloudflare,443,https://codegarden.umbraco.com:443,https,cloudflare,GET,104.19.191.28,/,-20275242,2606:4700::6813:d01c,YouTube,697,False,True,text/html,,,,
commerce-telemetry.umbraco.com,,404,,commerce-telemetry.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-06-02T11:18:08Z,2023-08-31T11:18:07Z,CN=commerce-telemetry.umbraco.com,commerce-telemetry.umbraco.com,commerce-telemetry.umbraco.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,67b32ba3221964bf4551903016b1b1e2,20b10ddc51189eccada3ecf1f74d75c4b6a6915357e5f098e16ba653379bd7dd,ctls,commerce-telemetry.umbraco.com,,443,https://commerce-telemetry.umbraco.com:443,https,Microsoft-IIS/8.5,GET,212.48.69.194,/,-1840324437,212.48.69.194,Windows Server,1,False,,,,,,
community.umbraco.com,Welcome to the Community,200,25749,community.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T11:05:50Z,2023-07-21T11:05:49Z,CN=community.umbraco.com,community.umbraco.com,community.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,84322cf0bc896dcb4357a84610af5473,07722ac428b8e3775c3593c2c4bc2cdb64766104cf2f5c0948e026df554f5d88,ctls,community.umbraco.com,cloudflare,443,https://community.umbraco.com:443,https,cloudflare,GET,104.19.191.28,/,-20275242,2606:4700::6813:bf1c,HSTS,43,False,True,text/html,,,,
dashboard.umbraco.com,,200,113,dashboard.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T15:44:33Z,2023-07-21T15:44:32Z,CN=dashboard.umbraco.com,dashboard.umbraco.com,dashboard.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cd1fc28b36fc57d3f99b62fb9e7a1af1,e23e09c47125d0258f93e622d660546a753615f8e13953bbfccc9da978d16ee5,ctls,dashboard.umbraco.com,cloudflare,443,https://dashboard.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-20275242,2606:4700:4400::ac40:9821,Cloudflare,1,False,True,text/html,,,,
dev.api.marketplace.umbraco.com,Swagger UI,200,4746,dev.api.marketplace.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T18:24:44Z,2023-07-29T19:23:36Z,CN=dev.api.marketplace.umbraco.com,dev.api.marketplace.umbraco.com,dev.api.marketplace.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,ef14a52fa71879bfcb12a7fcc0667c2d,927a355b859038e5721e64208d65e0ad7e739da65ec8925585e969ea26383fb5,ctls,dev.api.marketplace.umbraco.com,cloudflare,443,https://dev.api.marketplace.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-1840324437,2606:4700:4400::ac40:9821,Microsoft ASP.NET,118,False,True,text/html,,https://dev.api.marketplace.umbraco.com/index.html,,
dev.functions.marketplace.umbraco.com,Your Azure Function App is up and running.,200,150093,dev.functions.marketplace.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T16:51:45Z,2023-07-29T17:48:33Z,CN=dev.functions.marketplace.umbraco.com,dev.functions.marketplace.umbraco.com,dev.functions.marketplace.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,6e895157e4a5d13285f77383a1ecba65,4cc5dd5c31464733edd913feeb19a1a1bb8a046c5986c1e4c18e53fa00ac8485,ctls,dev.functions.marketplace.umbraco.com,cloudflare,443,https://dev.functions.marketplace.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-1840324437,2606:4700:4400::ac40:9821,Cloudflare,300,False,True,text/html,,,,
developer-survey.umbraco.com,Umbraco Developer Survey,200,4896,developer-survey.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T14:09:18Z,2023-07-21T14:09:17Z,CN=developer-survey.umbraco.com,developer-survey.umbraco.com,developer-survey.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,9af2a62e53dcb52342c766f1580cd21f,287981c08e972809158b0df9fee18e63e3e6da201197dad20387bf23a1d26d21,ctls,developer-survey.umbraco.com,cloudflare,443,https://developer-survey.umbraco.com:443,https,cloudflare,GET,104.19.191.28,/,1082842004,2606:4700::6813:d01c,Microsoft ASP.NET,49,False,True,text/html,,,,
