new,host,soa,status_code,cdn,cdn-name,a,cname,txt
[x],docs.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.79.80, 104.16.80.80",,
,accounts.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,api-campaigns.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,api-openbanking.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,api-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.79.80, 104.16.80.80",,
,autodiscover.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,bank-gateway.webhooks.sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,bank-gateway.webhooks.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,beta-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,beta.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,cdn.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
,ci.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,cms.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,e-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.79.80, 104.16.80.80",,
,e.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
,email-unboxed.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
,etracking.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,gateway.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,ilp-gateway-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,ilp-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,ilp.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,intranet.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,join.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,leaderboard.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,lyncdiscover.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,mail15.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,mugwumps.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,openbanking.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,partner-portal.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.80.80, 104.16.79.80",,
,partners.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,pki.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.80.80, 104.16.79.80",,
,sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.79.80, 104.16.80.80",,"CKO=cli_snv2njmbuq3udmbpmawuzc6ahi, v=spf1 include:_spf.google.com include:mail.zendesk.com -all"
,static-attachment.uphold.com,"ns-1114.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"52.5.39.177, 34.232.59.187","static-attachment.uphold.com.ss-domain.com, attachment.uphold.com.ss-domain.com",
,trends-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,trends.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
,wallet-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.79.80, 104.16.80.80",,
,website.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,widget-sandbox.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,www.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"104.16.79.80, 104.16.80.80",,
,zendesk1.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
,zendesk4.uphold.com,"rose.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
