new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,caa
,aaa.vlerick.com,193.190.150.53,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,adfs.uat.vlerick.com,193.190.150.44,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,adfs.vlerick.com,193.190.150.74,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,adfsportal.vlerick.com,193.190.150.51,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,api.uat.vlerick.com,51.145.247.35,"vlerick-uat-apimgmt.azure-api.net, apimgmttmefqlasn0jwxm36lvdzdnewqiehrhebotqbb7t5yil.trafficmanager.net, vlerick-uat-apimgmt-westeurope-01.regional.azure-api.net, apic8ba20c7a6484a8093ccdf3d3eb3c110rjnk7zffq3meformfmgtf.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,
,api.vlerick.com,51.144.36.225,"vlerick-prd-apimgmt.azure-api.net, apimgmttm5qhq2tizlwetxehwow8ftqohiai3dytfjw7wxlmoy.trafficmanager.net, vlerick-prd-apimgmt-westeurope-01.regional.azure-api.net, apimgmthscjlykmsuscn3batcspkkesc9nfzh7im75ury42xmb.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,
,apply.vlerick.com,193.190.150.59,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,auth.uat.vlerick.com,193.190.150.45,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,autodiscover.uat.vlerick.com,"40.99.149.168, 40.99.149.104, 40.99.149.136, 40.99.157.56, 52.97.189.104, 40.99.149.152, 52.97.189.72, 52.97.188.72","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,NOERROR,,,"2603:1026:c0d:82b::8, 2603:1026:c0d:c07::8, 2603:1026:c0d:c2d::8, 2603:1026:c0d:829::8",,,,
,autodiscover.vlerick.com,"52.98.171.248, 40.99.150.24, 52.98.243.24, 40.99.150.40","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,NOERROR,,,"2603:1026:c0d:82b::8, 2603:1026:c0d:c1d::8, 2603:1026:c0d:c2d::8, 2603:1026:c0d:c1e::8",,,,
,clearpasstest.vlerick.com,193.190.150.59,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,click.email.vlerick.com,161.71.82.187,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,"ns3.exacttarget.com, ns2.exacttarget.com, ns4.exacttarget.com, ns1.exacttarget.com",,,
,dam.vlerick.com,"108.138.7.3, 108.138.7.29, 108.138.7.95, 108.138.7.32",rr-dam-vlerick-com.getbynder.com,"ns-1868.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2490:4e00:18:58a2:7d80:93a1, 2600:9000:2490:1000:18:58a2:7d80:93a1, 2600:9000:2490:4400:18:58a2:7d80:93a1, 2600:9000:2490:a600:18:58a2:7d80:93a1, 2600:9000:2490:3c00:18:58a2:7d80:93a1, 2600:9000:2490:6200:18:58a2:7d80:93a1, 2600:9000:2490:2400:18:58a2:7d80:93a1, 2600:9000:2490:6000:18:58a2:7d80:93a1",,,,amazon.com
,dev.test.vlerick.com,193.190.150.54,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,dev.uat.vlerick.com,193.190.150.45,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,e.notify.vlerick.com,"185.136.64.7, 185.136.65.7, 185.136.65.6, 185.136.64.6",web.flowmailer.net,,NOERROR,,,,,,,
,edutest.vlerick.com,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,email.vlerick.com,161.71.33.242,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,
