input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_expired,final_url
*.oekostrom.at,"oekostrom AG 100 % öko, 100 % fair",200,172768,oekostrom.at,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-20T15:20:58Z,2023-12-20T15:20:58Z,CN=*.oekostrom.at,*.oekostrom.at,,oekostrom.at,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",f1675c6242249af153895d14f26ff9eb,0861d604a168cb9cdd14fddf925d60550f2949ebc8c564b5c70435c910995efa,True,ctls,oekostrom.at,,443,https://oekostrom.at:443,https,Apache,text/html,GET,146.255.58.50,/,-1947546090,146.255.58.50,ZURB Foundation,1228,False,,,*.oekostrom.at,,
aem-dev.westerndigital.com,,403,93,aem-dev.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-06T23:59:59Z,CN=aem.westerndigital.com,aem.westerndigital.com,,www-stage.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,042132da7f720d27e9087031f9ddeb66,3550bcb054622b27e317a00bd44634c5b4f6bc4a420e809480abce08bb5abcfc,,ctls,aem-dev.westerndigital.com,,443,https://aem-dev.westerndigital.com:443,https,,text/html,GET,34.208.84.145,/,-1060002298,54.148.210.29,,4,False,,,,,
aem-stage.westerndigital.com,,403,93,aem-stage.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-06T23:59:59Z,CN=aem.westerndigital.com,aem.westerndigital.com,,www-stage.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,042132da7f720d27e9087031f9ddeb66,3550bcb054622b27e317a00bd44634c5b4f6bc4a420e809480abce08bb5abcfc,,ctls,aem-stage.westerndigital.com,,443,https://aem-stage.westerndigital.com:443,https,,text/html,GET,34.208.84.145,/,-1060002298,54.148.210.29,,4,False,,,,,
aem.westerndigital.com,POST data,200,1915,aem.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-06T23:59:59Z,CN=aem.westerndigital.com,aem.westerndigital.com,,www-stage.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,042132da7f720d27e9087031f9ddeb66,3550bcb054622b27e317a00bd44634c5b4f6bc4a420e809480abce08bb5abcfc,,ctls,aem.westerndigital.com,,443,https://aem.westerndigital.com:443,https,Apache,text/html,GET,34.208.84.145,/,1949924519,54.148.210.29,Java,12,False,,,,,
apac-hackathon.westerndigital.com,Home | APAC apac-hackathon 2020,200,30926,apac-hackathon.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-05-07T00:00:00Z,2022-05-07T23:59:59Z,CN=apac-hackathon.westerndigital.com,apac-hackathon.westerndigital.com,,www.apac-hackathon.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,81e395514a575f04d75fee6559c9cfde,b0210175c4aaf508b6cc72db2ee44def4a34c15f21d14f41fc5ddf59cfd82574,,ctls,apac-hackathon.westerndigital.com,,443,https://apac-hackathon.westerndigital.com:443,https,Apache,text/html,GET,34.208.84.145,/,-348675703,54.148.210.29,Java,1152,False,,,,True,
api-dev.westerndigital.com,,403,93,api-dev.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,,ctls,api-dev.westerndigital.com,,443,https://api-dev.westerndigital.com:443,https,,text/html,GET,34.208.84.145,/,-1060002298,54.148.210.29,,4,False,,,,,
api-qa.westerndigital.com,,403,93,api-qa.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,,ctls,api-qa.westerndigital.com,,443,https://api-qa.westerndigital.com:443,https,,text/html,GET,34.208.84.145,/,-1060002298,54.148.210.29,,4,False,,,,,
api-uat.westerndigital.com,Western Digital,503,16797,api-uat.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,,ctls,api-uat.westerndigital.com,,443,https://api-uat.westerndigital.com:443,https,*,text/html,GET,54.148.210.29,/,-2034643550,34.208.84.145,HSTS,59,False,,,https:,,https://api-uat.westerndigital.com/wdwebservices
auth-test.bugcrowd.com,,403,48,auth-test.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",766d0b610a965f5960221657e2559ca0,69c6e5be479df9440e6b08bb9355c178e6cc5d1255c1e0e86cd85f9ed05d3c04,True,ctls,auth-test.bugcrowd.com,cloudflare,443,https://auth-test.bugcrowd.com:443,https,cloudflare,application/json,GET,104.20.6.68,/,1546739159,2606:4700:10::6814:744,HSTS,3,False,True,,,,
beta.westerndigital.com,"High-Performance SSDs, HDDs, USB Drives, & Memory Cards | Western Digital",200,1325292,www.westerndigital.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-06T00:00:00Z,2024-01-08T23:59:59Z,"CN=www.sandisk.com, O=Western Digital Corporation, L=Milpitas, ST=California, C=US",www.sandisk.com,Western Digital Corporation,www.westerndigital.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,0c729c31120e78225f38fd3659ae34ff,0af4f1735760de252521ae6a556fb22e01e959b3ba3170c476acafa2e8263603,,ctls,www.westerndigital.com,,80,http://beta.westerndigital.com:80,http,Apache,text/html,GET,35.167.237.18,/,-873200080,35.167.237.18,PayPal,26786,False,,,cdn.mouseflow.com,,https://www.westerndigital.com
blog.bugcrowd.com,Blog | Bugcrowd,200,176147,www.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-03-18T23:59:59Z,"CN=bugcrowd.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bugcrowd.com,"Cloudflare, Inc.",docs.bugcrowd.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",22d37efb3b52cdc5379f4739e937901a,0307ab94526a9b6eb1531ccd8f30f71cec754905b9b8229ad60e50356e32eb1c,,ctls,www.bugcrowd.com,cloudflare,443,https://blog.bugcrowd.com:443,https,cloudflare,text/html,GET,104.20.6.68,/,110682495,2606:4700:10::6814:744,Yoast SEO:19.8,2028,False,True,,,,https://www.bugcrowd.com/blog/
bugcrowd.com,#1 Crowdsourced Cybersecurity Platform | Bugcrowd,200,200904,www.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-03-18T23:59:59Z,"CN=bugcrowd.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bugcrowd.com,"Cloudflare, Inc.",docs.bugcrowd.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",22d37efb3b52cdc5379f4739e937901a,0307ab94526a9b6eb1531ccd8f30f71cec754905b9b8229ad60e50356e32eb1c,,ctls,www.bugcrowd.com,cloudflare,443,https://bugcrowd.com:443,https,cloudflare,text/html,GET,104.20.7.68,/,401957159,2606:4700:10::6814:644,Yoast SEO:19.8,2322,False,True,,,,https://www.bugcrowd.com/
careers.westerndigital.com,Careers at Western Digital,200,111930,careers.smartrecruiters.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-17T00:00:00Z,2023-06-16T23:59:59Z,CN=*.smartrecruiters.com,*.smartrecruiters.com,,smartrecruiters.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,2035ad1be53053ec60eb99c0f44b6ddb,0dc62d6bba86e002de4b120203002e4f7860b6999f1dc79b8a23dd9be003bb71,True,ctls,careers.smartrecruiters.com,,80,http://careers.westerndigital.com:80,http,cloudflare,text/html,GET,35.167.237.18,/,395806125,35.167.237.18,HSTS,136,False,,,href='https://www.smartrecruiters.com/product/career-website/',,https://careers.smartrecruiters.com/WesternDigital
cmat.stage.westerndigital.com,WD | CMAT,200,548,cmat.stage.westerndigital.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-13T00:00:00Z,2023-05-13T23:59:59Z,CN=cmat.westerndigital.com,cmat.westerndigital.com,,cmat.webapi.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,ee92a131c4d9b975cb7a2cd667bbeb98,cbcde4821ee2dd48aee2b30e4bc17ada8be7f5bc46234caede18c35000ce860c,,ctls,cmat.stage.westerndigital.com,cloudfront,443,https://cmat.stage.westerndigital.com:443,https,AmazonS3,text/html,GET,13.225.78.18,/,-289708236,2600:9000:21f3:da00:3:2d3d:2880:93a1,Amazon Web Services,1,False,True,,,True,
cmat.westerndigital.com,WD | CMAT,200,548,cmat.westerndigital.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-20T00:00:00Z,2024-05-19T23:59:59Z,CN=cmat.westerndigital.com,cmat.westerndigital.com,,cmat.webapi.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,91b1637b41ca68067283541c0deed04b,978fee8b82fa8a0e2070273652b0c5c5f760eb2b5b63a8f5f4012e7dca7d233b,,ctls,cmat.westerndigital.com,cloudfront,443,https://cmat.westerndigital.com:443,https,AmazonS3,text/html,GET,18.66.122.72,/,-289708236,2600:9000:2250:6600:1f:c865:90c0:93a1,Amazon Web Services,1,False,True,,,,
commerce-dev.westerndigital.com,,403,93,commerce-dev.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,,ctls,commerce-dev.westerndigital.com,,443,https://commerce-dev.westerndigital.com:443,https,,text/html,GET,54.148.210.29,/,-1060002298,34.208.84.145,,4,False,,,,,
commerce-qa.westerndigital.com,,403,93,commerce-qa.westerndigital.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-28T00:00:00Z,2023-11-28T23:59:59Z,CN=shop.westerndigital.com,shop.westerndigital.com,,webhelp.westerndigital.com,"CN=Trusted Secure Certificate Authority DV, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority DV,Corporation Service Company,736e70f6152eea68da998ffc5d9eac8f,603dee6ffc56078b3dffd01079c93385cba86fb075375eb4f9f86eebb73ab365,,ctls,commerce-qa.westerndigital.com,,443,https://commerce-qa.westerndigital.com:443,https,,text/html,GET,34.208.84.145,/,-1060002298,54.148.210.29,,4,False,,,,,
