new,host,a,cname,soa,status_code,ns,cdn,cdn-name,mx,txt,aaaa,caa
[x],transferwise.com,"104.18.167.45, 104.18.168.45",,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"hope.ns.cloudflare.com, sean.ns.cloudflare.com",True,cloudflare,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","miro-verification=42df5b4be7dfaaba3388761226de9f96d3fb7ecf, mixpanel-domain-verify=32661fc8-8c91-450c-80f6-65cb9f91282e, onetrust-domain-verification=b7d783b14722444cb840722b8c6a565a, slack-domain-verification=07g5EGKOfCLzbhnJqBbhWxrThYdIm0HEm9fjV2Hk, v=spf1 include:_u.transferwise.com._spf.smart.ondmarc.com ~all, yandex-verification: fe1c6cc46781b306, 5sx356ss7wl6m3fnhhwkgb3mgng66bbn, LSFBorXtefNhLRmhESeRs50UK5E, QuoVadis=00f0243a-0a1c-415f-9e1e-b271283a491b, ZOOM_verify_yWd3BzfHQYaQpSK_p-3XUQ, adobe-idp-site-verification=26cc6fb9bff4354c104fe5703b8f8f20af7423753f4cd0fc8e88dd67ea5090a8, amazonses:vTW5hRMoE2sSGcyLPFmY+nUxqoAUn1zLcN37w5VIo94=, apple-domain-verification=abRMaLaJmlSkbXTg, atlassian-domain-verification=+2Nij6zJOZt/wzpQ5s7lKmLYhD820qTcJK9wPSNma1QwebXwOUuN6A4imbi2udtv, atlassian-domain-verification=R2xlhJx/BJvRebi2AQVve97mNghTOk3TaqfH90Boa9ohiMQUXauwCsQxaUt4gHXn, docker-verification=f9de548f-9f53-4943-a09d-bda69112adeb, docusign=284971be-0f46-4947-8f3d-d7ccac70ca67, facebook-domain-verification=qrgx41rtlwt35xmynf1zfw0f6nab4h, google-site-verification=3zb-HAYRz4gr5K7i0iw-zU0njfFfhsDmuS9_ugfXsbw, google-site-verification=JaiezIz5a3SrDs-ITpYZ499nzfNI532tzk6wgtdRVDM, mentimeter-0e4b8e43-55ad-4bf8-826d-e978d50dc7de",,
[x],wise.com,"104.18.17.28, 104.18.16.28",,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"hope.ns.cloudflare.com, sean.ns.cloudflare.com",True,cloudflare,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","-s1BbtIYreC4lq4dgfRT5GiU7a1dedI, 4b6e772e-2b35-4013-ada0-5deafb388db0, 504C2B4451, MS=ms87976825, ZOOM_verify_tdC0oyKB1A8JIXpFnfvqiW, adobe-idp-site-verification=26cc6fb9bff4354c104fe5703b8f8f20af7423753f4cd0fc8e88dd67ea5090a8, amazonses:ZbyYbBrEgq1b5BQhFZyzugyScAWwParCk0FNOs4c1C4=, apple-domain-verification=EWgLjCOD6s5vRQpA, atlassian-domain-verification=+2Nij6zJOZt/wzpQ5s7lKmLYhD820qTcJK9wPSNma1QwebXwOUuN6A4imbi2udtv, docusign=f8aba945-9e3c-4bf8-8172-8221f8e40893, facebook-domain-verification=0dgkqibai68mvjkgbeafcplopqobhi, google-site-verification=8IYPoYLbR1M_8AUF-AYwHlmkq4glsYIcIrPDAFMe2FI, google-site-verification=XWsmJWKMs8gYWrc9sc_KdeAl0OrRkDHPLljhjfGjoYI, hj-ownership=qEgZz25Gsd, lucid-verification=6y5frg9862a61at0vcgs, miro-verification=42df5b4be7dfaaba3388761226de9f96d3fb7ecf, mixpanel-domain-verify=cd262321-20a1-40a6-9148-c06050396ae7, onetrust-domain-verification=c2a93902121749aeaf62878141c01855, slack-domain-verification=2AwdExVveDlH69b6JiYv9YtOFmihbhR6PJUGxe7h, v=spf1 include:_u.wise.com._spf.smart.ondmarc.com include:mail.zendesk.com ~all, yandex-verification: e7e5f414e82d5677",,
,00.twcard-ext.transferwise.com,"3.76.178.224, 3.122.64.158, 3.72.203.134",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,0f29.twcard-ext.transferwise.com,"3.72.203.134, 3.76.178.224, 3.122.64.158",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,0obatplus.twcard-ext.transferwise.com,"3.122.64.158, 3.72.203.134, 3.76.178.224",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,0pbuilder.twcard-ext.transferwise.com,"3.72.203.134, 3.122.64.158, 3.76.178.224",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,11-courier2.twcard-ext.transferwise.com,"3.122.64.158, 3.76.178.224, 3.72.203.134",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,124-bas-6-prd.twcard-ext.transferwise.com,"3.122.64.158, 3.76.178.224, 3.72.203.134",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,155-9-171-56.twcard-ext.transferwise.com,"3.122.64.158, 3.72.203.134, 3.76.178.224",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,155-9-173-71.twcard-ext.transferwise.com,"3.72.203.134, 3.76.178.224, 3.122.64.158",production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
