input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_expired,tls_mismatched,cdn_name,cdn,tls_wildcard_certificate
1pw-scim.transferwise.com,1Password SCIM bridge,200,559,https://w3.org,1pw-scim.transferwise.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=1pw-scim.transferwise.com, O=WISE PAYMENTS LIMITED, L=London, C=GB",1pw-scim.transferwise.com,WISE PAYMENTS LIMITED,1pw-scim.transferwise.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7b2462827dbe8cb0bb24ab79b6a7b7b9,bcf615887c3796a6ceb4aaa483c5d940816f92c1788558153e5b68fa7e12c170,ctls,1pw-scim.transferwise.com,443,https://1pw-scim.transferwise.com:443,https,nginx/1.23.1,text/html,GET,3.73.95.147,/,104012657,https://1pw-scim.transferwise.com/app/,3.73.95.147,Nginx:1.23.1,1,False,,,,,
ablink.feedback.transferwise.com,403 Forbidden,403,553,,ablink.feedback.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-04-07T00:00:00Z,2020-10-14T23:59:59Z,CN=ssl464317.cloudflaressl.com,ssl464317.cloudflaressl.com,,ssl464317.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,131a273baae28b859ed82f7b758460bc,1f9632fd1de6463278f57e2f36515280f62ae6f1c1aa3bef4990fb83480fa053,ctls,ablink.feedback.transferwise.com,443,https://ablink.feedback.transferwise.com:443,https,cloudflare,text/html,GET,104.18.168.45,/,-861110197,,104.18.167.45,Cloudflare,14,False,True,True,cloudflare,True,
ablink.feedback.wise.com,404 Not Found,404,155,,ablink.feedback.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T16:54:26Z,2023-08-05T17:53:23Z,CN=ablink.feedback.wise.com,ablink.feedback.wise.com,,ablink.feedback.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,15ca251beed23864402d6197bc49de50,d906af855a0cc35df756b37edcc1d4b81e9b13d1969a26097c350a2e1f705afb,ctls,ablink.feedback.wise.com,443,https://ablink.feedback.wise.com:443,https,cloudflare,text/html,GET,104.18.16.28,/,718397587,,104.18.17.28,HTTP/3,8,False,,,cloudflare,True,
ablink.info.transferwise.com,403 Forbidden,403,151,,ablink.info.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-04-07T00:00:00Z,2020-10-14T23:59:59Z,CN=ssl464317.cloudflaressl.com,ssl464317.cloudflaressl.com,,ssl464317.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,131a273baae28b859ed82f7b758460bc,1f9632fd1de6463278f57e2f36515280f62ae6f1c1aa3bef4990fb83480fa053,ctls,ablink.info.transferwise.com,443,https://ablink.info.transferwise.com:443,https,cloudflare,text/html,GET,104.18.168.45,/,1210513009,,104.18.167.45,Cloudflare,8,False,True,True,cloudflare,True,
ablink.info.wise.com,404 Not Found,404,161,,ablink.info.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T17:32:18Z,2023-08-05T18:31:14Z,CN=ablink.info.wise.com,ablink.info.wise.com,,ablink.info.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,31f781cb9daa7a2beb0eccac0e080c85,0e6cdcd4f36ec50c656a825f431b0569930471d6d0a969bf6c2aaa2b9946aa3e,ctls,ablink.info.wise.com,443,https://ablink.info.wise.com:443,https,cloudflare,text/html,GET,104.18.16.28,/,-147358039,,104.18.17.28,HTTP/3,14,False,,,cloudflare,True,
api-docs.wise.com,404: This page could not be found,404,5867,,api-docs.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,api-docs.wise.com,443,https://api-docs.wise.com:443,https,cloudflare,text/html,GET,104.18.17.28,/,-1003511782,https://api-docs.wise.com/help/unsupported-browser,104.18.16.28,HTTP/3,12,False,,,cloudflare,True,True
api-mtls.transferwise.com,Error ・ Cloudflare Access,403,20382,,api-mtls.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-18T09:33:39Z,2023-08-18T09:33:39Z,CN=api-mtls.transferwise.com,api-mtls.transferwise.com,,api-mtls.transferwise.com,CN=Wise,Wise,,fe036ed53460417d247553028581c614,777cc938cbe56db9296aa7b1aec736d2a0ea0e3b4626e93f2d31f063ee1e7a25,ctls,api-mtls.transferwise.com,443,https://api-mtls.transferwise.com:443,https,cloudflare,text/html,GET,104.17.91.19,/,371198756,,104.17.90.19,HSTS,62,False,,,cloudflare,True,
api.transferwise.com,Payouts for businesses - Wise,200,80929,https://tw-test-avatar-storage.s3.eu-west-1.amazonaws.com,wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,wise.com,80,http://api.transferwise.com:80,http,cloudflare,text/html,GET,104.18.167.45,/,2015957339,https://wise.com/gb/business/payouts,104.18.168.45,React,20,False,,,cloudflare,True,True
api.wise.com,Payouts for businesses - Wise,200,80929,https://www.google.me,wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,wise.com,443,https://api.wise.com:443,https,cloudflare,text/html,GET,104.18.17.28,/,642840817,https://wise.com/gb/business/payouts,104.18.16.28,React,20,False,,,cloudflare,True,True
au-cdrbanking-pub.wise.com,,403,,,au-cdrbanking-pub.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,au-cdrbanking-pub.wise.com,443,https://au-cdrbanking-pub.wise.com:443,https,cloudflare,,GET,104.18.17.28,/,-1840324437,,104.18.16.28,HTTP/3,1,False,,,cloudflare,True,True
