input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,tls_mismatched,final_url,tls_subject_org_
accessibility.zapier.com,Sign In,403,2519,accessibility.zapier.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,True,ctls,accessibility.zapier.com,443,https://accessibility.zapier.com:443,https,,text/html,GET,52.87.144.228,/,1219667363,44.209.38.104,HSTS,119,False,,,,,,
account-management.vercel.zapier.com,,404,3744,account-management.vercel.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-22T18:08:06Z,2023-08-20T18:08:05Z,CN=*.vercel.zapier.com,*.vercel.zapier.com,*.vercel.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c215ddec24ce23e1b79e76da6084c85,f088e2945ed27ba4cc8993fa01d479e86cb3d1ae846514aa45292b880c81295f,True,ctls,account-management.vercel.zapier.com,80,http://account-management.vercel.zapier.com:80,http,Vercel,text/html,GET,76.76.21.164,/,1785140111,76.76.21.22,Vercel,10,False,,,,,https://account-management.vercel.zapier.com/,
algo2.vercel.zapier.com,,404,67,algo2.vercel.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-22T18:08:06Z,2023-08-20T18:08:05Z,CN=*.vercel.zapier.com,*.vercel.zapier.com,*.vercel.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c215ddec24ce23e1b79e76da6084c85,f088e2945ed27ba4cc8993fa01d479e86cb3d1ae846514aa45292b880c81295f,True,ctls,algo2.vercel.zapier.com,443,https://algo2.vercel.zapier.com:443,https,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.164,Vercel,4,False,,,,,,
api.approval.zapier.com,Not Found,404,179,api.approval.zapier.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-04T23:59:59Z,CN=approval.zapier.com,approval.zapier.com,*.approval.zapier.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,726f260c00450cd055e7a39170ea2f07,d9d2b950b49e40752aaaea115b0093c71e46703b2065236b7f66702b3f84ee9a,True,ctls,api.approval.zapier.com,443,https://api.approval.zapier.com:443,https,,text/html,GET,52.87.144.228,/,-909858089,52.2.228.131,HSTS,11,False,,,,,,
api.tables.zapier.com,Bad Request (400),400,143,api.tables.zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-14T23:59:59Z,CN=*.zables.zapier.com,*.zables.zapier.com,zables.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0e7f44c43defef651cc8f1cc260cf08f,3d83274a9c7b4c595ac5432d6cf5d0a04ad20efba16ee328fa9ebcc74298fd11,True,ctls,api.tables.zapier.com,443,https://api.tables.zapier.com:443,https,uvicorn,text/html,GET,13.32.121.101,/,1164238796,13.32.121.53,Uvicorn,11,False,cloudfront,True,,True,,
api.zapier.com,,404,24,api.zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,True,ctls,api.zapier.com,443,https://api.zapier.com:443,https,,application/json,GET,99.86.4.89,/,-889832889,99.86.4.26,HSTS,1,False,cloudfront,True,,,,
approval.zapier.com,404:  Not Found,404,237442,zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,True,ctls,zapier.com,443,https://approval.zapier.com:443,https,,text/html,GET,52.2.228.131,/,1084554790,44.209.38.104,HSTS,21,False,,,accounts.google.com,,https://zapier.com/apps/approval/integrations,
apps1-fm-ext.vercel.zapier.com,,404,67,apps1-fm-ext.vercel.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-22T18:08:06Z,2023-08-20T18:08:05Z,CN=*.vercel.zapier.com,*.vercel.zapier.com,*.vercel.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c215ddec24ce23e1b79e76da6084c85,f088e2945ed27ba4cc8993fa01d479e86cb3d1ae846514aa45292b880c81295f,True,ctls,apps1-fm-ext.vercel.zapier.com,443,https://apps1-fm-ext.vercel.zapier.com:443,https,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.164,Vercel,4,False,,,,,,
async.zapier.com,Async,200,868,async.zapier.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,True,ctls,async.zapier.com,443,https://async.zapier.com:443,https,,text/html,GET,52.87.144.228,/,704638839,52.2.228.131,HSTS,27,False,,,,,,
awsconfig.security.zapier.com,,200,2326,awsconfig.security.zapier.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=awsconfig.security.zapier.com,awsconfig.security.zapier.com,awsconfig.security.zapier.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5e143b1d1cc1d57576cc3ea0415a9738,90db54aeba5de4bf9858d945dbec8acf687014c406c20b721e0732f410b5d29f,,ctls,awsconfig.security.zapier.com,443,https://awsconfig.security.zapier.com:443,https,gunicorn,text/html,GET,52.204.62.64,/,-986470109,54.147.86.255,gunicorn,20,False,,,,,,
