input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched
api.kite.trade,,200,68,api.kite.trade,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-03T23:59:59Z,CN=*.kite.trade,*.kite.trade,,kite.trade,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,17f606e614152eefdabd3f151ac85b73,7b2019dbc3c00d0c23f5c1e125c04c1a5bb689b3399e54477c35460d89c4464a,True,ctls,api.kite.trade,cloudflare,443,https://api.kite.trade:443,https,cloudflare,application/json,GET,104.16.3.81,/,-515958762,2606:4700::6810:351,HTTP/3,1,False,True,,,
bugbounty.zerodha.com,Just a moment...,429,5984,bugbounty.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",49eadea0fe00904f0da297ecb4f03134,7e5137420c3bb7a659fb9861712a27ae1d1b7eb18873b43f75ec4f2122398085,True,ctls,bugbounty.zerodha.com,cloudflare,443,https://bugbounty.zerodha.com:443,https,cloudflare,text/html,GET,104.17.217.15,/,-381815949,2606:4700::6811:da0f,HTTP/3,1,False,True,https://bugbounty.zerodha.com/bug-bounty-form,,
careers.zerodha.com,Job Openings at Zerodha,200,109934,careers.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",49eadea0fe00904f0da297ecb4f03134,7e5137420c3bb7a659fb9861712a27ae1d1b7eb18873b43f75ec4f2122398085,True,ctls,careers.zerodha.com,cloudflare,443,https://careers.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,-1282235784,2606:4700::6811:da0f,Python,1018,False,True,,,
cashier.zerodha.com,Kite - Zerodha's fast and elegant flagship trading platform,200,5377,kite.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",49eadea0fe00904f0da297ecb4f03134,7e5137420c3bb7a659fb9861712a27ae1d1b7eb18873b43f75ec4f2122398085,True,ctls,kite.zerodha.com,cloudflare,443,https://cashier.zerodha.com:443,https,cloudflare,text/html,GET,104.17.217.15,/,-1531577535,2606:4700::6811:da0f,HTTP/3,9,False,True,https://kite.zerodha.com/connect/login?api_key=cashier&sess_id=IQ7zkKht6dLMeSfgU26B1MpoPvyecj2u,,
coin.zerodha.com,Coin – Zerodha,200,5538,coin.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",49eadea0fe00904f0da297ecb4f03134,7e5137420c3bb7a659fb9861712a27ae1d1b7eb18873b43f75ec4f2122398085,True,ctls,coin.zerodha.com,cloudflare,443,https://coin.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,-367928885,2606:4700::6811:d90f,HTTP/3,14,False,True,,,
discuss.zerodha.com,Zerodha - Trading Q&A by Zerodha - All your queries on trading and markets answered,200,197095,tradingqna.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-09T00:26:22Z,2023-10-07T00:26:21Z,CN=tradingqna.com,tradingqna.com,,tradingqna.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,03d68fde216c4fb019454dd9a85c609d,20e085228d39a3f055c3d7ca3f6db174ac2c92efd2bc8992d32d7b7ae17b6a64,True,ctls,tradingqna.com,cloudflare,443,https://discuss.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,1327902410,2606:4700::6811:da0f,Ruby on Rails,531,False,True,https://tradingqna.com/c/zerodha/7,m.zerodha.com,
feedback.zerodha.com,Just a moment...,429,5874,support.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",49eadea0fe00904f0da297ecb4f03134,7e5137420c3bb7a659fb9861712a27ae1d1b7eb18873b43f75ec4f2122398085,True,ctls,support.zerodha.com,cloudflare,443,https://feedback.zerodha.com:443,https,cloudflare,text/html,GET,104.17.217.15,/,-515958762,2606:4700::6811:d90f,HTTP/3,1,False,True,https://support.zerodha.com,,
fightstocktips.zerodha.com,Stop the menace of unsolicited stop tips - Zerodha,200,4797,fightstocktips.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",49eadea0fe00904f0da297ecb4f03134,7e5137420c3bb7a659fb9861712a27ae1d1b7eb18873b43f75ec4f2122398085,True,ctls,fightstocktips.zerodha.com,cloudflare,443,https://fightstocktips.zerodha.com:443,https,cloudflare,text/html,GET,104.17.217.15,/,1494302000,2606:4700::6811:da0f,HTTP/3,75,False,True,,,
https://api.smallcase.com,,200,46,api.smallcase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-26T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,,*.smallcase.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7195dd4b46dc0825b7c5346635b57c16,c1cfcc21d915eeb4fa54e54e81e2d5b561ace3d1fd9109473f73cba27d415379,True,ctls,api.smallcase.com,cloudfront,443,https://api.smallcase.com:443,https,,application/json,GET,13.32.99.62,/,-1206076886,13.32.99.78,HSTS,1,False,True,,,
https://assets.smallcase.com,,403,255,assets.smallcase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-26T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,,*.smallcase.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7195dd4b46dc0825b7c5346635b57c16,c1cfcc21d915eeb4fa54e54e81e2d5b561ace3d1fd9109473f73cba27d415379,True,ctls,assets.smallcase.com,cloudfront,443,https://assets.smallcase.com:443,https,AmazonS3,application/xml,GET,18.66.147.12,/,-914306575,18.66.147.92,Amazon Web Services,2,False,True,,,
